PATH;/Temp/MP;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;
MAPPING;Ciqual;;;;;;;
COLUMNS;bcpg:code;cm:name;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en;bcpg:productHierarchy1;bcpg:productHierarchy2;supplier
VALUES;MP1000;Pastis;Pastis;Pastis;Anis spirit;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1001;Eau de vie;Eau de vie;Eau de vie;Brandy;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1002;Gin;Gin;Gin;Gin;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1003;Liqueur;Liqueur;Liqueur;Liqueur;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1004;Rhum;Rhum;Rhum;Rum;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1005;Whisky;Whisky;Whisky;Whisky;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1006;Vin doux;Vin doux;Vin doux;Port or Sherry;Boissons alcoolisées;Vins;Table Ciqual 2008
VALUES;MP1007;Apéritif à base de vin ou vermouth;Apéritif à base de vin ou vermouth;Apéritif à base de vin ou vermouth;Wine-based aperitif;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP1008;Vodka;Vodka;Vodka;Vodka;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1009;Apéritif à la gentiane;Apéritif à la gentiane;Apéritif à la gentiane;Gentian bitters;Boissons alcoolisées;Liqueurs et alcools;Table Ciqual 2008
VALUES;MP1010;Pastis, prêt à boire (1+ 5);Pastis, prêt à boire (1+ 5);Pastis, prêt à boire (1+ 5);Anis spirit, diluted (1+5);Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP1011;Apéritif anisé sans alcool;Apéritif anisé sans alcool;Apéritif anisé sans alcool;Anis spirit, alcohol free;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP1017;Sangria;Sangria;Sangria;Sangria;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP1018;Kir (au vin blanc);Kir (au vin blanc);Kir (au vin blanc);Cocktail of white wine with black current liqueur;Boissons alcoolisées;Cocktails;Table Ciqual 2008
VALUES;MP1019;Kir royal (au champagne);Kir royal (au champagne);Kir royal (au champagne);Cocktail of champagne with black current liqueur;Boissons alcoolisées;Cocktails;Table Ciqual 2008
