STOP_ON_FIRST_ERROR;false;;
IMPORT_TYPE;EntityListItem;;
PATH;/Temp/Products;;
TYPE;bcpg:labelClaim;;
MAPPING;Products;;
COLUMNS;bcpg:erpCode;bcpg:lclLabelClaim;bcpg:lclIsClaimed
VALUES;ERP code 1;Sans BPA;true
VALUES;ERP code 1;Sans huile de palme;false
VALUES;ERP code 1;Faible valeur énergétique;true
VALUES;ERP code 1;Faible teneur en matières grasses;false
VALUES;ERP code 1;Faible teneur en sucres;false
VALUES;ERP code 1;Produit exempt de matières grasses de palme;false
VALUES;ERP code 1;Toucher;false
