STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMPORT_TYPE;EntityListItem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:nutList;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;Products;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Unité des nutriments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Energie kJ;Energie kcal;Eau;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Amidon;Polyols totaux;Fibres alimentaires;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine A;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
#;kJ;kcal;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;µg;g;g;g;g;g;g;g;g;g;g;g;µg;µg;mg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;g;g;mg
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:erpCode;bcpg:nutListNut;bcpg:nutListValue;bcpg:nutListMini;bcpg:nutListMaxi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Energie kJ;1127;1000;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Energie kcal;987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Eau;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Sodium;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Magnésium;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Phosphore;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Potassium;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Calcium;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Manganèse;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Fer total;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Cuivre;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Zinc;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Sélénium;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;ERP code 1;Iode;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
