PATH;/System/Characts/bcpg:entityLists/Allergens;;;;;;
TYPE;bcpg:allergen;;;;;;
MAPPING;Default;;;;;;
COLUMNS;bcpg:allergenCode;cm:name;bcpg:allergenType;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en;bcpg:allergenSubset
VALUES;F1;Egg White (Classical);Minor;;Blanc d'oeuf (Classique);Egg White (Classical);
VALUES;F2;Cow's Milk ;Minor;;Lait de vache;Cow's Milk ;
VALUES;F3;Cod;Minor;Gadus morhua;Cabillaud;Cod;
VALUES;F4;Wheat;Minor;Triticum aestivum;Blé;Wheat;
VALUES;F5;Rye;Minor;Secale cereale;Seigle;Rye;
VALUES;F6;Barley;Minor;Hordeum vulgare;Orge;Barley;
VALUES;F7;Oat;Minor;Avena sativa;Avoine;Oat;
VALUES;F8;Corn (Flour);Minor;Zea mays;Maïs (farine);Corn (Flour);
VALUES;F9;Rice;Minor;Oryza sativa;Riz;Rice;
VALUES;F10;Sesame Seed (Bruised Grain);Minor;Sesamum indicum;Graines de sésame (grains Bruised);Sesame Seed (Bruised Grain);
VALUES;F11;Buckwheat ;Minor;Fagopyrum esculentum;Sarrasin;Buckwheat ;
VALUES;F12;Green Pea ;Minor;Pisum sativum;Petits pois;Green Pea ;
VALUES;F13;Peanut;Minor;Arachis hypogaea;Arachide;Peanut;
VALUES;F14;Soybean;Minor;Glycine max;Soja;Soybean;
VALUES;F15;White Bean;Minor;Phaseolus vulgaris;Blanc Bean;White Bean;
VALUES;F17;Filbert (Hazelnut);Minor;Corylus avellana;Noisette;Filbert (Hazelnut);
VALUES;F18;Brazil Nut;Minor;Bertholletia excelsa;Noix du Brésil;Brazil Nut;
VALUES;F19;Cayenne Pepper ;Minor;Capsicum frutescens;Poivre de Cayenne;Cayenne Pepper ;
VALUES;F20;Almond;Minor;Amygdalus communis;Amandes;Almond;
VALUES;F21;Cane Sugar ;Minor;Saccharum officinarum;Canne à sucre;Cane Sugar ;
VALUES;F22;Raspberry ;Minor;Rubus idaeus;Framboise;Raspberry ;
VALUES;F23;Crab;Minor;Cancer pagurus;Crabe;Crab;
VALUES;F24;Shrimp;Minor;Pandalus borealis;Crevettes;Shrimp;
VALUES;F25;Tomato;Minor;Lycopersicon lycopersicum;Tomates;Tomato;
VALUES;F26;Pork;Minor;Sus spp.;Porc;Pork;
VALUES;F27;Beef ;Minor;Bos spp.;Boeuf;Beef ;
VALUES;F29;Watermelon ;Minor;Citrullus vulgaris;Pastèque;Watermelon ;
VALUES;F31;Carrot ;Minor;Daucus carota;Carotte;Carrot ;
VALUES;F32;Oyster Mushroom;Minor;Pleurotus ostreatus;Pleurote;Oyster Mushroom;
VALUES;F33;Orange;Minor;Citrus sinensis;Orange;Orange;
VALUES;F35;Potato,White;Minor;Solanum tuberosum;Pommes de terre,blanc;Potato,White;
VALUES;F36;Coconut ;Minor;Cocos nucifera;Coco;Coconut ;
VALUES;F37;Mussel;Minor;Mytilus edulis;Moule;Mussel;
VALUES;F38;Perch,Lake;Minor;Perca flavascens;Perche,le lac;Perch,Lake;
VALUES;F40;Tuna;Minor;Thunnus albacares;Thon;Tuna;
VALUES;F41;Salmon ;Minor;Salmo salar;Saumon;Salmon ;
VALUES;F42;Haddock;Minor;Melanogrammus aeglefinus;Aiglefin;Haddock;
VALUES;F43;Mother's Milk;Minor;;Lait maternel;Mother's Milk;
VALUES;F44;Strawberry ;Minor;Fragaria vesca;Fraise;Strawberry ;
VALUES;F45;Baker's Yeast ;Minor;Saccharomyces cerevisiae;Levure;Baker's Yeast ;
VALUES;F46;Red Pepper (Food);Minor;Capsicum annuum;Piment rouge;Red Pepper (Food);
VALUES;F47;Garlic ;Minor;Allium sativum;Ail;Garlic ;
VALUES;F48;Onion ;Minor;Allium cepa;Oignon;Onion ;
VALUES;F49;Apple ;Minor;Malus domestica;Pomme;Apple ;
VALUES;F50;Mackerel;Minor;Scomber japonicus;Maquereau;Mackerel;
VALUES;F51;Bamboo Shoot;Minor;Phyllostachys pubescens;Pousse de bambou;Bamboo Shoot;
VALUES;F52;Chocolate / Cocoa;Minor;;Chocolat / Cacao;Chocolate / Cocoa;
VALUES;F53;Scallop;Minor;Agropecten irradians;Coquille Saint-Jacques;Scallop;
VALUES;F54;Sweet Potato ;Minor;Ipomea batatas;Patate douce;Sweet Potato ;
VALUES;F55;Millet ;Minor;Panicum milliaceum;Millet;Millet ;
VALUES;F59;Octopus;Minor;Octopus vulgaris;Poulpe;Octopus;
VALUES;F60;Mackerel (Jack);Minor;Trachurus japonicus;Maquereau (Jack);Mackerel (Jack);
VALUES;F63;Kefir;Minor;;Kéfir;Kefir;
VALUES;F65;Perch (Rose Fish);Minor;Sebastus alutus;Perche;Perch (Rose Fish);
VALUES;F67;Parmesan Cheese;Minor;;Parmesan;Parmesan Cheese;
VALUES;F68;Ewe's Cheese;Minor;;Fromage de Brebis;Ewe's Cheese;
VALUES;F75;Egg Yolk;Minor;;Jaune d'oeuf;Egg Yolk;
VALUES;F76;Alpha-Lactalbumin ;Minor;;Alpha-lactalbumine;Alpha-Lactalbumin ;
VALUES;F77;Beta-Lactoglobulin ;Minor;;Bêta-lactoglobuline;Beta-Lactoglobulin ;
VALUES;F78;Casein ;Minor;;Caséine;Casein ;
VALUES;F79;Gluten (Gliadin);Minor;;Gluten (gliadine);Gluten (Gliadin);
VALUES;F80;Lobster ;Minor;Homarus gammarus;Homard;Lobster ;
VALUES;F81;Cheddar Cheese;Minor;;Fromage Cheddar;Cheddar Cheese;
VALUES;F82;Blue Cheese (Mold Cheese);Minor;;Bleue (Fromage);Blue Cheese (Mold Cheese);
VALUES;F83;Chicken ;Minor;Gallus spp.;Poulet;Chicken ;
VALUES;F84;Kiwi;Minor;Actinidia chinensis;Kiwi;Kiwi;
VALUES;F85;Celery ;Minor;Apium graveolens;Céleri;Celery ;
VALUES;F86;Parsley;Minor;Petrosilenum crispum;Persil;Parsley;
