PATH;/Temp/Import;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;
MAPPING;NutDatabaseEnglish;;;;;;;;;;;;;;
COLUMNS;cm:name;bcpg:legalName;cm:description;bcpg:productComments;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:productState;bcpg:productUnit;bcpg:productDensity;bcpg:erpCode;bcpg:eanCode;bcpg:suppliers;bcpg:productMicrobioCriteria;;
VALUES;Superfine Pink Clay;Superfine Pink Clay;;;Base ingredients;Clays;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Cocoa butter;Cocoa butter;;;Oils / butters;Butters;ToValidate;kg;1;;;Aroma zone;;;	
VALUES;Chlorophyll powder;Chlorophyll powder;;;Goodies;Natural dyes;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Conservative Cosgard;Conservative Cosgard;;;Plant extracts;Coloring and hair shampoos plant;ToValidate;kg;1;;;Maprecos;;;
VALUES;water;water;;;Base ingredients;Various;ToValidate;L;1;;;;;;
VALUES;Emulsifier Olivem 1000;Emulsifier Olivem 1000;;;Base ingredients;Emulsifiers;ToValidate;kg;1;;;Maprecos;;;
VALUES;Concentrated extract of Cucumber BIO;Concentrated extract of Cucumber BIO;;;Plant extracts;Fruit extracts;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Lavender flowers;Lavender flowers;;;Plant extracts;Coloring and hair shampoos plant;Valid;kg;1;;;;;;
VALUES;formaldehyde;formaldehyde;;;Plant extracts;Coloring and hair shampoos plant;ToValidate;L;1;;;Maprecos;;;
VALUES;Xanthan gum;Xanthan gum;;;Plant extracts;Coloring and hair shampoos plant;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Coconut oil;Coconut oil;;;Oils, butters;Butters;ToValidate;L;0.7;;;Aroma zone;;;
VALUES;Palm oil;Palm oil;;;Oils, butters;Butters;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Olive oil;Olive oil;;;Oils, butters;Butters;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Lavender essential oil;Lavender essential oil;;;Essential oils;Flowering;Valid;kg;1;;;;;;
VALUES;Essential oil of clary sage;Essential oil of clary sage;;;Essential oils;On herbs;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Organic Peppermint Hydrosol;Organic Peppermint Hydrosol;;;Essential oils;The bio;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Sodium hydroxide;Sodium hydroxide;;;Base ingredients;Various;ToValidate;kg;1;;;Maprecos;;;
VALUES;MP1;MP1;;;Essential oils;Spicy;ToValidate;kg;1;;;;;;
VALUES;Sodium laureth sulfate;Sodium laureth sulfate;;;Base ingredients;Surfactants;ToValidate;kg;1;;;Maprecos;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;  
