PATH;/System/Characts/bcpg:entityLists/Ings;;;;;;
TYPE;bcpg:ing;;;;;;
COLUMNS;cm:name;cm:description;bcpg:ingType;bcpg:ingCEECode;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en
VALUES;5-bromo-5-nitro-1,3 dioxane;prevent the proliferation of bacteria and yeast;Conservative;;5-bromo-5-nitro-1,3 dioxane;5-bromo-5-nitro-1,3 dioxane;5-bromo-5-nitro-1,3 dioxane
VALUES;acetylated lanolin;emollient conditioner;Animal fats;;acetylated lanolin;acetylated lanolin;acetylated lanolin
VALUES;acrylates copolymer;gelling the aqueous phases, thicken, increasing the viscosity, hair fixative;Gelling;;acrylates copolymer;acrylates copolymer;acrylates copolymer
VALUES;acrylates/acrylamide copolymer;The hair fixative, forming;Polymer;;acrylates/acrylamide copolymer;acrylates/acrylamide copolymer;acrylates/acrylamide copolymer
VALUES;acrylates/C10-30 alkyl acrylate crosspolymer;thickening, gelling;Gelling;;acrylates/C10-30 alkyl acrylate crosspolymer;acrylates/C10-30 alkyl acrylate crosspolymer;acrylates/C10-30 alkyl acrylate crosspolymer
VALUES;alanine;conditioner;Active;;alanine;alanine;alanine
VALUES;alcloxa;astringent;Active;;alcloxa;alcloxa;alcloxa
VALUES;algae;conditioner;Plant extract;;algae;algae;algae
VALUES;algin;thickening, gelling;Gelling;;algin;algin;algin
VALUES;allantoin;conditioner, protective;Active;;allantoin;allantoin;allantoin
VALUES;allantoin acetyl methionine;anti-irritant, anti-dandruff, hair repair and polish;Active;;allantoin acetyl methionine;allantoin acetyl methionine;allantoin acetyl methionine
VALUES;allantoin ascorbate;anti-oxidant, the representations of burns ATTENU;Active;;allantoin ascorbate;allantoin ascorbate;allantoin ascorbate
VALUES;aloe barbadensis (leaf) juice;humectant, protective;Plant extract;;aloe barbadensis (leaf) juice;aloe barbadensis (leaf) juice;aloe barbadensis (leaf) juice
VALUES;alpha isomethyl ionone;violet floral note;Mp scented;;alpha isomethyl ionone;alpha isomethyl ionone;alpha isomethyl ionone
VALUES;alpha-glucan oligosaccharide;conditioner;Complex;;alpha-glucan oligosaccharide;alpha-glucan oligosaccharide;alpha-glucan oligosaccharide
VALUES;aluminium chloride;antiperspirant, astringent, deodorant;Active;;aluminium chloride;aluminium chloride;aluminium chloride
VALUES;aluminium chlorohydrate;antiperspirant;Active;;aluminium chlorohydrate;aluminium chlorohydrate;aluminium chlorohydrate
VALUES;aluminium formate (and) tartaric acid (and) trieth;mild astringent, deodorant;Active;;aluminium formate (and) tartaric acid (and) trieth;aluminium formate (and) tartaric acid (and) trieth;aluminium formate (and) tartaric acid (and) trieth
VALUES;aluminium lactate;astringent, deodorant;Active;;aluminium lactate;aluminium lactate;aluminium lactate
VALUES;aluminium starch octenylsuccinate;absorbent powder;Load;;aluminium starch octenylsuccinate;aluminium starch octenylsuccinate;aluminium starch octenylsuccinate
VALUES;ammonium acryloyldimethyltaurate/VP copolymer;thickening;Polymer;;ammonium acryloyldimethyltaurate/VP copolymer;ammonium acryloyldimethyltaurate/VP copolymer;ammonium acryloyldimethyltaurate/VP copolymer
VALUES;ammonium lactate;exfoliating, humectant, buffer (pH);Salt;;ammonium lactate;ammonium lactate;ammonium lactate
VALUES;ammonium lauryl sulfate;gentle cleansing base;Surfactant;;ammonium lauryl sulfate;ammonium lauryl sulfate;ammonium lauryl sulfate
VALUES;ammonium polyacryloyldimethyl taurate;stabilizer, viscosity;Polymer;;ammonium polyacryloyldimethyl taurate;ammonium polyacryloyldimethyl taurate;ammonium polyacryloyldimethyl taurate
VALUES;apricot kerneloil polyglyceryl-10 esters;emollient, nourishing;Surfactant;;apricot kerneloil polyglyceryl-10 esters;apricot kerneloil polyglyceryl-10 esters;apricot kerneloil polyglyceryl-10 esters
VALUES;aqua (and) alcohol (and) paeonia suffruticosa;Lightening;Active;;aqua (and) alcohol (and) paeonia suffruticosa;aqua (and) alcohol (and) paeonia suffruticosa;aqua (and) alcohol (and) paeonia suffruticosa
VALUES;aqua (and) hydrolyzed jojoba esters;emollient;Active;;aqua (and) hydrolyzed jojoba esters;aqua (and) hydrolyzed jojoba esters;aqua (and) hydrolyzed jojoba esters
VALUES;aqua (and) propylene glycol (and) hedera helix;draining;Active;;aqua (and) propylene glycol (and) hedera helix;aqua (and) propylene glycol (and) hedera helix;aqua (and) propylene glycol (and) hedera helix
VALUES;aqua (and) propylene glycol (and) kigelia africana;tensor;Active;;aqua (and) propylene glycol (and) kigelia africana;aqua (and) propylene glycol (and) kigelia africana;aqua (and) propylene glycol (and) kigelia africana
VALUES;aqua (and) propylene glycol (and) vitis vinifera;anti-rosacea, blood;Active;;aqua (and) propylene glycol (and) vitis vinifera;aqua (and) propylene glycol (and) vitis vinifera;aqua (and) propylene glycol (and) vitis vinifera
VALUES;aqua (and) sucrose cocoate (and) alcohol;Gentle Foaming;Additive;;aqua (and) sucrose cocoate (and) alcohol;aqua (and) sucrose cocoate (and) alcohol;aqua (and) sucrose cocoate (and) alcohol
VALUES;aqua (water);main component of the aqueous phases;Solvent, carrier;;aqua (water);aqua (water);aqua (water)
VALUES;aqua (water) (and) butyrospermum parkii (shea butt;emulsion plant repair, anti-drying, anti-oxidant, protective;Active;;aqua (water) (and) butyrospermum parkii (shea butt;aqua (water) (and) butyrospermum parkii (shea butt;aqua (water) (and) butyrospermum parkii (shea butt
VALUES;arachidyl propionate;emollient;Fatty ester;;arachidyl propionate;arachidyl propionate;arachidyl propionate
VALUES;argania spinosa kernel oil;conditioner, emollient;Vegetable oil;;argania spinosa kernel oil;argania spinosa kernel oil;argania spinosa kernel oil
VALUES;arginine;conditioner;Active;;arginine;arginine;arginine
VALUES;ascorbyl palmitate;slow the oxidation of fats and protect sensitive active light and / or oxygen and / or heat, can be also used as active ingredient for the skin, the dosage will be greater;Antioxidant;;ascorbyl palmitate;ascorbyl palmitate;ascorbyl palmitate
VALUES;avena sativa (oat) kernel extract;antioxidant, emollient, conditioner;Plant extract;;avena sativa (oat) kernel extract;avena sativa (oat) kernel extract;avena sativa (oat) kernel extract
VALUES;avena sativa (oat) kernel flour;exfoliating towels, thickening;Plant extract;;avena sativa (oat) kernel flour;avena sativa (oat) kernel flour;avena sativa (oat) kernel flour
VALUES;avena sativa (oil) kernel extract;nourishing, repairing, conditioning;Vegetable oil;;avena sativa (oil) kernel extract;avena sativa (oil) kernel extract;avena sativa (oil) kernel extract
VALUES;bambusa arundinacea;exfoliating powder;Plant extract;;bambusa arundinacea;bambusa arundinacea;bambusa arundinacea
VALUES;bambusa vulgaris;Scrub;Plant extract;;bambusa vulgaris;bambusa vulgaris;bambusa vulgaris
VALUES;beheneth-10;emulsifying;Surfactant;;beheneth-10;beheneth-10;beheneth-10
VALUES;behentrimonium methosulfate;conditioner, anti-static;Quaternary complex;;behentrimonium methosulfate;behentrimonium methosulfate;behentrimonium methosulfate
VALUES;behenyl alcohol;stabilizer, viscosity;Fatty alcohol;;behenyl alcohol;behenyl alcohol;behenyl alcohol
VALUES;bentonite;absorbent, thickening;Load;;bentonite;bentonite;bentonite
VALUES;benzoic acid;--;--;;benzoic acid;benzoic acid;benzoic acid
VALUES;benzophenone-4;protects the product from degradation by light;Uv filter;;benzophenone-4;benzophenone-4;benzophenone-4
VALUES;benzyl acetate;flowery, fruity (banana);Mp scented;;benzyl acetate;benzyl acetate;benzyl acetate
VALUES;benzyl alcohol;almondy notes;Mp scented;;benzyl alcohol;benzyl alcohol;benzyl alcohol
VALUES;benzyl benzoate;almondy notes;Mp scented;;benzyl benzoate;benzyl benzoate;benzyl benzoate
VALUES;benzyl salicylate;note 'solar';Mp scented;;benzyl salicylate;benzyl salicylate;benzyl salicylate
VALUES;BHA;slow the oxidation of fats and protect sensitive active light and / or oxygen and / or heat;Antioxidant;;BHA;BHA;BHA
VALUES;BHT;slow the oxidation of fats and protect sensitive active light and / or oxygen and / or heat;Antioxidant;;BHT;BHT;BHT
VALUES;bisabolol;conditioner, soothing;Active;;bisabolol;bisabolol;bisabolol
