Feedstuff;"DM
%";"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
PPM";"TDN
%";"DE
Mcal/
lb.";"NEm
Mcal/
lb.";"NEg
Mcal/
lb."
Alfalfa cubes;91;18;35;2.0;29;34;45;11;1.3;0.23;1.9;0.35;18;57;1.14;0.56;0.25
Alfalfa dehydrated 17% ;92;19;60;3.0;26;35;45;11;1.4;0.25;2.7;0.24;19;61;1.22;0.61;0.31
Alfalfa fresh;26;19;20;2.2;27;32;44;8;1.6;0.32;2.3;0.34;21;60;1.20;0.59;0.30
Alfalfa hay early bloom ;90;18;20;2.2;29;35;47;8;1.4;0.25;2.3;0.30;18;60;1.20;0.59;0.30
Alfalfa hay midbloom ;89;17;25;2.0;30;38;50;10;1.4;0.23;1.8;0.30;17;58;1.16;0.57;0.26
Alfalfa hay full bloom ;88;16;30;1.8;34;41;56;8;1.3;0.20;1.7;0.29;17;53;1.06;0.52;0.18
Alfalfa hay mature ;90;14;35;1.7;38;45;59;8;1.3;0.19;1.4;0.25;17;50;1.00;0.49;0.12
Alfalfa silage ;30;18;20;3.0;30;35;46;8;1.5;0.28;2.4;0.30;17;54;1.08;0.53;0.20
Alfalfa silage wilted ;36;17;25;3.0;30;35;46;8;1.5;0.28;2.4;0.30;17;58;1.16;0.57;0.26
Ammonium sulfate ;99;132;0;0.0;0;0;0;--;--;--;--;24.20;--;0;0.00;0.00;0.00
Barley silage;32;10;25;4.0;34;--;--;10;0.3;0.30;1.6;0.17;29;50;1.00;0.49;0.12
Barley silage mature ;40;9;35;4.0;34;--;--;10;0.2;0.15;1.5;0.15;--;60;1.20;0.59;0.30
Barley straw ;88;4;--;1.9;42;57;82;7;0.3;0.05;2.0;0.15;7;49;0.98;0.48;0.11
Barley grain;89;12;30;2.0;6;7;20;3;0.1;0.42;0.5;0.16;25;83;1.66;0.89;0.60
Barley feed pearl byproduct ;90;15;--;3.9;11;--;--;5;0.0;0.45;0.7;0.06;--;75;1.50;0.78;0.50
Barley grain screenings ;89;13;--;2.6;9;--;--;4;0.0;0.40;0.1;0.15;--;81;1.62;0.87;0.58
Beans navy cull ;90;24;--;1.4;5;--;--;6;0.1;0.05;1.4;0.26;--;84;1.68;0.91;0.61
Beet pulp wet ;11;10;30;2.0;20;34;59;5;0.8;0.10;0.2;0.22;1;68;1.36;0.69;0.41
Beet pulp dried;91;9;35;0.8;21;34;59;5;0.7;0.08;0.2;0.22;1;72;1.44;0.74;0.47
Beet pulp wet with molasses ;24;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;11;76;1.52;0.80;0.52
Beet pulp dried with molasses;92;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;11;76;1.52;0.80;0.52
Beet tops (sugar) ;20;13;--;1.4;9;--;--;25;0.7;0.24;4.8;0.45;20;58;1.16;0.57;0.26
Beet top silage ;25;10;--;2.0;10;--;--;38;1.2;0.22;5.7;0.57;--;52;1.04;0.51;0.16
Blood meal;92;80;80;1.3;1;--;--;5;0.3;0.26;0.1;0.43;5;61;1.22;0.61;0.31
Bluestem fresh mature ;61;6;--;2.5;34;--;--;4;0.3;0.14;1.0;0.05;28;50;1.00;0.49;0.12
Bone meal steamed ;95;13;--;11.6;1;0;0;77;27.0;12.74;0.2;2.50;290;16;0.32;0.26;0.00
Brewers grains wet ;24;26;60;6.5;15;22;42;5;0.3;0.60;0.1;0.32;50;81;1.62;0.87;0.58
Brewers dried grain ;92;28;60;7.5;15;22;42;4;0.3;0.60;0.1;0.32;50;81;1.62;0.87;0.58
Brewers yeast dried;94;48;--;1.0;3;--;--;7;0.1;1.56;1.8;0.41;41;79;1.58;0.84;0.55
Brome grass fresh immature ;32;15;--;4.1;28;33;54;10;0.4;0.39;2.7;0.20;--;64;1.28;0.64;0.36
Brome grass hay ;89;10;--;2.5;35;41;69;9;0.5;0.23;2.5;0.16;17;55;1.10;0.54;0.21
Calcium carbonate ;99;0;--;0.0;0;0;0;99;39.0;0.04;0.0;0.09;0;0;0.00;0.00;0.00
Canarygrass hay ;91;9;--;2.7;33;36;64;8;0.4;0.25;2.6;0.14;18;53;1.06;0.52;0.18
Carrot pulp ;14;6;--;7.8;19;23;--;9;--;--;--;--;--;62;1.24;0.62;0.33
Carrot root fresh ;12;10;--;1.4;10;9;9;9;0.4;0.34;2.7;0.17;--;83;1.66;0.89;0.60
Carrot tops;16;13;--;3.8;18;23;--;15;1.9;0.19;1.9;--;--;73;1.46;0.76;0.48
Cattle manure dried ;92;17;--;2.6;34;37;55;14;1.2;1.00;0.5;1.78;240;38;0.76;0.39;0.00
Cheatgrass fresh immature ;21;16;--;2.7;23;--;--;10;0.6;0.28;--;--;--;68;1.36;0.69;0.41
Clover ladino fresh ;19;25;--;4.8;14;--;--;11;1.3;0.42;2.2;0.20;39;69;1.38;0.70;0.43
Clover ladino hay ;90;21;--;2.0;22;32;36;9;1.7;0.32;2.4;0.22;17;61;1.22;0.61;0.31
Clover red fresh ;24;18;--;4.0;24;33;44;9;1.7;0.26;2.0;0.17;23;64;1.28;0.64;0.36
Clover red hay ;88;15;--;2.9;30;41;56;8;1.4;0.22;1.9;0.17;17;57;1.14;0.56;0.25
Coffee grounds;88;13;--;15.0;41;68;77;2;0.1;0.08;--;--;--;20;0.40;0.35;0.00
Corn whole plant pelleted ;91;9;45;2.4;21;--;--;6;0.5;0.24;1.0;0.14;--;63;1.26;0.63;0.34
Corn fodder;80;9;45;2.4;25;29;48;7;0.3;0.18;1.0;0.14;--;67;1.24;0.68;0.40
Corn stover mature ;80;6;--;1.3;35;40;70;7;0.5;0.09;1.6;0.17;--;59;1.18;0.58;0.28
Corn silage milk stage;26;8;25;2.8;26;31;--;6;0.3;0.24;1.6;0.12;25;67;1.24;0.68;0.40
Corn silage mature well eared ;36;8;40;2.7;23;28;50;7;0.3;0.20;1.0;0.10;24;69;1.38;0.70;0.43
Corn grain dent yellow;89;10;50;4.1;3;3;10;2;0.0;0.30;0.4;0.10;17;89;1.78;0.98;0.67
Corn grain hi-lysine ;92;12;--;4.4;4;--;--;2;0.0;0.24;0.3;0.11;--;89;1.78;0.98;0.67
Corn and cob meal ;87;9;50;3.7;9;10;28;2;0.1;0.24;0.5;0.18;10;82;1.64;0.88;0.59
Corn cobs ;90;3;50;0.5;36;39;88;2;0.1;0.04;0.8;0.35;5;48;0.26;0.47;0.09
Corn bran;90;10;--;6.3;10;--;51;3;0.0;0.17;0.7;0.08;--;76;1.52;0.80;0.52
Corn gluten feed ;90;26;--;2.9;9;--;41;7;0.4;0.75;0.6;0.20;100;82;1.64;0.88;0.59
Corn gluten meal ;91;45;65;2.5;5;9;37;4;0.2;0.50;0.2;0.60;45;84;1.68;0.91;0.61
Defluorinated phosphate ;99;0;--;0.0;0;0;0;95;32.6;18.07;1.0;--;100;0;0.00;0.00;0.00
Diammonium phosphate ;98;115;0;0.0;0;0;0;35;0.5;20.41;0.0;2.16;--;0;0.00;0.00;0.00
Dicalcium phosphate ;96;0;--;0.0;0;0;0;94;22.0;18.65;0.1;1.10;70;0;0.00;0.00;0.00
Distillers grain barley ;90;30;60;3.7;18;--;--;4;0.1;0.27;--;--;--;75;1.50;0.78;0.50
Distillers grain corn ;91;30;65;8.2;14;16;41;2;0.1;0.45;0.2;0.46;35;84;1.68;0.91;0.61
Distillers grain corn with solubles;92;29;50;10.0;10;18;44;5;0.3;0.85;0.7;0.32;90;88;1.76;0.97;0.65
Distillers silage corn ;7;29;65;8.0;8;--;--;4;0.1;0.65;--;--;--;86;1.72;0.94;0.63
Distillers dried solubles ;93;30;--;9.5;4;7;23;8;0.4;1.40;1.8;0.40;91;88;1.76;0.97;0.65
Fat animal poultry ;99;0;--;99.0;0;0;0;0;0.0;0.00;0.0;--;--;195;3.90;2.38;1.82
Feathermeal hydrolized ;94;91;50;3.3;2;20;20;4;0.2;0.78;0.3;1.80;53;68;1.36;0.69;0.41
Garbage municipal cooked ;23;16;--;23.3;8;50;59;11;1.6;0.45;--;--;--;75;1.50;0.78;0.50
Grain screenings ;90;14;--;5.5;14;--;--;9;0.5;0.43;--;--;17;65;1.30;0.65;0.37
Grain dust;92;10;--;2.5;15;--;--;10;0.3;0.18;--;--;42;73;1.46;0.76;0.48
Grape pomace stemless ;91;12;--;7.5;32;50;53;9;0.6;0.06;0.6;--;24;30;0.60;0.37;0.00
Grass silage ;26;12;20;4.6;34;38;66;9;0.8;0.22;2.0;--;29;61;1.22;0.61;0.31
Hominy feed ;90;12;--;7.7;6;12;50;3;0.1;0.58;0.7;0.04;3;94;1.88;1.05;0.72
Hop leaves ;37;15;--;3.6;15;--;--;35;2.8;0.64;--;--;--;49;0.98;0.48;0.11
Hop vine silage ;30;15;--;3.1;21;--;--;20;3.3;0.37;1.8;0.22;44;53;1.06;0.52;0.18
Hops spent ;89;22;--;4.0;28;0;--;7;1.6;0.60;--;--;--;39;0.78;0.40;0.00
Limestone ground ;98;0;--;0.0;0;--;--;98;38.0;0.02;--;--;--;0;0.00;0.00;0.00
Linseed meal solvent ;91;39;40;1.9;10;18;25;6;0.4;1.00;1.4;0.47;60;76;1.52;0.80;0.52
Meadow hay ;92;8;--;2.5;33;--;--;9;0.6;0.17;1.6;--;--;46;0.92;0.45;0.05
Meat meal ;94;55;65;9.7;3;--;--;29;9.4;4.74;0.6;0.50;85;71;1.42;0.73;0.46
Milo grain;89;11;60;3.2;3;6;20;2;0.0;0.32;0.4;0.13;17;85;1.70;0.92;0.62
Mint slug silage ;27;14;--;1.8;24;--;--;16;1.1;0.57;--;--;--;55;1.10;0.54;0.21
Molasses beet ;77;9;0;0.2;0;0;0;11;0.2;0.03;6.1;0.60;18;79;1.58;0.84;0.55
Molasses cane ;76;5;0;0.0;0;0;0;10;1.1;0.08;3.6;0.46;30;75;1.50;0.78;0.50
Molasses cane dried ;94;10;0;0.6;3;0;0;14;1.2;0.15;4.0;0.46;30;74;1.48;0.77;0.49
Molasses citrus;65;9;0;0.3;0;0;0;9;2.0;0.25;0.2;0.23;137;75;1.50;0.78;0.50
Molasses wood (Hemicellulose);61;1;0;0.7;1;--;--;8;1.4;0.06;0.1;0.05;--;76;1.52;0.80;0.52
Monoammonium phosphate ;98;74;0;0.0;0;0;0;24;0.3;24.70;0.0;1.42;81;0;0.00;0.00;0.00
Mono-dicalcium phosphate ;97;0;--;0.0;0;0;0;94;16.7;21.10;0.1;--;70;0;0.00;0.00;0.00
Oat hay ;87;9;--;2.1;30;38;63;9;0.2;0.22;1.0;0.30;39;59;1.18;0.58;0.28
Oat silage ;34;11;25;3.8;30;--;--;10;0.4;0.25;3.4;0.32;35;60;1.20;0.59;0.30
Oat straw ;90;4;--;2.3;41;46;70;8;0.3;0.10;2.2;0.22;6;50;1.00;0.49;0.12
Oats grain ;89;13;30;4.0;12;17;31;4;0.1;0.40;0.5;0.22;30;74;1.48;0.77;0.49
Oats groats;91;18;25;5.5;3;--;--;2;0.1;0.47;0.4;0.22;--;93;1.86;1.03;0.71
Oat meal feeding ;90;17;20;6.0;4;--;--;3;0.1;0.46;0.5;0.25;--;94;1.88;1.05;0.72
Oat mill byproduct ;89;9;--;3.0;21;--;--;6;0.1;0.24;0.6;0.24;--;33;0.66;0.37;0.00
Oat hulls;93;4;--;1.5;32;44;78;7;0.2;0.15;0.6;0.15;--;37;0.74;0.39;0.00
Orange pulp dried ;89;9;--;1.8;9;--;--;4;0.7;0.11;--;--;--;82;1.64;0.88;0.59
Orchardgrass fresh immature ;24;18;25;5.0;24;29;50;11;0.4;0.40;2.7;0.22;20;65;1.30;0.65;0.37
Orchardgrass hay ;88;11;30;3.3;34;40;70;7;0.3;0.28;2.8;0.26;18;59;1.18;0.58;0.28
Pea vine hay ;89;10;--;1.8;32;--;--;7;1.2;0.21;1.8;0.17;15;60;1.20;0.59;0.30
Pea vine silage ;24;13;--;3.3;31;49;59;8;1.3;0.24;1.4;0.29;--;57;1.14;0.56;0.25
Pea straw ;89;7;--;1.3;45;--;--;7;--;0.11;1.1;0.20;--;50;1.00;0.49;0.12
Peas cull ;89;25;--;1.5;8;--;--;5;0.2;0.43;1.1;0.26;30;82;1.64;0.88;0.59
Peanut hulls ;92;7;--;1.3;63;65;74;5;0.2;0.07;0.9;--;--;22;0.44;0.35;0.00
Peanut meal solvent ;91;52;30;1.3;11;--;14;5;0.2;0.65;1.2;0.30;22;77;1.54;0.81;0.53
Peanut skins ;92;17;--;22.0;13;20;28;3;--;--;--;--;--;0;0.00;0.00;0.00
