PATH;/st:sites/cm:rd/cm:documentLibrary/cm:Products/Quiches;;;;;;;;;;;;
TYPE;bcpg:finishedProduct;;;;;;;;;;;;
MAPPING;Default;;;;;;;;;;;;
COLUMNS;cm:name;cm:description;bcpg:legalName;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:productState;bcpg:productQty;bcpg:productUnit;bcpg:productDensity;bcpg:eanCode;bcpg:clients;img1Path;img1Name
VALUES;Quiche Lorraine 200g;;quiche;Quiches;Individual quiches;ToValidate;1;P;0,2;;C1;classpath:beCPG/import/images/products/Quiche Lorraine 200g.jpg;Quiche Lorraine 200g.jpg
VALUES;Quiche Lorraine 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;5400101012363;C1;classpath:beCPG/import/images/products/Quiche Lorraine 400g.jpg;Quiche Lorraine 400g.jpg
VALUES;Quiche Lorraine 600g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,6;3262970808018;C1;classpath:beCPG/import/images/products/Quiche Lorraine 600g.jpg;Quiche Lorraine 600g.jpg
VALUES;Supreme quiche 200g;;quiche;Quiches;Individual quiches;ToValidate;1;P;0,2;3262970808025;C3;classpath:beCPG/import/images/products/Supreme quiche 200g.jpg;Supreme quiche 200g.jpg
VALUES;Supreme quiche 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;3262970808032;C3;classpath:beCPG/import/images/products/Supreme quiche 400g.jpg;Supreme quiche 400g.jpg
VALUES;Supreme quiche 600g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,6;3262970808049;C3;classpath:beCPG/import/images/products/Supreme quiche 600g.jpg;Supreme quiche 600g.jpg
VALUES;Vegetarian quiche 200g;;quiche;Quiches;Individual quiches;ToValidate;1;P;0,2;3262970808056;C5;classpath:beCPG/import/images/products/Vegetarian quiche 200g.jpg;Vegetarian quiche 200g.jpg
VALUES;Vegetarian quiche 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;3262970808063;C5;classpath:beCPG/import/images/products/Vegetarian quiche 400g.jpg;Vegetarian quiche 400g.jpg
VALUES;Vegetarian quiche 600g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,6;3262970808070;C5;classpath:beCPG/import/images/products/Vegetarian quiche 600g.jpg;Vegetarian quiche 600g.jpg
VALUES;Salmon quiche 200g;;quiche;Quiches;Individual quiches;ToValidate;1;P;0,2;3262970808094;C1;classpath:beCPG/import/images/products/Salmon quiche 200g.jpg;Salmon quiche 200g.jpg
VALUES;Salmon quiche 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;3262970808292;C1;classpath:beCPG/import/images/products/Salmon quiche 400g.jpg;Salmon quiche 400g.jpg
VALUES;Salmon quiche 600g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,6;3262970808308;C1;classpath:beCPG/import/images/products/Salmon quiche 600g.jpg;Salmon quiche 600g.jpg
VALUES;Spinach quiche 200g;;quiche;Quiches;Individual quiches;ToValidate;1;P;0,2;3262970808315;C5;classpath:beCPG/import/images/products/Spinach quiche 200g.jpg;Spinach quiche 200g.jpg
VALUES;Spinach quiche 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;3262970808322;C5;classpath:beCPG/import/images/products/Spinach quiche 400g.jpg;Spinach quiche 400g.jpg
VALUES;Spinach quiche 600g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,6;20006167;C5;classpath:beCPG/import/images/products/Spinach quiche 600g.jpg;Spinach quiche 600g.jpg
VALUES;Custom quiche 400g;;quiche;Quiches;Family quiches;ToValidate;1;P;0,4;3262970808087;C5;classpath:beCPG/import/images/products/Custom quiche 400g.jpg;Custom quiche 400g.jpg
