PATH;/System/Lists/bcpg:entityLists/IngTypes
TYPE;bcpg:listValue
COLUMNS;cm:name
VALUES;Adipate
VALUES;Alginate
VALUES;Antibiotic
VALUES;Antioxidant
VALUES;Other additive
VALUES;Carbonate
VALUES;Chloride
VALUES;Wax and hydrocarbon
VALUES;Citrate
VALUES;Food coloring
VALUES;Conservative
VALUES;Cellulose derivative
VALUES;Dietary fatty acid derivative
VALUES;Diphosphate
VALUES;Sweetener
VALUES;Thickener
VALUES;Flavour enhancer
VALUES;Ferrocyanide
VALUES;Gas
VALUES;Ice
VALUES;Gluconate
VALUES;Glutamate
VALUES;Gum
VALUES;Chewing gum
VALUES;Gelling
VALUES;Guanylate
VALUES;Hydroxide
VALUES;Ingredient
VALUES;Inosinate
VALUES;Lactate
VALUES;Lecithin
VALUES;Malate
VALUES;Orthophosphate
VALUES;Phosphate
VALUES;Silicate
VALUES;Stabilizer
VALUES;Stearate
VALUES;Sulfate
VALUES;Tartrate
VALUES;Thiosulfate
VALUES;Triphosphate
