STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/MP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;USDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Water_(g);Energ_Kcal;Protein_(g);Lipid_Tot_(g);Ash_(g);Carbohydrt_(g);Fiber_TD_(g);Sugar_Tot_(g);Calcium_(mg);Iron_(mg);Magnesium_(mg);Phosphorus_(mg);Potassium_(mg);Sodium_(mg);Zinc_(mg);Copper_mg);Manganese_(mg);Selenium_(µg);Vit_C_(mg);Thiamin_(mg);Riboflavin_(mg);Niacin_(mg);Panto_Acid_mg);Vit_B6_(mg);Folate_Tot_(µg);Folic_Acid_(µg);Food_Folate_(µg);Folate_DFE_(µg);Choline_Tot_ (mg);Vit_B12_(µg);Vit_A_IU;Vit_A_RAE;Retinol_(µg);Alpha_Carot_(µg);Beta_Carot_(µg);Beta_Crypt_(µg);Lycopene_(µg);Lut+Zea_ (µg);Vit_E_(mg);Vit_D_µg;ViVit_D_IU;Vit_K_*(µg);FA_Sat_(g);FA_Mono_(g);FA_Poly_(g);Cholestrl_(mg)
VALUES;USDA01111;74,45;112;3,86;3,03;0,91;17,75;0;17,75;146;0,1;12;115;183;95;0,39;0,051;0,014;2,3;0;0,03;0,195;0,146;0,368;0,042;7;0;7;7;14,3;0,52;91;25;25;0;5;0;0;0;0,05;1,2;48;0,2;1,886;0,875;0,113;12
VALUES;USDA01112;93,42;24;0,76;0,09;0,61;5,12;0;5,12;103;0,08;10;78;143;48;0,43;0,003;0,002;1,8;0,1;0,042;0,14;0,079;0,381;0,042;2;0;2;2;16;0,18;7;2;2;0;0;0;0;0;0;;;0;0,057;0,025;0,004;1
VALUES;USDA01113;3,51;339;11,73;0,54;10,77;73,45;0;73,45;2054;1,24;199;1349;2289;968;6,31;0,05;0,015;27,3;0,9;0,622;2,06;1,16;5,632;0,62;33;0;33;33;225;2,5;59;17;17;0;1;0;0;0;0;0;0;0;0,342;0,149;0,021;3
VALUES;USDA01114;93,12;27;0,85;0,36;0,53;5,14;0;5,14;47;0,06;8;46;161;54;0,13;0,004;0,001;1,9;0,1;0,036;0,158;0,074;0,383;0,031;1;0;1;1;16;0,28;12;3;3;0;1;0;0;0;0;;;0;0,23;0,1;0,011;2
VALUES;USDA01115;3,19;353;12,93;1,07;8,35;74,46;0;74,46;796;0,88;176;932;2080;1079;1,97;0,07;0,009;27,2;1,5;0,519;2,208;1,258;5,62;0,584;12;0;12;12;225;2,37;30;8;8;0;2;0;0;0;0,02;0;0;0,1;0,684;0,297;0,034;6
VALUES;USDA01116;87,9;61;3,47;3,25;0,72;4,66;0;4,66;121;0,05;12;95;155;46;0,59;0,009;0,004;2,2;0,5;0,029;0,142;0,075;0,389;0,032;7;0;7;7;15,2;0,37;99;27;27;0;5;0;0;0;0,06;0,1;2;0,2;2,096;0,893;0,092;13
VALUES;USDA01117;85,07;63;5,25;1,55;1,09;7,04;0;7,04;183;0,08;17;144;234;70;0,89;0,013;0,004;3,3;0,8;0,044;0,214;0,114;0,591;0,049;11;0;11;11;15,2;0,56;51;14;14;0;2;0;0;0;0,03;0;1;0,2;1;0,426;0,044;6
VALUES;USDA01118;85,23;56;5,73;0,18;1,18;7,68;0;7,68;199;0,09;19;157;255;77;0,97;0,015;0,005;3,6;0,9;0,048;0,234;0,124;0,641;0,053;12;0;12;12;15,2;0,61;7;2;2;0;0;0;0;0;0;0;0;0,2;0,116;0,049;0,005;2
VALUES;USDA01119;79;85;4,93;1,25;1,02;13,8;0;13,8;171;0,07;16;135;219;66;0,83;0,013;0,004;4,9;0,8;0,042;0,201;0,107;0,552;0,045;11;0;11;11;15,2;0,53;43;12;12;0;2;0;0;0;0,02;0;1;0,1;0,806;0,343;0,036;5
VALUES;USDA01120;75,3;99;3,98;1,15;0,93;18,64;0;18,64;138;0,06;13;109;177;53;0,67;0,079;0,064;2,8;0,6;0,034;0,162;0,086;0,446;0,037;9;0;9;9;15,2;0,43;40;11;11;0;2;0;0;0;0,02;0;1;0,1;0,742;0,316;0,033;5
VALUES;USDA01121;74,48;102;4,37;1,08;1,02;19,05;0;19,05;152;0,07;15;119;195;58;0,74;0,08;0,065;3,1;0,7;0,037;0,178;0,095;0,489;0,04;9;0;9;9;14;0,47;36;10;10;0;2;0;0;0;0,02;0;1;0,1;0,697;0,297;0,031;4
VALUES;USDA01122;74,1;105;4,86;1,41;1,03;18,6;0;;169;0,07;16;133;216;65;0,82;0,08;0,065;3,1;0,7;0,041;0,198;0,105;0,544;0,045;10;0;10;10;;0,52;60;;;;;;;;;;;;0,909;0,387;0,04;6
VALUES;USDA01123;76,15;143;12,56;9,51;1,06;0,72;0;0,37;56;1,75;12;198;138;142;1,29;0,072;0,028;30,7;0;0,04;0,457;0,075;1,533;0,17;47;0;47;47;293,8;0,89;540;160;160;0;0;9;0;503;1,05;2;82;0,3;3,126;3,658;1,911;372
VALUES;USDA01124;87,57;52;10,9;0,17;0,63;0,73;0;0,71;7;0,08;11;15;163;166;0,03;0,023;0,011;20;0;0,004;0,439;0,105;0,19;0,005;4;0;4;4;1,1;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;USDA01125;52,31;322;15,86;26,54;1,71;3,59;0;0,56;129;2,73;5;390;109;48;2,3;0,077;0,055;56;0;0,176;0,528;0,024;2,99;0,35;146;0;146;146;820,2;1,95;1442;381;371;38;88;33;0;1094;2,58;5,4;218;0,7;9,551;11,738;4,204;1085
VALUES;USDA01126;56,2;303;15,5;25,6;1,55;1,15;0;0,51;138;3,34;9;417;118;67;2,88;0,024;0,062;41,8;0;0,155;0,52;0,045;3,53;0,345;116;0;116;116;791;1,82;1390;367;357;36;85;32;0;1055;2,49;5,2;210;0,7;7,82;9,747;3,628;945
VALUES;USDA01127;51,25;307;13,8;22,75;1,4;10,8;0;;123;3,14;10;384;103;67;2,81;0,012;0,059;37,7;0;0,135;0,53;0,023;3,2;0,284;139;0;139;139;;1,77;1315;;398;;;;;1174;2,77;5,8;234;;6,97;8,614;3,244;959
VALUES;USDA01128;69,47;196;13,61;14,84;1,26;0,83;0;0,4;62;1,89;13;215;152;207;1,39;0,078;0,03;33,1;0;0,044;0,495;0,082;1,66;0,184;51;0;51;51;317,1;0,97;787;219;216;0;35;10;0;543;1,31;2,2;88;5,6;4,323;6,182;3,251;401
VALUES;USDA01129;74,62;155;12,58;10,61;1,08;1,12;0;1,12;50;1,19;10;172;126;124;1,05;0,013;0,026;30,8;0;0,066;0,513;0,064;1,398;0,121;44;0;44;44;293,8;1,11;520;149;148;0;11;10;0;353;1,03;2,2;87;0,3;3,267;4,077;1,414;373
VALUES;USDA01130;76,13;154;10,57;11,66;1,01;0,64;0;0,31;48;1,48;11;167;117;155;1,09;0,063;0,024;25,8;0;0,034;0,386;0,064;1,289;0,143;39;0;39;39;247,6;0,76;617;172;169;0;28;8;0;423;1,29;1,7;69;4,5;3,319;4,843;2,712;313
VALUES;USDA01131;75,85;143;12,51;9,47;1,46;0,71;0;0,37;56;1,75;12;197;138;297;1,29;0,072;0,028;30,6;0;0,032;0,387;0,063;1,527;0,144;35;0;35;35;234,1;0,71;538;160;159;0;0;9;0;501;1,04;2;82;0,3;3,113;3,643;1,904;370
VALUES;USDA01132;76,4;149;9,99;10,98;1,01;1,61;0;1,39;66;1,31;11;165;132;145;1,04;0,059;0,022;23,5;0;0,04;0,376;0,076;1,217;0,134;36;0;36;36;221;0,76;578;161;159;0;26;7;0;372;1,15;1,8;72;4;3,331;4,441;2,429;277
VALUES;USDA01133;3,1;594;47,35;40,95;3,65;4,95;0;3,08;231;6,79;42;831;493;523;5,28;0,196;0,125;119,6;0;0,195;1,54;0,305;5,905;0,388;171;0;171;171;1193,7;3,95;997;275;270;0;41;36;0;1329;3,88;8;321;1,2;12,727;15,337;5,804;1507
VALUES;USDA01134;1,87;615;48,17;43,95;3,63;2,38;0;;222;8,28;49;715;515;548;5,71;0,27;0,15;121,1;0;0,325;1,232;0,259;6,71;0,42;193;0;193;193;;10,51;2050;616;616;;;;;;;;;;13,198;17,564;5,713;2017
VALUES;USDA01135;14,62;351;76,92;0,04;4,25;4,17;0;4,17;83;0,23;67;83;1042;1156;0,15;0,23;0,07;116,8;0;0,035;2,162;0,675;1,829;0,023;89;0;89;89;;0,49;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0
VALUES;USDA01136;8,54;376;82,4;0,04;4,55;4,47;0;4,47;89;0,24;72;89;1116;1238;0,16;0,17;0,05;125,1;0;0,037;2,316;0,723;1,958;0,024;96;0;96;96;8,4;0,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALUES;USDA01137;2,95;666;34,25;55,8;3,4;3,6;0;3,6;284;5,42;13;920;244;135;4,93;0,012;0,119;86,8;0;0,29;1,88;0,095;7,765;0,66;244;0;244;244;1752,7;5,33;3031;801;779;79;186;70;0;2299;5,42;11,4;458;1,5;17,154;21,129;7,895;2052
VALUES;USDA01138;70,83;185;12,81;13,77;1,14;1,45;0;0,93;64;3,85;17;220;222;146;1,41;0,062;0,038;36,4;0;0,156;0,404;0,2;1,862;0,25;80;0;80;80;263,4;5,4;674;194;192;0;14;12;0;459;1,34;1,7;69;0,4;3,681;6,525;1,223;884
VALUES;USDA01139;70,43;185;13,87;13,27;1,08;1,35;0;0,94;60;3,64;16;208;210;138;1,33;0,062;0,038;36,9;0;0,147;0,382;0,189;1,759;0,236;76;0;76;76;263,4;5,1;650;187;185;0;13;12;0;442;1,29;1,7;66;0,4;3,595;5,747;1,672;852
VALUES;USDA01140;74,35;158;13,05;11,09;1,1;0,41;0;0,4;64;3,65;13;226;132;141;1,47;0,062;0,038;32;0;0,13;0,79;0,15;1,761;0,15;66;0;66;66;263,4;1,58;543;156;155;0;11;10;0;369;1,08;1,4;55;0,3;3,557;4,324;1,324;844
VALUES;USDA01141;72,5;171;13,68;11,88;0,79;1,15;0;;99;4,1;13;170;142;151;1,58;0,062;0,038;34,3;0;0,11;0,47;0,024;1,889;0,131;71;0;71;71;;1,69;554;166;166;;;;;;;;;;3,632;4,571;1,658;933
VALUES;USDA01144;3,86;444;55,5;13;5,84;21,8;0;21,8;326;3,16;65;478;744;800;1,82;0,207;0,08;127,7;0,8;0,226;1,76;0,577;3,384;0,143;125;0;125;125;117,6;3,52;1230;369;369;0;0;0;0;0;1,26;0;0;0,4;3,766;5,341;1,683;572
VALUES;USDA01145;17,94;717;0,85;81,11;0,04;0,06;0;0,06;24;0,02;2;24;24;11;0,09;0,016;0,004;1;0;0,005;0,034;0,042;0,11;0,003;3;0;3;3;18,8;0,17;2499;684;671;0;158;0;0;0;2,32;1,5;60;7;51,368;21,021;3,043;215
VALUES;USDA01146;25;415;37,86;27,34;6,39;3,41;0;0,9;1253;0,87;51;735;97;1696;3,19;0,037;0,023;23,9;0;0,041;0,352;0,287;0,527;0,105;8;0;8;8;15,4;1,4;865;229;223;0;73;0;0;0;0,25;0,5;21;1,9;17,37;8,734;0,661;72
VALUES;USDA01151;90,84;34;3,37;0,08;0,75;4,96;0;5,09;122;0,03;11;101;156;42;0,42;0,013;0,003;3,1;0;0,045;0,182;0,094;0,357;0,037;5;0;5;5;15,6;0,5;15;2;1;0;7;0;0;0;0,01;0;0;0;0,051;0,021;0,003;2
