"PATH";"/Temp/PF";;;;
"TYPE";"bcpg:finishedProduct";;;;
"MAPPING";"Ciqual";;;;
"COLUMNS";"bcpg:code";"cm:name";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en";"bcpg:productHierarchy1";"bcpg:productHierarchy2"
"VALUES";"PF7001";"Pain, baguette courante";"Pain, baguette courante";"Pain, baguette courante";"Bread, French 250 g baguette";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7004";"Pain grillé, domestique";"Pain grillé, domestique";"Pain grillé, domestique";"Bread, plain, toasted at home";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7012";"Pain courant français, 400 g ou boule";"Pain courant français, 400 g ou boule";"Pain courant français, 400 g ou boule";"Bread, French 400 g loaf, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7100";"Pain de campagne ou bis";"Pain de campagne ou bis";"Pain de campagne ou bis";"Bread, French, country style, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7110";"Pain complet, fabrication artisanale";"Pain complet, fabrication artisanale";"Pain complet, fabrication artisanale";"Bread, wholemeal, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7125";"Pain de seigle et froment";"Pain de seigle et froment";"Pain de seigle et froment";"Bread, rye + wheat, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7126";"Pain de seigle aux raisins";"Pain de seigle aux raisins";"Pain de seigle aux raisins";"Rye bun with raisins, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7160";"Pain, baguette sans sel";"Pain, baguette sans sel";"Pain, baguette sans sel";"Bread, French 250 g baguette, without salt";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7200";"Pain de mie";"Pain de mie";"Pain de mie";"Bread, sandwich loaf";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7225";"Pain brioché ou viennois";"Pain brioché ou viennois";"Pain brioché ou viennois";"Vienna bread, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7255";"Pain aux céréales et graines, artisanal";"Pain aux céréales et graines, artisanal";"Pain aux céréales et graines, artisanal";"Bread, mixed cereal, from bakery";"Boulangerie-viennoiserie";"Pains"
"VALUES";"PF7300";"Biscotte classique";"Biscotte classique";"Biscotte classique";"Rusk, plain";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7310";"Biscotte sans adjonction de sel";"Biscotte sans adjonction de sel";"Biscotte sans adjonction de sel";"Rusk, unsalted";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7330";"Biscotte multicéréale";"Biscotte multicéréale";"Biscotte multicéréale";"Rusk, mixed cereal";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7340";"Biscotte complète ou riche en fibres";"Biscotte complète ou riche en fibres";"Biscotte complète ou riche en fibres";"Rusk, wholemeal";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7400";"Pain grillé, tranches, au froment";"Pain grillé, tranches, au froment";"Pain grillé, tranches, au froment";"Bread, plain, toasted, commercial";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7410";"Tartine craquante, extrudée et grillée";"Tartine craquante, extrudée et grillée";"Tartine craquante, extrudée et grillée";"Rusk, extruded";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7411";"Tartine craquante, extrudée et grillée, fourrée au chocolat ou aux fruits";"Tartine craquante, extrudée et grillée, fourrée au chocolat ou aux fruits";"Tartine craquante, extrudée et grillée, fourrée au chocolat ou aux fruits";"Biscuit, extruded, chocolate or fruit filling";"Pâtisseries et biscuits";"Biscuits secs sucrés"
"VALUES";"PF7425";"Pain grillé, tranches, multicéréale";"Pain grillé, tranches, multicéréale";"Pain grillé, tranches, multicéréale";"Bread, multigrain, toasted, commercial";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7430";"Croûtons";"Croûtons";"Croûtons";"Croutons";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7500";"Chapelure";"Chapelure";"Chapelure";"Breadcrumbs, commercial";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7525";"Gressins";"Gressins";"Gressins";"Bread stick";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF7601";"Croissant ordinaire ou au beurre";"Croissant ordinaire ou au beurre";"Croissant ordinaire ou au beurre";"Croissant, ordinary or butter";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7615";"Croissant ordinaire, artisanal";"Croissant ordinaire, artisanal";"Croissant ordinaire, artisanal";"Croissant, ordinary, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7620";"Croissant au beurre, artisanal";"Croissant au beurre, artisanal";"Croissant au beurre, artisanal";"Croissant, butter, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7650";"Croissant aux amandes, artisanal";"Croissant aux amandes, artisanal";"Croissant aux amandes, artisanal";"Croissant with almonds, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7710";"Pain au lait, artisanal";"Pain au lait, artisanal";"Pain au lait, artisanal";"Milkbread roll, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7720";"Pain aux raisins (viennoiserie)";"Pain aux raisins (viennoiserie)";"Pain aux raisins (viennoiserie)";"Raisin bun, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7730";"Pain au chocolat feuilleté, artisanal";"Pain au chocolat feuilleté, artisanal";"Pain au chocolat feuilleté, artisanal";"Bun with chocolate filling, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7740";"Brioche, préemballée";"Brioche, préemballée";"Brioche, préemballée";"Brioche, commercial";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7741";"Brioche artisanale";"Brioche artisanale";"Brioche artisanale";"Brioche, bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7812";"Fougasse, garnie";"Fougasse, garnie";"Fougasse, garnie";"Fougasse";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF7814";"Cake salé (garniture : fromage, légumes, viande, poisson, volaille,…)";"Cake salé (garniture : fromage, légumes, viande, poisson, volaille,…)";"Cake salé (garniture : fromage, légumes, viande, poisson, volaille,…)";"Savoury cake (with cheese, vegetables, meat or fish)";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF8296";"Terrine ou mousse de légumes";"Terrine ou mousse de légumes";"Terrine ou mousse de légumes";"Vegetable terrines and mousses";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF8601";"Tripes à la mode de Caen";"Tripes à la mode de Caen";"Tripes à la mode de Caen";"Tripes à la mode de Caen";"Plats composés";"Plats à base de viande ou volaille"
"VALUES";"PF8934";"Quenelle de poisson, cuite";"Quenelle de poisson, cuite";"Quenelle de poisson, cuite";"Quenelle, fish, cooked";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF9230";"Pop-corn ou Maïs éclaté, à l'huile, salé";"Pop-corn ou Maïs éclaté, à l'huile, salé";"Pop-corn ou Maïs éclaté, à l'huile, salé";"Popcorn, oil-popped, salted";"Pâtisseries et biscuits";"Biscuits salés apéritifs"
"VALUES";"PF9231";"Pop-corn ou Maïs éclaté, à l'air, non salé";"Pop-corn ou Maïs éclaté, à l'air, non salé";"Pop-corn ou Maïs éclaté, à l'air, non salé";"Popcorn, air-popped, no salt";"Pâtisseries et biscuits";"Biscuits salés apéritifs"
"VALUES";"PF9313";"Flocons d'avoine, cuits à l'eau";"Flocons d'avoine, cuits à l'eau";"Flocons d'avoine, cuits à l'eau";"Oats porridge, made with water";"Céréales petit déjeuner et barres céréalières";"Céréales petit déjeuner et barres céréalières"
"VALUES";"PF10023";"Beignet de crevette";"Beignet de crevette";"Beignet de crevette";"Shrimp fritters";"Plats composés";"Plats à base de poisson ou produits aquatiques"
"VALUES";"PF20914";"Escalope végétale ou Steak à base de soja";"Escalope végétale ou Steak à base de soja";"Escalope végétale ou Steak à base de soja";"Soy burger";"Plats composés";"Plats à base de légumes ou légumineuses"
"VALUES";"PF23000";"Gâteau (aliment moyen)";"Gâteau (aliment moyen)";"Gâteau (aliment moyen)";"Cake (average)";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23007";"Gâteau mousse de fruits sur génoise, type miroir";"Gâteau mousse de fruits sur génoise, type miroir";"Gâteau mousse de fruits sur génoise, type miroir";"Sponge cake with fruit mousse";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23021";"Baba au rhum";"Baba au rhum";"Baba au rhum";"Rum baba";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23024";"Macaron moelleux fourré à la confiture ou à la crème";"Macaron moelleux fourré à la confiture ou à la crème";"Macaron moelleux fourré à la confiture ou à la crème";"Macaroon filled with jam or cream";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23032";"Brownie au chocolat";"Brownie au chocolat";"Brownie au chocolat";"Brownies, chocolate-nut";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23050";"Biscuit de Savoie";"Biscuit de Savoie";"Biscuit de Savoie";"Sponge cake";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23081";"Quatre-quarts, préemballé";"Quatre-quarts, préemballé";"Quatre-quarts, préemballé";"Pound cake, commercial";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23121";"Far aux pruneaux";"Far aux pruneaux";"Far aux pruneaux";"Breton cake with prunes";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23200";"Pain d'épices";"Pain d'épices";"Pain d'épices";"Gingerbread";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23300";"Baklava ou baklawa (pâtisserie orientale aux amandes et sirop)";"Baklava ou baklawa (pâtisserie orientale aux amandes et sirop)";"Baklava ou baklawa (pâtisserie orientale aux amandes et sirop)";"Baklava oriental pastry";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23301";"Corne de gazelle (pâtisserie orientale aux amandes et sirop)";"Corne de gazelle (pâtisserie orientale aux amandes et sirop)";"Corne de gazelle (pâtisserie orientale aux amandes et sirop)";"Corne de gazelle oriental pastry";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23455";"Chou à la crème (chantilly ou pâtissière)";"Chou à la crème (chantilly ou pâtissière)";"Chou à la crème (chantilly ou pâtissière)";"Pastry cream puff";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23467";"Chouquette";"Chouquette";"Chouquette";"Puff pastry, sugar coated, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF23477";"Éclair";"Éclair";"Éclair";"Eclair, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23480";"Chausson aux pommes";"Chausson aux pommes";"Chausson aux pommes";"Apple turnover, from bakery";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
"VALUES";"PF23490";"Tarte ou tartelette aux pommes";"Tarte ou tartelette aux pommes";"Tarte ou tartelette aux pommes";"Apple pie or tart, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23493";"Crumble aux pommes";"Crumble aux pommes";"Crumble aux pommes";"Apple crumble";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23499";"Tarte ou tartelette aux fruits";"Tarte ou tartelette aux fruits";"Tarte ou tartelette aux fruits";"Fruit pie or tart, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23501";"Tarte à la crème";"Tarte à la crème";"Tarte à la crème";"Custard pie";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23525";"Flan pâtissier aux œufs ou à la parisienne";"Flan pâtissier aux œufs ou à la parisienne";"Flan pâtissier aux œufs ou à la parisienne";"Flan with pie crust";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23531";"Charlotte aux fruits";"Charlotte aux fruits";"Charlotte aux fruits";"Fruit charlotte, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23585";"Gâteau au chocolat";"Gâteau au chocolat";"Gâteau au chocolat";"Cake, chocolate";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23589";"Gâteau au fromage blanc";"Gâteau au fromage blanc";"Gâteau au fromage blanc";"Cheesecake, from bakery";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23684";"Galette des rois feuilletée, fourrée frangipane";"Galette des rois feuilletée, fourrée frangipane";"Galette des rois feuilletée, fourrée frangipane";"Twelfth Night cake";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23800";"Crêpe au froment, nature";"Crêpe au froment, nature";"Crêpe au froment, nature";"Crepe, plain";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23801";"Crêpe ou galette bretonne au sarrasin";"Crêpe ou galette bretonne au sarrasin";"Crêpe ou galette bretonne au sarrasin";"Buckwheat crepe";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23805";"Blini";"Blini";"Blini";"Blinis";"Boulangerie-viennoiserie";"Biscottes et pains non levés"
"VALUES";"PF23815";"Crêpe au froment, sucrée";"Crêpe au froment, sucrée";"Crêpe au froment, sucrée";"Crepe with sugar";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23820";"Crêpe au froment, fourrée à la confiture";"Crêpe au froment, fourrée à la confiture";"Crêpe au froment, fourrée à la confiture";"Crepe, filled with jam";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23821";"Crêpe au froment, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes";"Crêpe au froment, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes";"Crêpe au froment, fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes";"Crepe, filled with chocolate";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23855";"Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée";"Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée";"Gaufre bruxelloise ou liégeoise, avec ou sans chocolat, préemballée";"Wafle, industrial";"Pâtisseries et biscuits";"Gâteaux et pâtisseries"
"VALUES";"PF23880";"Beignet nature";"Beignet nature";"Beignet nature";"Doughnut, plain";"Boulangerie-viennoiserie";"Viennoiseries et brioches"
