PATH;/System/Characts/bcpg:entityLists/PhysicoChems;;
TYPE;bcpg:physicoChem;;
COLUMNS;cm:name;bcpg:physicoChemUnit;bcpg:isDeleted
VALUES;Conductivité;-;false
VALUES;Granulométrie;-;false
VALUES;Gras sur sec;-;false
VALUES;Humidité;-;false
VALUES;pH;-;false
VALUES;Point de fusion;°C;false
VALUES;Pourcentage de corps étrangers;%;false
VALUES;Solubilité;-;false
VALUES;Point de congélation;°C;false
VALUES;Matière sèche;%;false
VALUES;Extrait sec;%;false
VALUES;Matière grasse;%;false
VALUES;Pouvoir sucrant;%;false
VALUES;Température de cuve;°C;false
