PATH;/Temp/Import;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:finishedProduct;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;Default;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;cm:name;bcpg:legalName;cm:description;bcpg:productComments;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:erpCode;bcpg:eanCode;bcpg:productState;bcpg:trademark;bcpg:clients;bcpg:productUnit;bcpg:productQty;bcpg:productDensity;bcpg:productSpecification;bcpg:productMicrobioCriteria;bcpg:useByDate;bcpg:unitPrice;bcpg:unitTotalCost;bcpg:priceCurrency;bcpg:breakEven;bcpg:projectedQty;bcpg:profitability;;
VALUES;Arnispray Formule à l'arnica;Boiron;;;Bien-être;Homéopathie;;;ToValidate;;Sephora;P;1;0.02;;;30;;;€;;;;;
VALUES;Baume Amazonien anti-rides Flacon 50ml;baume anti-rides;;http://www.aroma-zone.com/aroma/Fiche_extrait_concombreBIO.asp#lait-visage-hydratant-concombre;Beauté et soins;Anti-âges;;;ToValidate;;Sephora;P;1;0.5;;;30;;0;€;;;;;	
VALUES;Bioptimum vitalité physique et intellectuelle;Bioptimum vitalité physique et intellectuelle;;;Bien-être;Homéopathie;;;ToValidate;;Sephora;P;1;0.1;;;30;;;€;;;;;
VALUES;Crème gel hydratant A.DS.11 5 %;Crème gel hydratant;;http://www.aroma-zone.com/aroma/Fiche_extrait_concombreBIO.asp#lait-visage-hydratant-concombre;Beauté et soins;Soins des cheveux;;;ToValidate;;Sephora;P;1;0.5;;;30;;0;€;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 100 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;3262970808025;ToValidate;;Sephora;P;1;0;;;100;;;;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 150 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;3262970808032;ToValidate;;Sephora;P;1;0;;;100;;;;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 200 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;3262970808049;ToValidate;;Sephora;P;1;0;;;100;;;;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 40 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;5400101012863;ToValidate;;Sephora;P;1;0;;;100;;;;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 60 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;5400101012363;ToValidate;;Sephora;P;1;0;;;100;;;;;;;;
VALUES;Crème gel hydratant A.DS.11 5 % 80 g;Crème gel hydratant;;;Beauté et soins;Soins des cheveux;;3262970808018;ToValidate;;Sephora;P;1;0;;;110;;;;;;;;
VALUES;Emulsion revitalisante 11,6 %;Emulsion revitalisante;0;;Beauté et soins;Soins des cheveux;;;ToValidate;;Nocibé;P;1;0.05;;;;;;€;;;;;
VALUES;Savon 150g;Savon voluptueux (à la lavande et à la sauge sclarée);;;Beauté et soins;Soins des cheveux;;;Valid;;Nocibé;P;1;0.2;Spécification soin du corps;;100;0.3;0.234;€;0;20000;21.879;;
VALUES;Savon voluptueux 200g (à la lavande et à la sauge sclarée);Savon voluptueux (à la lavande et à la sauge sclarée);;;Beauté et soins;Soins des cheveux;;;ToValidate;;Sephora;P;1;0.2;Spécification soin du corps;;;3;2.085;€;0;20000;30.498;;
VALUES;Savon voluptueux 200g (à la lavande et à la sauge sclarée);Savon voluptueux (à la lavande et à la sauge sclarée);;;Beauté et soins;Soins des cheveux;;;ToValidate;;Sephora;P;1;0.2;Spécification soin du corps;;;3;2.085;€;0;20000;30.498;;
VALUES;Soin corporel ads11-2;soin corporel;;;Beauté et soins;Soins des cheveux;;;ToValidate;;Nocibé;P;1;0.2;;;;;0;€;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;  
