PATH;/Companies/Suppliers;;;;;;;;;;
TYPE;bcpg:supplier;;;;;;;;;;
MAPPING;Default;;;;;;;;;;
COLUMNS;cm:name;bcpg:erpCode;bcpg:supplierTel;bcpg:supplierEmail;bcpg:supplierFax;bcpg:locationAddress1;bcpg:locationAddress2;bcpg:locationAddress3;bcpg:locationZip;bcpg:locationCity;bcpg:locationCountry
VALUES;Aroma zone;;;;;;;;;;
VALUES;Fournisseur Lacroix;;;;;;;;;;
VALUES;Maprecos;;;;;;;;;;
;;;;;;;;;;;
PATH;/Companies/Clients;;;;;;;;;;
TYPE;bcpg:client;;;;;;;;;;
MAPPING;Default;;;;;;;;;;
COLUMNS;cm:name;bcpg:erpCode;bcpg:clientTel;bcpg:clientEmail;bcpg:locationAddress1;bcpg:locationAddress2;bcpg:locationAddress3;bcpg:locationZip;bcpg:locationCity;bcpg:locationCountry;
VALUES;Nocibé;;;;;;;;;;
VALUES;Sephora;;;;;;;;;;
