MAPPING;Default;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingMaterial_Hierarchy;;
TYPE;bcpg:linkedValue;;
COLUMNS;bcpg:lkvValue;bcpg:isDeleted;
VALUES;Barquettes;false;
VALUES;Carton;false;
VALUES;Palette;false;
VALUES;Films;false;
VALUES;Boite;false;
VALUES;Pots;false;
VALUES;Opercules;false;
VALUES;Etiquettes;false;
VALUES;Briques;false;
VALUES;Intercallaire;false;
;;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingMaterial_Hierarchy;;
TYPE;bcpg:linkedValue;;
COLUMNS;parentLevel;bcpg:lkvValue;bcpg:isDeleted
VALUES;Barquettes;Barquettes plastiques;false
VALUES;Carton;Recyclable;false
VALUES;Palette;Recyclable;false
VALUES;Films;Thermoformable;false
VALUES;Boite;PF;false
VALUES;Etiquettes;Autocollantes;false
VALUES;Pots;Plastiques;false
VALUES;Pots;Verres;false
VALUES;Opercules;Opercules ;false
VALUES;Briques;Briques cartons;false
VALUES;Briques;Briques plastiques;false
VALUES;Intercallaire;Intercallaire;false
;;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingKit_Hierarchy;;
TYPE;bcpg:linkedValue;;
COLUMNS;bcpg:lkvValue;bcpg:isDeleted;
VALUES;Palettisation;false;
;;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingKit_Hierarchy;;
TYPE;bcpg:linkedValue;;
COLUMNS;parentLevel;bcpg:lkvValue;bcpg:isDeleted
VALUES;Palettisation;Palettisation;false
