http://www.ext.colostate.edu/pubs/livestk/01615.html;;;;;;;;;;;;;;;;;
Feedstuff;"DM
%";"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
PPM";"TDN
%";"DE
Mcal/
lb.";"NEm
Mcal/
lb.";"NEg
Mcal/
lb."
Les cubes de luzerne;91;18;35;2.0;29;34;45;11;1.3;0.23;1.9;0.35;18;57;1.14;0.56;0.25
Luzerne déshydratée 17%;92;19;60;3.0;26;35;45;11;1.4;0.25;2.7;0.24;19;61;1.22;0.61;0.31
Luzerne fraîche;26;19;20;2.2;27;32;44;8;1.6;0.32;2.3;0.34;21;60;1.20;0.59;0.30
Fleurs de foin de luzerne début;90;18;20;2.2;29;35;47;8;1.4;0.25;2.3;0.30;18;60;1.20;0.59;0.30
Le foin de luzerne midbloom;89;17;25;2.0;30;38;50;10;1.4;0.23;1.8;0.30;17;58;1.16;0.57;0.26
Foin de luzerne pleine floraison;88;16;30;1.8;34;41;56;8;1.3;0.20;1.7;0.29;17;53;1.06;0.52;0.18
Le foin de luzerne matures;90;14;35;1.7;38;45;59;8;1.3;0.19;1.4;0.25;17;50;1.00;0.49;0.12
Ensilage de luzerne;30;18;20;3.0;30;35;46;8;1.5;0.28;2.4;0.30;17;54;1.08;0.53;0.20
Ensilage de luzerne fané;36;17;25;3.0;30;35;46;8;1.5;0.28;2.4;0.30;17;58;1.16;0.57;0.26
Le sulfate d'ammonium;99;132;0;0.0;0;0;0;--;--;--;--;24.20;--;0;0.00;0.00;0.00
D'ensilage d'orge;32;10;25;4.0;34;--;--;10;0.3;0.30;1.6;0.17;29;50;1.00;0.49;0.12
D'ensilage d'orge mûr;40;9;35;4.0;34;--;--;10;0.2;0.15;1.5;0.15;--;60;1.20;0.59;0.30
La paille d'orge;88;4;--;1.9;42;57;82;7;0.3;0.05;2.0;0.15;7;49;0.98;0.48;0.11
Le grain d'orge;89;12;30;2.0;6;7;20;3;0.1;0.42;0.5;0.16;25;83;1.66;0.89;0.60
L'orge fourragère perle sous-produit;90;15;--;3.9;11;--;--;5;0.0;0.45;0.7;0.06;--;75;1.50;0.78;0.50
Criblures de grain d'orge;89;13;--;2.6;9;--;--;4;0.0;0.40;0.1;0.15;--;81;1.62;0.87;0.58
Haricots marine abattage;90;24;--;1.4;5;--;--;6;0.1;0.05;1.4;0.26;--;84;1.68;0.91;0.61
La pulpe de betterave humide;11;10;30;2.0;20;34;59;5;0.8;0.10;0.2;0.22;1;68;1.36;0.69;0.41
La pulpe de betterave séchée;91;9;35;0.8;21;34;59;5;0.7;0.08;0.2;0.22;1;72;1.44;0.74;0.47
La pulpe de betterave mouiller avec de la mélasse;24;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;11;76;1.52;0.80;0.52
La pulpe de betterave séchée avec de la mélasse;92;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;11;76;1.52;0.80;0.52
Feuilles de betterave (sucre);20;13;--;1.4;9;--;--;25;0.7;0.24;4.8;0.45;20;58;1.16;0.57;0.26
Ensilage de betterave haut;25;10;--;2.0;10;--;--;38;1.2;0.22;5.7;0.57;--;52;1.04;0.51;0.16
Repas de sang;92;80;80;1.3;1;--;--;5;0.3;0.26;0.1;0.43;5;61;1.22;0.61;0.31
Bluestem frais maturité;61;6;--;2.5;34;--;--;4;0.3;0.14;1.0;0.05;28;50;1.00;0.49;0.12
La farine d'os cuit à la vapeur;95;13;--;11.6;1;0;0;77;27.0;12.74;0.2;2.50;290;16;0.32;0.26;0.00
Drêches de brasserie mouiller;24;26;60;6.5;15;22;42;5;0.3;0.60;0.1;0.32;50;81;1.62;0.87;0.58
Brewers grain séché;92;28;60;7.5;15;22;42;4;0.3;0.60;0.1;0.32;50;81;1.62;0.87;0.58
Levure de bière séchée;94;48;--;1.0;3;--;--;7;0.1;1.56;1.8;0.41;41;79;1.58;0.84;0.55
Brome herbe fraîche immature;32;15;--;4.1;28;33;54;10;0.4;0.39;2.7;0.20;--;64;1.28;0.64;0.36
Brome foin;89;10;--;2.5;35;41;69;9;0.5;0.23;2.5;0.16;17;55;1.10;0.54;0.21
Carbonate de calcium;99;0;--;0.0;0;0;0;99;39.0;0.04;0.0;0.09;0;0;0.00;0.00;0.00
L'alpiste des foins;91;9;--;2.7;33;36;64;8;0.4;0.25;2.6;0.14;18;53;1.06;0.52;0.18
Pulpe de carotte;14;6;--;7.8;19;23;--;9;--;--;--;--;--;62;1.24;0.62;0.33
Racine de carotte fraîche;12;10;--;1.4;10;9;9;9;0.4;0.34;2.7;0.17;--;83;1.66;0.89;0.60
