STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;
#;;Crude protein;"""by-pass"" protein, or undegraded intake protein";ether extract;crude fiber;acid detergent fiber ;neutral detergent fiber;Cendre;Calcium;Phosphore;Potassium;Soufre;Zinc;Total digestible nutrient;Digestible energy;Net Energy for maintenance;Net Engergy for growth;Dry matter
#;;"CP
%";"By-
Pass
%";"EE
%";"CF
%";"ADF
%";"NDF
%";"Ash
%";"Ca
%";"P
%";"K
%";"S
%";"Zn
G/100g";"TDN
%";"DE
Kcal/100g
";"NEm
Kcal/100g";"NEg
Kcal/100g";"DM
%"
COLUMNS;bcpg:code;CP;UID;EE;CF;ADF;NDF;Ash;Calcium;Phosphore;Potassium;Soufre;Zinc;TDN;DE;NE m;NE g;DM
VALUES;FEED1;18;35;2.0;29;34;45;11;1.3;0.23;1.9;0.35;1,8;57;251,33;123,46;55,12;91
VALUES;FEED2;19;60;3.0;26;35;45;11;1.4;0.25;2.7;0.24;1,9;61;268,96;134,48;68,34;92
VALUES;FEED3;19;20;2.2;27;32;44;8;1.6;0.32;2.3;0.34;2,1;60;264,55;130,07;66,14;26
VALUES;FEED4;18;20;2.2;29;35;47;8;1.4;0.25;2.3;0.30;1,8;60;264,55;130,07;66,14;90
VALUES;FEED5;17;25;2.0;30;38;50;10;1.4;0.23;1.8;0.30;1,7;58;255,74;125,66;57,32;89
VALUES;FEED6;16;30;1.8;34;41;56;8;1.3;0.20;1.7;0.29;1,7;53;233,69;114,64;39,68;88
VALUES;FEED7;14;35;1.7;38;45;59;8;1.3;0.19;1.4;0.25;1,7;50;220,46;108,03;26,46;90
VALUES;FEED8;18;20;3.0;30;35;46;8;1.5;0.28;2.4;0.30;1,7;54;238,1;116,85;44,09;30
VALUES;FEED9;17;25;3.0;30;35;46;8;1.5;0.28;2.4;0.30;1,7;58;255,74;125,66;57,32;36
VALUES;FEED10;132;0;0.0;0;0;0;;;;;24.20;;0;0;0;0;99
VALUES;FEED11;10;25;4.0;34;;;10;0.3;0.30;1.6;0.17;2,9;50;220,46;108,03;26,46;32
VALUES;FEED12;9;35;4.0;34;;;10;0.2;0.15;1.5;0.15;;60;264,55;130,07;66,14;40
VALUES;FEED13;4;;1.9;42;57;82;7;0.3;0.05;2.0;0.15;0,7;49;216,05;105,82;24,25;88
VALUES;FEED14;12;30;2.0;6;7;20;3;0.1;0.42;0.5;0.16;2,5;83;365,97;196,21;132,28;89
VALUES;FEED15;15;;3.9;11;;;5;0.0;0.45;0.7;0.06;;75;330,69;171,96;110,23;90
VALUES;FEED16;13;;2.6;9;;;4;0.0;0.40;0.1;0.15;;81;357,15;191,8;127,87;89
VALUES;FEED17;24;;1.4;5;;;6;0.1;0.05;1.4;0.26;;84;370,38;200,62;134,48;90
VALUES;FEED18;10;30;2.0;20;34;59;5;0.8;0.10;0.2;0.22;0,1;68;299,83;152,12;90,39;11
VALUES;FEED19;9;35;0.8;21;34;59;5;0.7;0.08;0.2;0.22;0,1;72;317,47;163,14;103,62;91
VALUES;FEED20;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;1,1;76;335,1;176,37;114,64;24
VALUES;FEED21;12;25;0.5;16;27;47;9;0.6;0.10;1.8;0.36;1,1;76;335,1;176,37;114,64;92
VALUES;FEED22;13;;1.4;9;;;25;0.7;0.24;4.8;0.45;2;58;255,74;125,66;57,32;20
VALUES;FEED23;10;;2.0;10;;;38;1.2;0.22;5.7;0.57;;52;229,28;112,44;35,27;25
