STOP_ON_FIRST_ERROR;false;;;;;;
PATH;/Temp/ADDITIVES;;;;;;
TYPE;bcpg:rawMaterial;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;
COLUMNS;bcpg:code;cm:name;bcpg:legalName;bcpg:legalName_en;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:suppliers
VALUES;MP1;E100 - curcumine;E100 - curcumine;E100 - Curcumin;Additifs;Colorant alimentaire;Table Additifs
VALUES;MP2;E100(i) - curcumine;E100(i) - curcumine;E100 (i) - Curcumin;Additifs;Colorant alimentaire;Table Additifs
VALUES;MP3;E100(ii) - turmerique;E100(ii) - turmerique;E100 (ii) - turmeric;Additifs;Colorant alimentaire;Table Additifs
VALUES;MP4;E1000 - acide cholique (émulsifiant);E1000 - acide cholique (émulsifiant);E1000 - cholic acid (emulsifier);Additifs;Autre additif;Table Additifs
VALUES;MP5;E1001 - sels et esters de choline (émulsifiant);E1001 - sels et esters de choline (émulsifiant);E1001 - salts and esters of choline (emulsifier);Additifs;Autre additif;Table Additifs
VALUES;MP6;E1001(i) - acétate de choline, émulsifiant;E1001(i) - acétate de choline, émulsifiant;E1001 (i) - acetate, choline, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP7;E1001(ii) - carbonate de choline, émulsifiant;E1001(ii) - carbonate de choline, émulsifiant;E1001 (ii) - choline carbonate, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP8;E1001(iii) - chlorure de choline, émulsifiant;E1001(iii) - chlorure de choline, émulsifiant;E1001 (iii) - choline chloride, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP9;E1001(iv) - citrate de choline, émulsifiant;E1001(iv) - citrate de choline, émulsifiant;E1001 (iv) - choline citrate, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP10;E1001(v) - tartrate de choline, émulsifiant;E1001(v) - tartrate de choline, émulsifiant;E1001 (v) - choline tartrate, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP11;E1001(vi) - lactate de choline, émulsifiant;E1001(vi) - lactate de choline, émulsifiant;E1001 (vi) - lactate, choline, emulsifier;Additifs;Autre additif;Table Additifs
VALUES;MP12;E101(i) - riboflavine (vitamine b2);E101(i) - riboflavine (vitamine b2);E101 (i) - riboflavin (vitamin b2);Additifs;Colorant alimentaire;Table Additifs
VALUES;MP13;E101(iii) - riboflavine (bacillus subtilis);E101(iii) - riboflavine (bacillus subtilis);E101 (iii) - Riboflavin (Bacillus subtilis);Additifs;Colorant alimentaire;Table Additifs
VALUES;MP14;E101a(ii) - 5'-phosphate sodique de riboflavine;E101a(ii) - 5'-phosphate sodique de riboflavine;E101a (ii) - 5'-phosphate sodium riboflavin;Additifs;Colorant alimentaire;Table Additifs
