STOP_ON_FIRST_ERROR;false;;
IMPORT_TYPE;EntityListItem;;
PATH;/Temp/ADDITIVES;;
TYPE;bcpg:ingList;;
MAPPING;Products;;
COLUMNS;bcpg:code;ingListIng;ingListQtyPerc
VALUES;MP1;E100 - curcumine;100
VALUES;MP2;E100(i) - curcumine;100
VALUES;MP3;E100(ii) - turmerique;100
VALUES;MP4;E1000 - acide cholique (émulsifiant);100
VALUES;MP5;E1001 - sels et esters de choline (émulsifiant);100
VALUES;MP6;E1001(i) - acétate de choline, émulsifiant;100
VALUES;MP7;E1001(ii) - carbonate de choline, émulsifiant;100
VALUES;MP8;E1001(iii) - chlorure de choline, émulsifiant;100
VALUES;MP9;E1001(iv) - citrate de choline, émulsifiant;100
VALUES;MP10;E1001(v) - tartrate de choline, émulsifiant;100
VALUES;MP11;E1001(vi) - lactate de choline, émulsifiant;100
VALUES;MP12;E101(i) - riboflavine (vitamine b2);100
VALUES;MP13;E101(iii) - riboflavine (bacillus subtilis);100
VALUES;MP14;E101a(ii) - 5'-phosphate sodique de riboflavine;100
VALUES;MP15;E102 - tartrazine;100
VALUES;MP16;E103 - jaune chrysoine (interdit en france);100
VALUES;MP17;E104 - jaune de quinoléine;100
VALUES;MP18;E105 - jaune solide;100
VALUES;MP19;E106 - riboflavine-5-sodium phosphate, vitamine B2;100
VALUES;MP20;E107 - jaune 2g;100
VALUES;MP21;E110 - jaune orange s;100
VALUES;MP22;E1100 - amylases, agent de traitement des farines;100
VALUES;MP23;E1101 - protéases, agent de traitement des farines, stabilisant, exaltateur d'arome;100
VALUES;MP24;E1101(i) - protéase, agent de traitement des farines, stabilisant, exaltateur d'arome;100
VALUES;MP25;E1101(ii) - papaïne, exaltateur d'arome;100
VALUES;MP26;E1101(iii) - bromelaïne, agent de traitement des farines, stabilisant, exaltateur d'arome;100
VALUES;MP27;E1101(iv) - ficine, agent de traitement des farines, stabilisant, exaltateur d'arome;100
VALUES;MP28;E1102 - glucose oxydase, antioxidant;100
VALUES;MP29;E1103 - invertase (stabilisant);100
VALUES;MP30;E1104 - lipases, exaltateur d'arome;100
VALUES;MP31;E1105 - lysozyme (agent de conservation);100
VALUES;MP32;E111 - orange ggn, alpha-naphthol;100
VALUES;MP33;E120 - acide carminique (ou carmin ou rouge cochenille);100
VALUES;MP34;E1200 - polydextrose (agent de lest, stabilisant, epaississant);100
VALUES;MP35;E1201 - poly vinyl pyrrolidone (raffermissant, stabilisant, dispersant);100
VALUES;MP36;E1202 - polyvinyl polypyrrolidone (stabilisant de la couleur, agent colloidal);100
VALUES;MP37;E1203 - alcool polyvinylique (agent d'enrobage, liant, agent de conditionnement hermetique, agent de finition superficielle);100
VALUES;MP38;E1204 - pullulane;100
VALUES;MP39;E121 - orseille orceine;100
VALUES;MP40;E122 - azorubine (ou carmoisine);100
VALUES;MP41;E123 - amarante;100
VALUES;MP42;E124 - ponceau 4r, rouge cochenille a;100
VALUES;MP43;E125 - ponceau sx;100
VALUES;MP44;E126 - ponceau gr;100
VALUES;MP45;E127 - érythrosine;100
VALUES;MP46;E128 - rouge 2g;100
VALUES;MP47;E129 - rouge allura ac;100
VALUES;MP48;E130 - manascorubine;100
VALUES;MP49;E131 - bleu patente v;100
VALUES;MP50;E132 - indigotine (ou carmin d'indigo);100
VALUES;MP51;E133 - bleu brillant fcf;100
VALUES;MP52;E140 - chlorophyllines;100
VALUES;MP53;E1400 - dextrines, amidon torréfié, stabilisant, épaississant, liant, émulsifiant;100
VALUES;MP54;E1401 - amidon traite aux acides, stabilisant, épaississant, liant, émulsifiant;100
VALUES;MP55;E1402 - amidon traite aux alcalis, stabilisant, épaississant, liant, émulsifiant;100
VALUES;MP56;E1403 - amidon blanchi, stabilisant, épaississant, liant, émulsifiant;100
VALUES;MP57;E1404 - amidon oxyde (gélifiant, épaississant);100
VALUES;MP58;E1405 - amidons traites aux enzymes, stabilisant, épaississant, liant, émulsifiant;100
VALUES;MP59;E140a - chlorophylles, pheophytine au magnésium;100
VALUES;MP60;E140b - chlorophyllines;100
VALUES;MP61;E141(i) - complexe cuivrique des chlorophylles;100
VALUES;MP62;E141(ii) - complexe cuivrique des chlorophyllines avec sels de sodium et de potassium;100
VALUES;MP63;E1410 - phosphate d'amidon (gélifiant, épaississant);100
VALUES;MP64;E1411 - glycérol de diamidon (gélifiant, épaississant);100
VALUES;MP65;E1412 - phosphate de diamidon (gélifiant, épaississant);100
VALUES;MP66;E1413 - phosphate de diamidon phosphate (gélifiant, épaississant);100
VALUES;MP67;E1414 - phosphate de diamidon acetyle (gélifiant, épaississant);100
VALUES;MP68;E142 - vert acide brillant bs, vert lissamine;100
VALUES;MP69;E1420 - amidon acétyle (gélifiant, épaississant);100
VALUES;MP70;E1421 - amidon acétyle a acétate de vinyle;100
VALUES;MP71;E1422 - adipate de diamidon acétyle (gélifiant, épaississant);100
VALUES;MP72;E1423 - glycérol de diamidon acétyle (gélifiant, épaississant);100
