STOP_ON_FIRST_ERROR;false;;;;;;
PATH;/Temp/CIQUAL;;;;;;
TYPE;bcpg:rawMaterial;;;;;;
MAPPING;NutDatabaseFrench;;;;;;
COLUMNS;bcpg:code;cm:name;bcpg:legalName;bcpg:legalName_en;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:suppliers
VALUES;CIQUAL40003;Cervelle, agneau, cuite, CIQUAL;Cervelle, agneau, cuite;Brains, lamb, cooked;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40004;Cervelle, porc, braisée, CIQUAL;Cervelle, porc, braisée;Brains, pork, braised;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40007;Cervelle, veau, cuite, CIQUAL;Cervelle, veau, cuite;Brains, veal, cooked;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40058;Coeur, agneau, cru, CIQUAL;Coeur, agneau, cru;Heart, lamb, raw;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40059;Coeur, agneau, cuit, CIQUAL;Coeur, agneau, cuit;Heart, lamb, cooked;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40052;Coeur, boeuf, cru, CIQUAL;Coeur, boeuf, cru;Heart, beef, raw;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40053;Coeur, boeuf, cuit, CIQUAL;Coeur, boeuf, cuit;Heart, beef, cooked;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40055;Coeur, dinde, cru, CIQUAL;Coeur, dinde, cru;Heart, turkey, raw;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40057;Coeur, dinde, cuit, CIQUAL;Coeur, dinde, cuit;Heart, turkey, cooked;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40054;Coeur, poulet, cru, CIQUAL;Coeur, poulet, cru;Heart, chicken, raw;CIQUAL;Abats;Table Ciqual 2012
VALUES;CIQUAL40056;Coeur, poulet, cuit, CIQUAL;Coeur, poulet, cuit;Heart, cooked chicken;CIQUAL;Abats;Table Ciqual 2012
