STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL40003;130;15,9;316;205;6,93;0,059;3,53;0,21;1,36;0;1;10,8;10,8;0,8;0;523;126;0;523;126;0;0;77,3;8,8;2,6;1,84;1,04;0;0;0;0;12;0,11;0,24;2,47;0,99;0,11;9,25;5;0;0;2080
VALUES;CIQUAL40004;91;12;220;195;9;0,085;1,82;0,263;1,48;0;1;12,1;12,1;1,07;0;576;138;0;576;138;0;0;75,9;9,51;2,15;1,72;1,47;0;0;0;0;14;0,078;0,223;3,33;1,82;0,14;1,42;4;0;0;2550
VALUES;CIQUAL40007;156;16;385;214;16;0,038;1,67;0,26;1,61;0;1;11,5;11,5;0,6;0;562;135;0;562;135;0;0;76,9;9,63;2,18;1,74;1,49;0;0;0;0;13;0,08;0,2;2,43;1;0,17;9,65;3;0;0;3100
VALUES;CIQUAL40058;114;17;188;298;7,5;0,046;5,01;0,397;1,82;23,7;0;16,8;16,8;0,4;0,4;407;96,6;0;407;96,6;0;0;78,4;3,09;0,677;0,512;0,615;0;0;0,51;0,48;4;0,43;0,895;7,9;2,63;0,095;8,84;2;0;0;158
VALUES;CIQUAL40059;63;24;254;188;14;0,055;5,34;0,61;1,54;24,6;0;16,7;16,7;0,38;0;400;94,9;0;400;94,9;0;0;79;2,95;0,597;0,488;0,77;0;0;0;0;7;0,17;1,19;6,15;1,37;0,12;9,23;2;0;0;249
VALUES;CIQUAL40052;93,5;18,7;206;260;6,24;0,0335;4,98;0,353;1,3;26,1;1,9;16,6;16,6;0,6;0,5;388;92,1;0;388;92,1;0;0;79,5;2,59;0,59;0,413;0,427;1;0;0,933;0,485;3;0,421;0,856;6,8;2,14;0,085;10,1;9;0;0;141
VALUES;CIQUAL40053;59;21;254;219;5;0,033;5,62;0,559;1,24;21,2;3;16,3;16,3;0,91;0;397;94,2;0;397;94,2;0;0;79;2,82;0,648;0,477;0,768;0;0;0,1;1,48;0;0,23;1,21;5,85;1,33;0,105;8,11;5;0;0;177
VALUES;CIQUAL40055;94;22;222;295;6;0,058;4,73;0,394;1,55;20,7;0;16,5;16,5;0,215;0;390;92,6;0;390;92,6;0;0;79,4;2,86;0,913;0,716;1,12;21;23;0;0;3;0,212;0,97;6,6;3,12;0,115;8,99;6;0;0;147
VALUES;CIQUAL40057;90;26;259;291;7;0,065;5,39;0,492;1,6;24,7;0;16,4;16,4;0,565;0;416;98,8;0;416;98,8;0;0;78,3;3,44;0,65;0,484;1,19;19;0;0;0;2,8;0,034;1,04;6,95;1,58;0,11;8,41;8;0;0;184
VALUES;CIQUAL40054;69;16;177;176;12;0,089;5,2;0,346;1,62;21,1;0;16,4;16,4;0,7;0;393;93,2;0;393;93,2;0;0;79,5;2,76;0,564;0,41;1,68;9;0;0;0;3,2;0,229;0,728;6,1;2,56;0,11;6,68;58,5;0;0;136
VALUES;CIQUAL40056;48;20;199;132;19;0,107;4,85;0,502;1,29;25,7;0;16,8;16,8;0,65;0;411;97,5;0;411;97,5;0;0;78,7;3,08;0,666;0,485;1,8;8;0;0;0;1,8;0,07;0,741;7,85;2,65;0,17;7,19;80;0;0;242
VALUES;CIQUAL40102;73;19;390;290;6;0,32;6,94;9,67;4,32;30;5;19,1;19,1;3,25;0;570;136;0;570;136;0;0;71;5,15;1,47;0,924;1,15;2370;72;0,5;0,77;19;0,39;4,64;17,6;8,2;0,391;68,5;205;0;0;430
VALUES;CIQUAL40103;90;22,5;424;286;8,5;0,557;7,53;8,45;6,07;0;5;26,4;26,4;6,49;0;895;213;0;895;213;0;0;56,4;9,09;3,39;1,84;1,29;7630;0;0,51;0,38;11,5;0,347;4,31;15,8;7,63;0,66;74,1;310;0;0;410
VALUES;CIQUAL40104;81;19;360;320;6;0,37;5,99;2,5;3,59;39,4;13;19;19;5,09;0;575;136;0;575;136;0;0;70,1;4,46;1,24;0,454;1,6;6810;232;1,1;0,42;23;0,23;2,78;15,3;8,1;0,533;96,3;330;0;0;249
VALUES;CIQUAL40105;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;2,2;5;27,4;27,4;1,26;0;691;164;0;691;164;0;0;64,1;5,5;1,78;0,612;0,765;7730;182;0,855;0,38;10,3;0,253;3,42;17,7;7,72;1,21;42,5;398;0;0;292
VALUES;CIQUAL40116;76;25;405;263;11;0,359;10,6;0,496;3,98;0;5;24,5;24,5;0,8;0;671;160;0;671;160;0;0;66,8;6,51;2,06;1,42;1,99;3980;30;0;0;27,9;0,291;1,99;11;6,67;0,755;16,8;578;0;0;563
