PATH;/System/Lists/bcpg:entityLists/LabelTypes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:listValue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;cm:name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Engagement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Origine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Caractéristique CDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Caractéristique produit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Mention de conservation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Conseil préparation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COORDONNES
VALUES;Valeur nutritionnelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Logo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Divers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;Coordonnées;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
