"PATH";"/System/Characts/Ings";;;;;;
"TYPE";"bcpg:ing";;;;;;
"COLUMNS";"cm:name";"cm:description";"bcpg:ingType";"bcpg:ingCEECode";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en"
"VALUES";"5-bromo-5-nitro-1,3 dioxane";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"5-bromo-5-nitro-1,3 dioxane";"5-bromo-5-nitro-1,3 dioxane";"5-bromo-5-nitro-1,3 dioxane"
"VALUES";"acetylated lanolin";"émollient, conditionneur";"Ingrédient";;"acetylated lanolin";"acetylated lanolin";"acetylated lanolin"
"VALUES";"acrylates copolymer";"gélifier les phases aqueuses, épaissir, augmenter la viscosité, fixateur capillaire";"Ingrédient";;"acrylates copolymer";"acrylates copolymer";"acrylates copolymer"
"VALUES";"acrylates/acrylamide copolymer";"fixateur capillaire, filmogène";"Ingrédient";;"acrylates/acrylamide copolymer";"acrylates/acrylamide copolymer";"acrylates/acrylamide copolymer"
"VALUES";"acrylates/C10-30 alkyl acrylate crosspolymer";"épaissir, gélifier";"Ingrédient";;"acrylates/C10-30 alkyl acrylate crosspolymer";"acrylates/C10-30 alkyl acrylate crosspolymer";"acrylates/C10-30 alkyl acrylate crosspolymer"
"VALUES";"alanine";"conditionneur";"Ingrédient";;"alanine";"alanine";"alanine"
"VALUES";"alcloxa";"astringent";"Ingrédient";;"alcloxa";"alcloxa";"alcloxa"
"VALUES";"algae";"conditionneur";"Ingrédient";;"algae";"algae";"algae"
"VALUES";"algin";"épaissir, gélifier";"Ingrédient";;"algin";"algin";"algin"
"VALUES";"allantoin";"conditionneur, protecteur";"Ingrédient";;"allantoin";"allantoin";"allantoin"
"VALUES";"allantoin acetyl methionine";"anti-irritant, anti-pelliculaire, réparateur et lustrant capillaire";"Ingrédient";;"allantoin acetyl methionine";"allantoin acetyl methionine";"allantoin acetyl methionine"
"VALUES";"allantoin ascorbate";"anti-oxydant, atténu les sentations de brûlures";"Ingrédient";;"allantoin ascorbate";"allantoin ascorbate";"allantoin ascorbate"
"VALUES";"aloe barbadensis (leaf) juice";"humectant, protecteur";"Ingrédient";;"aloe barbadensis (leaf) juice";"aloe barbadensis (leaf) juice";"aloe barbadensis (leaf) juice"
"VALUES";"alpha isomethyl ionone";"note fleurie violette";"Ingrédient";;"alpha isomethyl ionone";"alpha isomethyl ionone";"alpha isomethyl ionone"
"VALUES";"alpha-glucan oligosaccharide";"conditionneur";"Ingrédient";;"alpha-glucan oligosaccharide";"alpha-glucan oligosaccharide";"alpha-glucan oligosaccharide"
"VALUES";"aluminium chloride";"anti-transpirant, astringeant, déodorant";"Ingrédient";;"aluminium chloride";"aluminium chloride";"aluminium chloride"
"VALUES";"aluminium chlorohydrate";"anti-transpirant";"Ingrédient";;"aluminium chlorohydrate";"aluminium chlorohydrate";"aluminium chlorohydrate"
"VALUES";"aluminium formate (and) tartaric acid (and) trieth";"agent astringent doux, déodorant";"Ingrédient";;"aluminium formate (and) tartaric acid (and) trieth";"aluminium formate (and) tartaric acid (and) trieth";"aluminium formate (and) tartaric acid (and) trieth"
"VALUES";"aluminium lactate";"astringent, déodorant";"Ingrédient";;"aluminium lactate";"aluminium lactate";"aluminium lactate"
"VALUES";"aluminium starch octenylsuccinate";"poudre absorbante";"Ingrédient";;"aluminium starch octenylsuccinate";"aluminium starch octenylsuccinate";"aluminium starch octenylsuccinate"
"VALUES";"ammonium acryloyldimethyltaurate/VP copolymer";"épaississant";"Ingrédient";;"ammonium acryloyldimethyltaurate/VP copolymer";"ammonium acryloyldimethyltaurate/VP copolymer";"ammonium acryloyldimethyltaurate/VP copolymer"
"VALUES";"ammonium lactate";"exfoliant, humectant, tampon (pH)";"Ingrédient";;"ammonium lactate";"ammonium lactate";"ammonium lactate"
"VALUES";"ammonium lauryl sulfate";"base lavante douce";"Ingrédient";;"ammonium lauryl sulfate";"ammonium lauryl sulfate";"ammonium lauryl sulfate"
"VALUES";"ammonium polyacryloyldimethyl taurate";"stabilisateur, viscosant";"Ingrédient";;"ammonium polyacryloyldimethyl taurate";"ammonium polyacryloyldimethyl taurate";"ammonium polyacryloyldimethyl taurate"
"VALUES";"apricot kerneloil polyglyceryl-10 esters";"émollient, nourrissant";"Ingrédient";;"apricot kerneloil polyglyceryl-10 esters";"apricot kerneloil polyglyceryl-10 esters";"apricot kerneloil polyglyceryl-10 esters"
"VALUES";"aqua (and) alcohol (and) paeonia suffruticosa";"éclaircissant";"Ingrédient";;"aqua (and) alcohol (and) paeonia suffruticosa";"aqua (and) alcohol (and) paeonia suffruticosa";"aqua (and) alcohol (and) paeonia suffruticosa"
"VALUES";"aqua (and) hydrolyzed jojoba esters";"émollient";"Ingrédient";;"aqua (and) hydrolyzed jojoba esters";"aqua (and) hydrolyzed jojoba esters";"aqua (and) hydrolyzed jojoba esters"
"VALUES";"aqua (and) propylene glycol (and) hedera helix";"drainant";"Ingrédient";;"aqua (and) propylene glycol (and) hedera helix";"aqua (and) propylene glycol (and) hedera helix";"aqua (and) propylene glycol (and) hedera helix"
"VALUES";"aqua (and) propylene glycol (and) kigelia africana";"tenseur";"Ingrédient";;"aqua (and) propylene glycol (and) kigelia africana";"aqua (and) propylene glycol (and) kigelia africana";"aqua (and) propylene glycol (and) kigelia africana"
"VALUES";"aqua (and) propylene glycol (and) vitis vinifera";"anti-couperose, circulation sanguine";"Ingrédient";;"aqua (and) propylene glycol (and) vitis vinifera";"aqua (and) propylene glycol (and) vitis vinifera";"aqua (and) propylene glycol (and) vitis vinifera"
"VALUES";"aqua (and) sucrose cocoate (and) alcohol";"moussant doux";"Ingrédient";;"aqua (and) sucrose cocoate (and) alcohol";"aqua (and) sucrose cocoate (and) alcohol";"aqua (and) sucrose cocoate (and) alcohol"
"VALUES";"aqua (water)";"composant principal des phases aqueuses";"Ingrédient";;"aqua (water)";"aqua (water)";"aqua (water)"
"VALUES";"aqua (water) (and) butyrospermum parkii (shea butt";"émulsion végétale, réparateur, anti-dessèchement, anti-oxydant, protecteur";"Ingrédient";;"aqua (water) (and) butyrospermum parkii (shea butt";"aqua (water) (and) butyrospermum parkii (shea butt";"aqua (water) (and) butyrospermum parkii (shea butt"
"VALUES";"arachidyl propionate";"émollient";"Ingrédient";;"arachidyl propionate";"arachidyl propionate";"arachidyl propionate"
"VALUES";"argania spinosa kernel oil";"conditionneur, émollient";"Ingrédient";;"argania spinosa kernel oil";"argania spinosa kernel oil";"argania spinosa kernel oil"
"VALUES";"arginine";"conditionneur";"Ingrédient";;"arginine";"arginine";"arginine"
"VALUES";"ascorbyl palmitate";"ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur; peut être aussi utilisé comme actif pour la peau, le dosage sera alors supérieur";"Ingrédient";;"ascorbyl palmitate";"ascorbyl palmitate";"ascorbyl palmitate"
"VALUES";"avena sativa (oat) kernel extract";"anti-oxydant, émollient, conditionneur";"Ingrédient";;"avena sativa (oat) kernel extract";"avena sativa (oat) kernel extract";"avena sativa (oat) kernel extract"
"VALUES";"avena sativa (oat) kernel flour";"exfoliant, absorbant, épaississant";"Ingrédient";;"avena sativa (oat) kernel flour";"avena sativa (oat) kernel flour";"avena sativa (oat) kernel flour"
"VALUES";"avena sativa (oil) kernel extract";"nourrissant, réparateur, conditionneur";"Ingrédient";;"avena sativa (oil) kernel extract";"avena sativa (oil) kernel extract";"avena sativa (oil) kernel extract"
"VALUES";"bambusa arundinacea";"exfoliant en poudre";"Ingrédient";;"bambusa arundinacea";"bambusa arundinacea";"bambusa arundinacea"
"VALUES";"bambusa vulgaris";"exfoliant";"Ingrédient";;"bambusa vulgaris";"bambusa vulgaris";"bambusa vulgaris"
"VALUES";"beheneth-10";"émulsionnant";"Ingrédient";;"beheneth-10";"beheneth-10";"beheneth-10"
