"PATH";"/System/Characts/ProductHierarchy/RawMaterial_Hierarchy2";;
"TYPE";"bcpg:linkedValue";;
"COLUMNS";"cm:name";"bcpg:lkvPrevValue";"bcpg:lkvValue"
"VALUES";"Produit de la mer - Poisson";"Produit de la mer";"Poisson"
"VALUES";"Produit de la mer - Fruits de mer";"Produit de la mer";"Fruits de mer"
"VALUES";"Produit de la mer - Produit de la mer autres";"Produit de la mer";"Produit de la mer autres"
"VALUES";"Volaille - Poulet, poule";"Volaille";"Poulet, poule"
"VALUES";"Volaille - Dinde";"Volaille";"Dinde"
"VALUES";"Volaille - Canard, canette";"Volaille";"Canard, canette"
"VALUES";"Volaille - Lapin";"Volaille";"Lapin"
"VALUES";"Volaille - Volaille viande triée";"Volaille";"Volaille viande triée"
"VALUES";"Volaille - Volaille autres";"Volaille";"Volaille autres"
"VALUES";"Charcuterie - Charcuterie de poulet";"Charcuterie";"Charcuterie de poulet"
"VALUES";"Charcuterie - Charcuterie de dinde";"Charcuterie";"Charcuterie de dinde"
"VALUES";"Charcuterie - Charcuterie de porc";"Charcuterie";"Charcuterie de porc"
"VALUES";"Charcuterie - Charcuterie autres";"Charcuterie";"Charcuterie autres"
"VALUES";"Produits laitiers et ovoproduits - Produits laitiers";"Produits laitiers et ovoproduits";"Produits laitiers"
"VALUES";"Produits laitiers et ovoproduits - Fromage";"Produits laitiers et ovoproduits";"Fromage"
"VALUES";"Produits laitiers et ovoproduits - Ovoproduits";"Produits laitiers et ovoproduits";"Ovoproduits"
"VALUES";"Produits laitiers et ovoproduits - Produits laitiers et ovoproduits autres";"Produits laitiers et ovoproduits";"Produits laitiers et ovoproduits autres"
"VALUES";"Fruits, Légumes - Fruits";"Fruits, Légumes";"Fruits"
"VALUES";"Fruits, Légumes - Légumes";"Fruits, Légumes";"Légumes"
"VALUES";"Fruits, Légumes - Fruits, Légumes autres";"Fruits, Légumes";"Fruits, Légumes autres"
"VALUES";"Spécifique, site - Mix complet";"Spécifique, site";"Mix complet"
"VALUES";"Spécifique, site - Mix fonctionnel";"Spécifique, site";"Mix fonctionnel"
"VALUES";"Spécifique, site - Mix aromatique";"Spécifique, site";"Mix aromatique"
"VALUES";"Spécifique, site - Spécifique, site autres";"Spécifique, site";"Spécifique, site autres"
"VALUES";"Epicerie - Additifs, ingrédients fonctionnels";"Epicerie";"Additifs, ingrédients fonctionnels"
"VALUES";"Epicerie - Epices";"Epicerie";"Epices"
"VALUES";"Epicerie - Arômes, préparations aromatisantes";"Epicerie";"Arômes, préparations aromatisantes"
"VALUES";"Epicerie - Aromates, condiments";"Epicerie";"Aromates, condiments"
"VALUES";"Epicerie - Matières grasses";"Epicerie";"Matières grasses"
"VALUES";"Epicerie - Sauces";"Epicerie";"Sauces"
"VALUES";"Epicerie - Produits de panification";"Epicerie";"Produits de panification"
"VALUES";"Epicerie - Alcools, eau";"Epicerie";"Alcools, eau"
"VALUES";"Epicerie - Pâtes, riz, semoules";"Epicerie";"Pâtes, riz, semoules"
"VALUES";"Epicerie - Farines, céréales";"Epicerie";"Farines, céréales"
"VALUES";"Epicerie - Enrobant";"Epicerie";"Enrobant"
"VALUES";"Epicerie - Chapelure";"Epicerie";"Chapelure"
"VALUES";"Epicerie - Epicerie autres";"Epicerie";"Epicerie autres"
"VALUES";"Viande - Porc";"Viande";"Porc"
"VALUES";"Viande - Bœuf";"Viande";"Bœuf"
"VALUES";"Viande - Veau";"Viande";"Veau"
"VALUES";"Viande - Agneau, mouton";"Viande";"Agneau, mouton"
"VALUES";"Viande - Abats";"Viande";"Abats"
"VALUES";"Viande - Gibier";"Viande";"Gibier"
"VALUES";"Viande - Viandes autres";"Viande";"Viandes autres"
;;;
"PATH";"/System/ProductHierarchy/SemiFinishedProduct_Hierarchy2";;
"TYPE";"bcpg:linkedValue";;
"COLUMNS";"cm:name";"bcpg:lkvPrevValue";"bcpg:lkvValue"
;;;
"PATH";"/System/ProductHierarchy/FinishedProduct_Hierarchy2";;
"TYPE";"bcpg:linkedValue";;
"COLUMNS";"cm:name";"bcpg:lkvPrevValue";"bcpg:lkvValue"
"VALUES";"Pizzas - Pizzas individuelles";"Pizzas";"Pizzas individuelles"
"VALUES";"Pizzas - Pizzas familiales";"Pizzas";"Pizzas familiales"
"VALUES";"Pizzas - Mini pizzas";"Pizzas";"Mini pizzas"
"VALUES";"Sandwichs - Sandwichs froids";"Sandwichs";"Sandwichs froids"
"VALUES";"Sandwichs - Clubs";"Sandwichs";"Clubs"
"VALUES";"Sandwichs - Sandwichs chauds";"Sandwichs";"Sandwichs chauds"
"VALUES";"Galettes - Galettes garnies";"Galettes";"Galettes garnies"
"VALUES";"Galettes - Galettes nature";"Galettes";"Galettes nature"
"VALUES";"Crêpes - Crêpes garnies";"Crêpes";"Crêpes garnies"
"VALUES";"Crêpes - Crêpes nature";"Crêpes";"Crêpes nature"
"VALUES";"Saucisserie - Andouillette";"Saucisserie";"Andouillette"
"VALUES";"Saucisserie - Boudin";"Saucisserie";"Boudin"
"VALUES";"Saucisserie - Pâte fine";"Saucisserie";"Pâte fine"
"VALUES";"Saucisserie - Saucisse étuvée";"Saucisserie";"Saucisse étuvée"
"VALUES";"Quiches - Quiches individuelles";"Quiches";"Quiches individuelles"
"VALUES";"Quiches - Quiches familiales";"Quiches";"Quiches familiales"
"VALUES";"Quiches - Mini quiches";"Quiches";"Mini quiches"
"VALUES";"Produits japonais - Sushi";"Produits japonais";"Sushi"
"VALUES";"Produits japonais - Sashimi";"Produits japonais";"Sashimi"
"VALUES";"Produits japonais - Brochette";"Produits japonais";"Brochette"
;;;
"PATH";"/System/ProductHierarchy/CondSalesUnit_Hierarchy2";;
"TYPE";"bcpg:linkedValue";;
"COLUMNS";"cm:name";"bcpg:lkvPrevValue";"bcpg:lkvValue"
"VALUES";"Plats cuisinés - Viande + sauce";"Plats cuisinés";"Viande + sauce"
"VALUES";"Plats cuisinés - Poisson + sauce";"Plats cuisinés";"Poisson + sauce"
"VALUES";"Plats cuisinés - Plats complets (viande + sauce + garniture)";"Plats cuisinés";"Plats complets (viande + sauce + garniture)"
"VALUES";"Plats cuisinés - Soupes";"Plats cuisinés";"Soupes"
"VALUES";"Plats cuisinés - Gratins";"Plats cuisinés";"Gratins"
"VALUES";"Menus - kits - Sushis";"Menus - kits";"Sushis"
