PATH;/System/Characts/bcpg:entityLists/LabelClaims;;;;
TYPE;bcpg:labelClaim;;;;
MAPPING;Default;;;;
COLUMNS;cm:name;bcpg:legalName;bcpg:labelClaimType;labelClaimFormula;cm:description
VALUES;BPA Free;BPA Free;Santé;;
VALUES;Without palm oil;Without palm oil;Santé;;
VALUES;Free of fat palm;Free of fat palm;Environnementale;;
VALUES;Organic product;organic product;Certification;;
VALUES;Fair trade;fair Trade;Certification;;
VALUES;Casher;Casher;Certification;;
VALUES;Halal;Halal;Certification;;
VALUES;Approved for food contact;Approved for food contact;Certification;;
;;;;;
#;source : institut de la qualité de l'aliment (vendée);http://ec.europa.eu/food/food/labellingnutrition/claims/community_register/nutrition_claims_en.htm;;;
VALUES;Low energy;Low energy;Nutritionnelle;"( (!isLiquid() and nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Energy"")}'][0].value <= 40) or (isLiquid() and  nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Energy"")}'][0].value <= 20) ) and ( nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Energy"")}'][0].value>4)";A claim that a food is low in energy, and any claim likely to have the same meaning for the consumer, may only be made where the product does not contain more than 40 kcal (170 kJ)/100 g for solids or more than 20 kcal (80 kJ)/100 ml for liquids. For table-top sweeteners the limit of 4 kcal (17 kJ)/portion, with equivalent sweetening properties to 6 g of sucrose (approximately 1 teaspoon of sucrose), applies. 
VALUES;Energy-reduced;Energy-reduced;Nutritionnelle;;A claim that a food is energy-reduced, and any claim likely to have the same meaning for the consumer, may only be made where the energy value is reduced by at least 30 %, with an indication of the characteristic(s) which make(s) the food reduced in its total energy value. 
VALUES;Energy-free;Energy-free;Nutritionnelle;"nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Energy"")}'][0].value <= 4";A claim that a food is energy-free, and any claim likely to have the same meaning for the consumer, may only be made where the product does not contain more than 4 kcal (17 kJ)/100 ml. For table-top sweeteners the limit of 0,4 kcal (1,7 kJ)/portion, with equivalent sweetening properties to 6 g of sucrose (approximately 1 teaspoon of sucrose), applies. 
VALUES;Low fat;Low fat;Nutritionnelle;" ( (!isLiquid() and nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Total lipid (fat)"")}'][0].value <= 3) or (isLiquid() and  nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Total lipid (fat)"")}'][0].value <= 1.5) ) and ( nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Total lipid (fat)"")}'][0].value>0.5)";A claim that a food is low in fat, and any claim likely to have the same meaning for the consumer, may only be made where the product contains no more than 3 g of fat per 100 g for solids or 1,5 g of fat per 100 ml for liquids (1,8 g of fat per 100 ml for semi-skimmed milk). 
VALUES;Fat-free;Fat-free;Nutritionnelle;"nutList.?[nut.toString() == '${findCharact(""bcpg:nut"",""Total lipid (fat)"")}'][0].value <= 0.5";A claim that a food is fat-free, and any claim likely to have the same meaning for the consumer, may only be made where the product contains no more than 0,5 g of fat per 100 g or 100 ml. However, claims expressed as ‘X % fat-free’ shall be prohibited. 
VALUES;Low saturated fat;Low saturated fat;Nutritionnelle;;A claim that a food is low in saturated fat, and any claim likely to have the same meaning for the consumer, may only be made if the sum of saturated fatty acids and trans-fatty acids in the product does not exceed 1,5 g per 100 g for solids or 0,75 g/100 ml for liquids and in either case the sum of saturated fatty acids and trans-fatty acids must not provide more than 10 % of energy.
VALUES;Saturated fat-free;Saturated fat-free;Nutritionnelle;;A claim that a food does not contain saturated fat, and any claim likely to have the same meaning for the consumer, may only be made where the sum of saturated fat and trans-fatty acids does not exceed 0,1 g of saturated fat per 100 g or 100 ml.
