PATH;/Temp/Import;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:finishedProduct;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseEnglish;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;cm:name;bcpg:legalName;cm:description;bcpg:productComments;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:erpCode;bcpg:eanCode;bcpg:productState;bcpg:trademark;bcpg:clients;bcpg:productUnit;bcpg:productQty;bcpg:productDensity;bcpg:productSpecifications;bcpg:productMicrobioCriteria;bcpg:useByDate;bcpg:unitPrice;bcpg:unitTotalCost;bcpg:priceCurrency;bcpg:breakEven;bcpg:projectedQty;bcpg:profitability;;
VALUES;Arnispray Formula Arnica;Boiron;;;Welfare;Homeopathy;;;ToValidate;;Sephora;P;1;0.02;;;30;;;€;;;;;
VALUES;Amazon balm anti wrinkle 50ml bottle;anti-wrinkle balm;;http://www.aroma-zone.com/aroma/Fiche_extrait_concombreBIO.asp#lait-visage-hydratant-concombre;Beauty and care;Anti-aging;;;ToValidate;;Sephora;P;1;0.5;;;30;;0;€;;;;;	
VALUES;Bioptimum physical and intellectual vitality;Bioptimum physical and intellectual vitality;;;Welfare;Homeopathy;;;ToValidate;;Sephora;P;1;0.1;;;30;;;€;;;;;
VALUES;Moisturizing gel cream 5% A.DS.11;Moisturizing Gel Cream;;http://www.aroma-zone.com/aroma/Fiche_extrait_concombreBIO.asp#lait-visage-hydratant-concombre;Beauty and care;Hair care;;;ToValidate;;Sephora;P;1;0.5;;;30;;0;€;;;;;
VALUES;Moisturizing gel cream 100 g A.DS.11 5%;Moisturizing Gel Cream;;;Beauty and care;Hair care;;3262970808025;ToValidate;;Sephora;P;1;0;;;100;;;€;;;;;
VALUES;Moisturizing gel cream 150 g A.DS.11 5%;Moisturizing Gel Cream;;;Beauty and care;Hair care;;3262970808032;ToValidate;;Sephora;P;1;0;;;100;;;€;;;;;
VALUES;Moisturizing gel cream 200 g A.DS.11 5%;Moisturizing Gel Cream;;;Beauty and care;Hair care;;3262970808049;ToValidate;;Sephora;P;1;0;;;100;;;€;;;;;
VALUES;Moisturizing gel cream 5% 40 g A.DS.11;Moisturizing Gel Cream;;;Beauty and care;Hair care;;5400101012863;ToValidate;;Sephora;P;1;0;;;100;;;€;;;;;
VALUES;Moisturizing gel cream 5% 60 g A.DS.11;Moisturizing Gel Cream;;;Beauty and care;Hair care;;5400101012363;ToValidate;;Sephora;P;1;0;;;100;;;€;;;;;
VALUES;Moisturizing gel cream 5% 80 g A.DS.11;Moisturizing Gel Cream;;;Beauty and care;Hair care;;3262970808018;ToValidate;;Sephora;P;1;0;;;110;;;€;;;;;
VALUES;Revitalizing Emulsion 11.6%;revitalizing emulsion;0;;Beauty and care;Hair care;;;ToValidate;;Nocibé;P;1;0.05;;;;;;€;;;;;
VALUES;soap 150g;Voluptuous soap (with lavender and clary sage);;;Beauty and care;Hair care;;;Valid;;Nocibé;P;1;0.2;;;100;0.3;0.234;€;0;20000;21.879;;
VALUES;Voluptuous soap 200g (with lavender and clary sage);Voluptuous soap (with lavender and clary sage);;;Beauty and care;Hair care;;;ToValidate;;Sephora;P;1;0.2;;;;3;2.085;€;0;20000;30.498;;
VALUES;Voluptuous soap 200g (with lavender and clary sage);Voluptuous soap (with lavender and clary sage);;;Beauty and care;Hair care;;;ToValidate;;Sephora;P;1;0.2;;;;3;2.085;€;0;20000;30.498;;
VALUES;Body care ads11-2;body care;;;Beauty and care;Hair care;;;ToValidate;;Nocibé;P;1;0.2;;;;;0;€;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;  
