5-bromo-5-nitro-1,3 dioxane;Synthétique;conservateur;empécher la prolifération de bactéries et de levures;dosage maximum autorisé : 0,1%, à utiliser uniquement dans les produits rincés
acetylated lanolin;Naturelle secondaire;corps gras animal;émollient, conditionneur;dérivé de lanoline
acrylates copolymer;Synthétique;gélifiant;gélifier les phases aqueuses, épaissir, augmenter la viscosité, fixateur capillaire;plus efficace pour les bases lavantes
acrylates/acrylamide copolymer;Synthétique;polymer;fixateur capillaire, filmogène;
acrylates/C10-30 alkyl acrylate crosspolymer;Synthétique;gélifiant;épaissir, gélifier;
alanine;Synthétique;actif;conditionneur;
alcloxa;Synthétique;actif;astringent;
algae;Naturelle;extrait végétal;conditionneur;extrait d'algue
algin;Naturelle;gélifiant;épaissir, gélifier;
allantoin;Synthétique et naturelle;actif;conditionneur, protecteur;naturellement présent dans la consoude
allantoin acetyl methionine;Synthétique;actif;anti-irritant, anti-pelliculaire, réparateur et lustrant capillaire;
allantoin ascorbate;Synthétique;actif;anti-oxydant, atténu les sentations de brûlures;
aloe barbadensis (leaf) juice;Naturelle;extrait végétal;humectant, protecteur;nom commun : aloe vera
alpha isomethyl ionone;Synthétique;MP parfumée;note fleurie violette;listée en allergène
alpha-glucan oligosaccharide;Synthétique;complexe;conditionneur;
aluminium chloride;Synthétique;actif;anti-transpirant, astringeant, déodorant;peut causer des micro-kystes et des poils incarnés
aluminium chlorohydrate;Synthétique;actif;anti-transpirant;peut causer des micro-kystes et des poils incarnés, à l'origine des taches blanches ou de décoloration des vêtements
aluminium formate (and) tartaric acid (and) trieth;Synthétique;actif;agent astringent doux, déodorant;
aluminium lactate;Synthétique;actif;astringent, déodorant;
aluminium starch octenylsuccinate;Synthétique;charge;poudre absorbante;
ammonium acryloyldimethyltaurate/VP copolymer;Synthétique;polymer;épaississant;
ammonium lactate;Synthétique;sel;exfoliant, humectant, tampon (pH);
ammonium lauryl sulfate;Naturelle secondaire;tensio-actif;base lavante douce;validée par Ecocert
ammonium polyacryloyldimethyl taurate;Synthétique;polymer;stabilisateur, viscosant;
apricot kerneloil polyglyceryl-10 esters;Naturelle secondaire;tensio-actif;émollient, nourrissant;dérivé d'huile d'abricot
aqua (and) alcohol (and) paeonia suffruticosa;Naturelle;actif;éclaircissant;extrait de pivoine
aqua (and) hydrolyzed jojoba esters;Naturelle secondaire;actif;émollient;dérivé de jojoba
aqua (and) propylene glycol (and) hedera helix;Naturelle;actif;drainant;extrait de lierre
aqua (and) propylene glycol (and) kigelia africana;Naturelle;actif;tenseur;nom vernaculaire : kigeline
aqua (and) propylene glycol (and) vitis vinifera;Naturelle;actif;anti-couperose, circulation sanguine;extrait de vigne rouge
aqua (and) sucrose cocoate (and) alcohol;Naturelle secondaire;additif;moussant doux;
aqua (water);Naturelle;solvant, excipient;composant principal des phases aqueuses;sa qualité joue un rôle dominant pour la qualité du produit fini
aqua (water) (and) butyrospermum parkii (shea butt;Naturelle secondaire;actif;émulsion végétale, réparateur, anti-dessèchement, anti-oxydant, protecteur;mélange sur base de beurre de karité
arachidyl propionate;Naturelle secondaire;ester gras;émollient;
argania spinosa kernel oil;Naturelle;huile végétale;conditionneur, émollient;nom vernaculaire : argan l'engouement pour cette huile est assez récent et on voit éclore de nouvelles marques basées uniquement sur son utilisation
arginine;Synthétique et naturelle;actif;conditionneur;acide aminé
ascorbyl palmitate;Synthétique;anti-oxydant;"ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur; peut être aussi utilisé comme actif pour la peau, le dosage sera alors supérieur";forme esterifiée de la vitamine C
avena sativa (oat) kernel extract;Naturelle;extrait végétal;anti-oxydant, émollient, conditionneur;nom vernaculaire : avoine
avena sativa (oat) kernel flour;Naturelle;extrait végétal;exfoliant, absorbant, épaississant;farine d'avoine
avena sativa (oil) kernel extract;Naturelle;huile végétale;nourrissant, réparateur, conditionneur;nom vernaculaire : avoine
bambusa arundinacea;Naturelle;extrait végétal;exfoliant en poudre;nom vernaculaire : bambou
bambusa vulgaris;Naturelle;extrait végétal;exfoliant;
beheneth-10;Synthétique;tensio-actif;émulsionnant;obtenu par réaction avec de l'oxyde d'éthylène
behentrimonium methosulfate;Synthétique;complexe quaternaire;conditionneur, anti-statique;
behenyl alcohol;Synthétique;alcool gras;stabilisateur, viscosant;
bentonite;Naturelle;charge;absorbant, épaississant;dérivé de silicate d'aluminium
benzoic acid;Synthétique;;;
benzophenone-4;Synthétique;filtre UV;protège le produit de la dégradation par lumière;surtout utilisé pour les parfums
benzyl acetate;Synthétique et naturelle;MP parfumée;note fleurie, fruitée (banane);listé en allergène, naturellement présent dans l'absolue de jasmin
benzyl alcohol;Synthétique;MP parfumée;note amandée;listé en allergène
benzyl benzoate;Synthétique;MP parfumée;note amandée;listé en allergène
benzyl salicylate;Synthétique et naturelle;MP parfumée;note 'solaire';listé en allergène, naturellement présent dans l'absolu jasmin
BHA;Synthétique;anti-oxydant;ralentir l'oxydation des corps gras et protéger les actifs sensibles à la lumière et/ou à l'oxygène et/ou à la chaleur;
