MAPPING;Default;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingMaterial_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:lkvValue;
VALUES;Trays;
VALUES;Cardboard;
VALUES;Palette;
VALUES;Film;
VALUES;Box;
VALUES;Pots;
VALUES;Lids;
VALUES;Labels;
VALUES;Bricks;
VALUES;Carton;
VALUES;Pallets;
VALUES;Spacers;
;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingMaterial_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;parentLevel;bcpg:lkvValue
VALUES;Trays;Plastic trays
VALUES;Cardboard;Recyclable
VALUES;Palette;Recyclable
VALUES;Film;Thermoformable
VALUES;Box;Box
VALUES;Labels;Sticky
VALUES;Pots;Plastics
VALUES;Pots;Glasses
VALUES;Lids;Lids
VALUES;Bricks;Cardboard bricks
VALUES;Bricks;Plastic bricks
VALUES;Carton;Recyclable
VALUES;Pallets;Pallets
VALUES;Spacers;Spacers
;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingKit_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:lkvValue;
VALUES;Palletization;
;;
PATH;/System/ProductHierarchy/bcpg:entityLists/packagingKit_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;parentLevel;bcpg:lkvValue
VALUES;Palletization;Palletization
