MAPPING;Default;
PATH;/System/ProjectLists/bcpg:entityLists/project_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;bcpg:lkvValue;
VALUES;Food;
VALUES;Medical;
VALUES;Sport;
VALUES;Thinness;
VALUES;Information technology;
VALUES;Miscellaneous;
VALUES;Building;
;;
PATH;/System/ProjectLists/bcpg:entityLists/project_Hierarchy;
TYPE;bcpg:linkedValue;
COLUMNS;parentLevel;bcpg:lkvValue
VALUES;Food;Bread
VALUES;Food;Sandwich
VALUES;Food;Backery
VALUES;Food;Fish
VALUES;Food;Raw material
VALUES;Food;Miscellaneous
VALUES;Miscellaneous;Template
VALUES;Information technology;IT Hardware
VALUES;Information technology;IT Software
VALUES;Information technology;IT Internal project
VALUES;Information technology;IT Miscellaneous
VALUES;Building;Building Extension
VALUES;Building;Building Modification
VALUES;Building;Building Miscellaneous
