PATH;/Temp/Import;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;
MAPPING;Default;;;;;;;;;;;;;;
COLUMNS;cm:name;bcpg:legalName;cm:description;bcpg:productComments;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:productState;bcpg:productUnit;bcpg:productDensity;bcpg:erpCode;bcpg:eanCode;bcpg:suppliers;bcpg:productMicrobioCriteria;;
VALUES;Argile rose surfine;Argile rose surfine;;;Ingrédients de base;Argiles;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Beurre de cacao;Beurre de cacao;;;Huiles-beurres végétaux;Beurres végétaux;ToValidate;kg;1;;;Aroma zone;;;	
VALUES;Chlorophylle en poudre;Chlorophylle;;;Les plus;Colorants naturels;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Conservateur Cosgard;cosgard;;;Extraits de plantes;Colorations et shampooings capillaires végétaux;ToValidate;kg;1;;;Maprecos;;;
VALUES;Eau;eau;;;Ingrédients de base;Divers;ToValidate;L;1;;;;;;
VALUES;Emulsifiant Olivem 1000;Emulsifiant Olivem;;;Ingrédients de base;Emulsifiants;ToValidate;kg;1;;;Maprecos;;;
VALUES;Extrait concentré de Concombre BIO;concombre;;;Extraits de plantes;Extraits de Fruits;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Fleurs de lavande;Fleurs de lavande;;;Extraits de plantes;Colorations et shampooings capillaires végétaux;Valid;kg;1;;;;;;
VALUES;Formaldehyde;Formaldehyde;;;Extraits de plantes;Colorations et shampooings capillaires végétaux;ToValidate;L;1;;;Maprecos;;;
VALUES;Gomme Xanthane;xanthane;;;Extraits de plantes;Colorations et shampooings capillaires végétaux;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Huile de coco;Huile de coco;;;Huiles-beurres végétaux;Beurres végétaux;ToValidate;L;0.7;;;Aroma zone;;;
VALUES;Huile de palme;Huile de palme;;;Huiles-beurres végétaux;Beurres végétaux;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Huile d’olive;Huile d’olive;;;Huiles-beurres végétaux;Beurres végétaux;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Huile essentielle de lavande;lavande;;;Huiles Essentielles;Fleuries;Valid;kg;1;;;;;;
VALUES;Huile essentielle de sauge sclarée;Huile essentielle de sauge sclarée;;;Huiles Essentielles;D'herbes aromatiques;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Hydrolat de Menthe poivrée BIO;menthe poivrée;;;Huiles Essentielles;Les BIO;ToValidate;kg;1;;;Aroma zone;;;
VALUES;Hydroxyde de soude;Hydroxyde de soude;;;Ingrédients de base;Divers;ToValidate;kg;1;;;Maprecos;;;
VALUES;MP1;;;;Huiles Essentielles;Épicées;ToValidate;kg;1;;;;;;
VALUES;Sodium laureth sulfate;Sodium laureth sulfate;;;Ingrédients de base;Tensioactifs;ToValidate;kg;1;;;Maprecos;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;  
