STOP_ON_FIRST_ERROR;false;;;;;;
PATH;/Temp/CIQUAL;;;;;;
TYPE;bcpg:rawMaterial;;;;;;
MAPPING;NutDatabaseFrench;;;;;;
COLUMNS;bcpg:code;cm:name;bcpg:legalName;bcpg:legalName_en;bcpg:productHierarchy1;bcpg:productHierarchy2;bcpg:suppliers
VALUES;CIQUAL1000;Pastis, CIQUAL;Pastis;Anis spirit;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1001;Eau de vie, CIQUAL;Eau de vie;Brandy;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1002;Gin, CIQUAL;Gin;Gin;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1003;Liqueur, CIQUAL;Liqueur;Liqueur;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1004;Rhum, CIQUAL;Rhum;Rum;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1005;Whisky, CIQUAL;Whisky;Whisky;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1006;Vin doux, CIQUAL;Vin doux;Port or Sherry;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1007;Apéritif à  base de vin ou vermouth, CIQUAL;Apéritif à  base de vin ou vermouth;Wine-based aperitif;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1008;Vodka, CIQUAL;Vodka;Vodka;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1009;Apéritif à  la gentiane, CIQUAL;Apéritif à  la gentiane;Gentian bitters;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1010;Pastis, prêt à  boire (1+ 5), CIQUAL;Pastis, prêt à  boire (1+ 5);Anis spirit, diluted (1+5);CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1011;Apéritif anisé sans alcool, CIQUAL;Apéritif anisé sans alcool;Anis spirit, alcohol free;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1017;Sangria, CIQUAL;Sangria;Sangria;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1018;Kir (au vin blanc), CIQUAL;Kir (au vin blanc);Cocktail of white wine with black current liqueur;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1019;Kir royal (au champagne), CIQUAL;Kir royal (au champagne);Cocktail of champagne with black current liqueur;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL1021;Crème de cassis, CIQUAL;Crème de cassis;Black current liqueur;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL2000;Ananas, jus à  base de concentré, pasteurisé, CIQUAL;Ananas, jus à  base de concentré, pasteurisé;Pineapple juice, reconstituted, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2002;Jus multifruit, pur jus, multivitaminé, pasteurisé, CIQUAL;Jus multifruit, pur jus, multivitaminé, pasteurisé;Fruit juice, mixed, enriched, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2004;Jus de fruits (aliment moyen), CIQUAL;Jus de fruits (aliment moyen);Fruit juice (average);CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2006;Carotte, pur jus, pasteurisé, CIQUAL;Carotte, pur jus, pasteurisé;Carrot juice, canned;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2007;Citron, jus pressé maison, CIQUAL;Citron, jus pressé maison;Lemon juice, raw, unsweetened;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2008;Cocktail sans alcool (à  base de jus de fruits et de sirop), CIQUAL;Cocktail sans alcool (à  base de jus de fruits et de sirop);Cocktail, alcohol-free;CIQUAL;Boissons alcoolisées;Table Ciqual 2008
VALUES;CIQUAL2012;Orange, jus à  base de concentré, pasteurisé, CIQUAL;Orange, jus à  base de concentré, pasteurisé;Orange juice, reconstituted, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2013;Orange, jus pressé maison, CIQUAL;Orange, jus pressé maison;Orange juice, raw, unsweetened;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2014;Pomme, jus à  base de concentré, pasteurisé, CIQUAL;Pomme, jus à  base de concentré, pasteurisé;Apple juice, reconstituted, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2015;Pamplemousse (pomélo), jus à  base de concentré, pasteurisé, CIQUAL;Pamplemousse (pomélo), jus à  base de concentré, pasteurisé;Grapefruit juice, reconstituted, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2016;Raisin, pur jus, pasteurisé, CIQUAL;Raisin, pur jus, pasteurisé;Grape juice, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2021;Tomate, pur jus, pasteurisé, CIQUAL;Tomate, pur jus, pasteurisé;Tomato juice, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2023;Mangue, pur jus, frais, CIQUAL;Mangue, pur jus, frais;Mango juice, raw;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2025;Pamplemousse (pomélo), pur jus, frais, CIQUAL;Pamplemousse (pomélo), pur jus, frais;Grapefruit juice, raw, unsweetened;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2027;Pamplemousse (pomélo), pur jus, pasteurisé, CIQUAL;Pamplemousse (pomélo), pur jus, pasteurisé;Grapefruit juice, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2031;Citron vert, pur jus, pasteurisé, CIQUAL;Citron vert, pur jus, pasteurisé;Lime juice, pasteurized, unsweetened;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2034;Clémentine/mandarine, pur jus, pasteurisé, CIQUAL;Clémentine/mandarine, pur jus, pasteurisé;Mandarin orange juice, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2035;Jus multifruit, pur jus, pasteurisé, CIQUAL;Jus multifruit, pur jus, pasteurisé;Fruit juice, mixed, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2043;Abricot, nectar, pasteurisé, CIQUAL;Abricot, nectar, pasteurisé;Apricot nectar, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
VALUES;CIQUAL2054;Poire, nectar, pasteurisé, CIQUAL;Poire, nectar, pasteurisé;Pear nectar, pasteurized;CIQUAL;Jus et nectars;Table Ciqual 2008
