PATH;/System/Lists/bcpg:entityLists/ingTypeItem;;
TYPE;bcpg:ingTypeItem;;
COLUMNS;cm:name;bcpg:legalName;bcpg:legalName_en
VALUES;Adipate;Adipate;Adipate
VALUES;Alginate;Alginate;Alginate
VALUES;Antibiotique;Antibiotique;Antibiotic
VALUES;Antioxidant;Antioxidant;Antioxidant
VALUES;Autre additif;Autre additif;Other additive
VALUES;Carbonate;Carbonate;Carbonate
VALUES;Chlorure;Chlorure;Chloride
VALUES;Cire et hydrocarbure;Cire et hydrocarbure;Wax and hydrocarbon
VALUES;Citrate;Citrate;Citrate
VALUES;Colorant alimentaire;Colorant alimentaire;Food coloring
VALUES;Conservateur;Conservateur;Conservative
VALUES;Dérivé cellulosique;Dérivé cellulosique;Cellulose derivative
VALUES;Dérivé d'acide gras alimentaire;Dérivé d'acide gras alimentaire;Dietary fatty acid derivative
VALUES;Diphosphate;Diphosphate;Diphosphate
VALUES;Edulcorant;Edulcorant;Sweetener
VALUES;Epaississant;Epaississant;Thickener
VALUES;Exhausteur;Exhausteur;Flavour enhancer
VALUES;Ferrocyanure;Ferrocyanure;Ferrocyanide
VALUES;Gaz;Gaz;Gas
VALUES;Glace;Glace;Ice
VALUES;Gluconate;Gluconate;Gluconate
VALUES;Glutamate;Glutamate;Glutamate
VALUES;Gomme;Gomme;Gum
VALUES;Gomme à mâcher;Gomme à mâcher;Chewing gum
VALUES;Gélifiant;Gélifiant;Gelling
VALUES;Guanylate;Guanylate;Guanylate
VALUES;Hydroxyde;Hydroxyde;Hydroxide
VALUES;Ingrédient;Ingrédient;Ingredient
VALUES;Inosinate;Inosinate;Inosinate
VALUES;Lactate;Lactate;Lactate
VALUES;Lécithine;Lécithine;Lecithin
VALUES;Malate;Malate;Malate
VALUES;Orthophosphate;Orthophosphate;Orthophosphate
VALUES;Phosphate;Phosphate;Phosphate
VALUES;Silicate;Silicate;Silicate
VALUES;Stabilisant;Stabilisant;Stabilizer
VALUES;Stearate;Stearate;Stearate
VALUES;Sulfate;Sulfate;Sulfate
VALUES;Tartrate;Tartrate;Tartrate
VALUES;Thiosulfate;Thiosulfate;Thiosulfate
VALUES;Triphosphate;Triphosphate;Triphosphate
