ghs:hazardType;ghs:hazardCode;ghs:hazardClassCode;ghs:pictogramCode;ghs:signalWord;ghs:hclRegulatoryText;formula;formulaDetails
Physical;H226;Flam. Liq. 3;GHS02;Warning;Liquide inflammable CAT 3;FP!=null && 60 >= FP && FP >= 23;"""60 >="" + FP + "" and "" + FP + "" >= 23"""
Physical;H225;Flam. Liq. 2;GHS02;Danger;Liquide inflammable CAT 2;FP!=null && BP!=null && FP < 23 && BP > 35;"FP + "" < 23 and "" + BP + "" > 35"""
Physical;H224;Flam. Liq. 1;GHS02;Danger;Liquide inflammable CAT 1;FP!=null && BP!=null  && FP <= 35 && BP <= 35;"FP + "" <= 35 and "" + BP + "" <= 35"""
Physical;H290;Met. Corr. 1;GHS05;Warning;;"hSum(""H290"") > 0";"detail(""H290"")+ ""  exists """
Health;H314;Skin Corr. 1A, 1B, 1C;GHS05;Danger;;"hSum(""H314"") >= 5";"detail(""H314"")+ ""  >= 5"""
Health;H315;Skin Irrit. 2;GHS07;Warning;;"hSum(""H314"") >= 1 && hSum(""H314"") < 5";"detail(""H314"")+ ""  >= 1 and ""+detail(""H314"")+"" < 5"""
Health;H315;Skin Irrit. 2;GHS07;Warning;;"hSum(""H315"") >= 10";"detail(""H315"")+ ""  >= 10"""
Health;H315;Skin Irrit. 2;GHS07;Warning;;"10 * hSum(""H314"") + hSum(""H315"") >= 10";"""10 * ""+detail(""H314"")+"" + ""+detail(""H315"")+"" >= 10"""
Health;H318;Eye Dam. 1;GHS05;Danger;;"hSum(""H318"") + hSum(""H314"") >= 3";"detail(""H318"")+"" + ""+detail(""H314"")+"" >= 3"""
Health;H319;Eye Irrit. 2;GHS07;Warning;;"hSum(""H318"") + hSum(""H314"") >= 1 && hSum(""H318"") + hSum(""H314"") < 3";"detail(""H318"")+"" + ""+detail(""H314"")+"" >= 1 and ""+detail(""H318"")+"" + ""+detail(""H314"")+"" < 3"""
Health;H319;Eye Irrit. 2;GHS07;Warning;;"hSum(""H319"") >= 10";"detail(""H319"") + "" >= 10"""
Health;H319;Eye Irrit. 2;GHS07;Warning;;"10 * hSum(""H314"") + 10 * hSum(""H318"") + hSum(""H319"") >= 10";"""10 * "" + detail(""H314"") + "" + 10 * "" + detail(""H318"") + "" + "" + detail(""H319"") + "" >= 10"""
Health;H317;Skin Sens. 1, 1A, 1B;GHS07;Warning;;"hMax(""H317"", ""Skin Sens. 1"") >= 1 || hMax(""H317"", ""Skin Sens. 1B"") >= 1 || hMax(""H317"", ""S"") >= 0.01";"detail(""H317"", ""Skin Sens. 1"") + "" >= 1 or "" + detail(""H317"", ""Skin Sens. 1B"") + "" >= 1 or "" + detail(""H317"", ""S"") + "" >= 0.01"""
Health;H317;Skin Sens. 1A;GHS07;Warning;;"hMax(""H317"", ""Skin Sens. 1A"") >= 0.1";"detail(""H317"", ""Skin Sens. 1A"") + "" >= 0.1"""
Health;EUH208;;;;;"hMax(""H317"", ""Skin Sens. 1"") >= 0.1 || (hMax(""H317"", ""Skin Sens. 1B"") >= 0.1  &&  hMax(""H317"", ""Skin Sens. 1B"") <1 )|| hMax(""H317"", ""S"") >= 0.001 ";"detail(""H317"", ""Skin Sens. 1"") + "" >= 0.1 or "" + detail(""H317"", ""Skin Sens. 1B"") + "" >= 0.1 and < 1 or "" + detail(""H317"", ""S"") + "" >= 0.001"""
Health;EUH208;;;;;"hMax(""H317"", ""Skin Sens. 1A"") >= 0.01";"detail(""H317"", ""Skin Sens. 1A"") + "" >= 0.01"""
Health;H341;Muta. 2;GHS08;Warning;Mutagénicité sur celles germinales CAT 2;"hMax(""H341"", ""Muta. 2"") >= 1";"detail(""H341"", ""Muta. 2"") + "" >= 1"""
Health;H340;Muta. 1B;GHS08;Danger;Mutagénicité sur celles germinales CAT 1B;"hMax(""H340"", ""Muta. 1A"") >= 0.1 || hMax(""H340"", ""Muta. 1B"") >= 0.1";"detail(""H340"", ""Muta. 1A"") + "" >= 0.1 or "" + detail(""H340"", ""Muta. 1B"") + "" >= 0.1"""
Health;H340;Muta. 1A;GHS08;Danger;Mutagénicité sur celles germinales CAT 1A;"hMax(""H340"", ""Muta. 1A"") >= 0.1 || hMax(""H340"", ""Muta. 1B"") >= 0.1";"detail(""H340"", ""Muta. 1A"") + "" >= 0.1 or "" + detail(""H340"", ""Muta. 1B"") + "" >= 0.1"""
Health;H351;Carc. 2;GHS08;Warning;Cancérogénicité CAT 2;"hMax(""H351"", ""Carc. 2"") >= 1";"detail(""H351"", ""Carc. 2"") + "" >= 1"""
Health;H350;Carc. 1B;GHS08;Danger;Cancérogénicité CAT 1B;"hMax(""H350"", ""Carc. 1A"") >= 0.1 || hMax(""H350"", ""Carc. 1B"") >= 0.1";"detail(""H350"", ""Carc. 1A"") + "" >= 0.1 or "" + detail(""H350"", ""Carc. 1B"") + "" >= 0.1"""
Health;H350;Carc. 1A;GHS08;Danger;Cancérogénicité CAT 1A;"hMax(""H350"", ""Carc. 1A"") >= 0.1 || hMax(""H350"", ""Carc. 1B"") >= 0.1";"detail(""H350"", ""Carc. 1A"") + "" >= 0.1 or "" + detail(""H350"", ""Carc. 1B"") + "" >= 0.1"""
Health;H361;Repr. 2;GHS08;Warning;Toxicité pour la reproduction CAT 2;"hMax(""H361"", ""Repr. 2"") >= 3";"detail(""H361"", ""Repr. 2"") + "" >= 3"""
Health;H360;Repr. 1B;GHS08;Danger;Toxicité pour la reproduction CAT 1B;"hMax(""H360"", ""Repr. 1A"") >= 0.3 || hMax(""H360"", ""Repr. 1B"") >= 0.3";"detail(""H360"", ""Repr. 1A"") + "" >= 0.3 or "" + detail(""H360"", ""Repr. 1B"") + "" >= 0.3"""
