id;alias;name;cropGroup;scenario;defaultOrigin;landOccupation;cropDiversity;hedges;permanentPasture;plotSize
00150a93-dea5-55d1-ba56-990d4fa43592;barley-whole-fr;Orge entière FR;ORGE;reference;France;1.533;0;2.5;;4.09
001e0594-90e9-4d0f-bf0d-a9a253269c58;radish-fr;Radis FR;LEGUMES-FLEURS;reference;France;0.03704;0;0.0587;;0.165
004261b0-48fe-4ebc-ac57-17570992d2b6;fromage-blanc-0pct-fat-default;Fromage blanc ou frais type petit suisse, nature, 0% MG Origine Inconnue;;import;OutOfEuropeAndMaghreb;14.21;;;;
00484931-4bae-51e6-b779-b734d916acd4;blueberry-organic;Myrtille Bio;VERGERS;organic;France;3.815;2.66;17.3;;23.8
0054c2b4-012d-52a0-bc76-2e4ac48b8160;pear-eu;Poires UE;VERGERS;import;EuropeAndMaghreb;0.2607;0;0;;0
00603559-120a-4aa4-b12b-2eda1705e064;virgin-hazelnut-oil-2025;Huile de noisette (vierge) FR (2025);FRUITS A COQUES;reference;France;28.7;0;54.6;;179.0
0060abe9-a6c2-47fb-bc87-404a9bbd3971;walnut-inshell-eu-2025;Noix avec coque UE (2025);FRUITS A COQUES;import;EuropeAndMaghreb;0.03824;0;0;;0
00d5fa04-b2fd-5a3c-a5fa-c87598ce8a53;garlic-eu;Ail UE;LEGUMES-FLEURS;import;EuropeAndMaghreb;0.6079;0;0;;0
01d233d9-228e-5ff7-8a57-1528e3f92b80;nectarine-non-eu;Nectarine HORS UE;VERGERS;import;OutOfEuropeAndMaghreb;0.5142;0;0;;0
01d47b32-cffd-47d5-a6fa-11bdf56035ad;walnut-shelled-default;Noix, décortiquée, fraîche ou sèche Origine Inconnue;FRUITS A COQUES;import;OutOfEuropeAndMaghreb;3.241;0;0;;0
020de0fa-d979-5199-85ee-f29ed211e200;rutabaga-default;Rutabaga Origine Inconnue;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.166;0;0;;0
02106d98-e7e7-5884-905e-fc6d194c4fdb;beetroot-fr;Betterave FR;AUTRES CULTURES INDUSTRIELLES;reference;France;0.04968;0;0.0292;;0.0884
022b51ee-ee0e-5ed6-b901-e4d6e9111d82;turnip-default;Navet Origine Inconnue;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.166;0;0;;0
0286cb19-9aa6-57aa-925c-5dcf2620c080;olive-fr;Olives FR;OLIVIERS;reference;France;2.025;0;6.24;;12.6
0293340c-933d-553d-b807-a2cc4863b05c;ginger-default;Gingembre Origine Inconnue;AUTRES CULTURES INDUSTRIELLES;import;OutOfEuropeAndMaghreb;0.2475;0;0;;0
02a9df90-91c4-5bf0-900a-9efa6ffcfaf6;macadamia-nut-default;Noix de macadamia Origine Inconnue;FRUITS A COQUES;import;OutOfEuropeAndMaghreb;1.623;0;0;;0
02ac1aa9-82fc-5ff7-a0f2-f4e77a93a89e;rhubarb-organic;Rhubarbe Bio;LEGUMES-FLEURS;organic;France;0.8016;2.49;2.94;;4.99
02b2ed63-6246-446c-8cf3-224dbe698821;lentils-uncooked-organic-2025;Lentilles Bio (2025);LEGUMINEUSES A GRAIN;organic;France;7.576;13.1;13.1;;13.1
02b7f1bd-56ea-5243-8c22-baa8c6d6052e;coffee-bean-organic;Café en grains Bio;ARBORICULTURE;organic;France;8.883;6.19;48.3;;39.5
0320e108-7550-5304-83cb-cbdd24172139;endive-eu;Endive UE;LEGUMES-FLEURS;import;EuropeAndMaghreb;0.0824;0;0;;0
034bbddf-d9b2-5a29-8397-4abcd65a7999;lamb-organic;Agneau Bio;;organic;France;40.75;;;;
03a180e3-3f09-5459-8397-bdbd10c1c934;spring-pea-fr;Pois de printemps FR;PROTEAGINEUX;reference;France;2.417;0;3.61;;6.45
03ff2f01-3931-55a9-81f7-509909908486;lamb-default;Agneau Origine Inconnue;;import;OutOfEuropeAndMaghreb;40.75;;;;
04064048-be9e-5453-afe1-b1c4593d1a39;greengage-plum-organic;Prune reine-claude Bio;VERGERS;organic;France;0.0287;0.02;0.13;;0.179
041e7eb9-639d-5610-987a-f54c94cca640;flaxseed-organic;Graines de lin Bio;AUTRES OLEAGINEUX;organic;France;10.17;36.5;22.6;;27.1
04358436-709a-5e75-8cf4-d114dd8f0e9f;split-pea-organic;Pois cassés Bio;LEGUMINEUSES A GRAIN;organic;France;4.979;16.5;10.4;;16.5
0463062b-6142-53f5-abfe-f3dce79b5579;seaweed-fr;Algue FR;DIVERS;reference;France;0.003844;0;0.00087;;0.0103
046dbc17-d453-526e-9d3d-d79706f48b88;beef-default;Boeuf Origine Inconnue;;import;OutOfEuropeAndMaghreb;22.79;;;;
048723dc-3bc2-576e-8dc4-8ddf01dd2152;new-zealand-spinach-non-eu;Épinards de Nouvelle-Zélande HORS UE;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.04615;0;0;;0
04d08216-6cc1-532c-86a8-3c17f94a6db5;red-bean-dried-fr;Haricots rouges FR;LEGUMINEUSES A GRAIN;reference;France;2.802;0;3.68;;9.98
050374dc-6dd8-5e5f-8543-2d124767edc0;brazil-nut-organic;Noix du Brésil Bio;FRUITS A COQUES;organic;France;5.5;0;10.5;;34.3
0528ba96-12c6-5f56-8b9f-a2343fc8e12b;potato-fr;Pomme de terre FR;LEGUMES-FLEURS;reference;France;0.2962;0;0.469;;1.32
053533cf-8fd1-5cbe-832c-c25d2d9ed885;cucumber-default;Concombre Origine Inconnue;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.3507;0;0;;0
055b8141-6ffa-5302-ad63-115bd76709d1;lemon-default;Citron Origine Inconnue;VERGERS;import;OutOfEuropeAndMaghreb;0.4565;0;0;;0
0571c52e-d806-5faa-8105-8ae0d5726400;green-cabbage-default;Chou vert Origine Inconnue;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.1247;0;0;;0
05c2db96-2658-4842-8c30-53e878b08931;garden-peas-fr-2025;Petit pois FR (2025);LEGUMES-FLEURS;reference;France;1.421;0;2.25;;6.32
065b585d-b876-4f55-baa5-123965c4b0b7;raclette-cheese-fr;Raclette (fromage) FR;;reference;France;5.392;0;19.0;5.47;20.3
069dc73e-78b4-417f-aa18-cc090b3639c3;white-bean-canned-drained-fr-organic;Haricot blanc, appertisé, égoutté FR BIO;LEGUMES-FLEURS;organic;France;1.902;5.91;6.98;;11.8
06c2b6e8-495f-4200-9ec9-8680c48d819b;oat-flour-default;Farine d'avoine Origine Inconnue;AUTRES CEREALES;import;OutOfEuropeAndMaghreb;1.982;0;0;;0
06cecb02-3b24-59a9-a966-a65e33ba4bf6;cauliflower-eu;Chou-fleur UE;LEGUMES-FLEURS;import;EuropeAndMaghreb;0.4422;0;0;;0
06dffb5c-07ad-48de-9630-632f4c84e02d;glucose-syrup-2025;Sirop de glucose FR ou UE ou par défaut (2025);DIVERS;import;EuropeAndMaghreb;1.269;0;0;;0
06e7ba46-85ba-4475-82d2-a59f847e801d;pasta;Pâtes FR;DIVERS;reference;France;3.85;0;0.872;;10.3
06f219a1-ffb3-44ae-ba23-6f9ad7baff39;garlic-fr;Ail FR;LEGUMES-FLEURS;reference;France;0.2643;0;0.419;;1.18
070c635e-71e7-5a26-963f-f0367f326333;fennel-non-eu;Fenouil HORS UE;LEGUMES-FLEURS;import;OutOfEuropeAndMaghreb;0.1587;0;0;;0
07179a3e-019e-50f7-8b71-d059895236d6;parsley-fresh-fr;Persil frais FR;AUTRES CULTURES INDUSTRIELLES;reference;France;2.29;0;1.35;;4.08
