Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;Saisonnalité;Transport par avion (1 : par avion);Livraison;Matériau d'emballage;Préparation;"DQR - Note de qualité de la donnée (1 excellente ; 5 très faible)";Score unique EF (mPt/kg de produit);Changement climatique (kg CO2 eq/kg de produit);Appauvrissement de la couche d'ozone (E-06 kg CVC11 eq/kg de produit);Rayonnements ionisants (kBq U-235 eq/kg de produit);Formation photochimique d'ozone (E-03 kg NMVOC eq/kg de produit);Particules (E-06 disease inc./kg de produit);Acidification terrestre et eaux douces (mol H+ eq/kg de produit);Eutrophisation terreste (mol N eq/kg de produit);Eutrophisation eaux douces (E-03 kg P eq/kg de produit);Eutrophisation marine (E-03 kg N eq/kg de produit);Utilisation du sol (Pt/kg de produit);Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg de produit);Épuisement des ressources eau (m3 depriv./kg de produit);Épuisement des ressources énergétiques (MJ/kg de produit);Épuisement des ressources minéraux (E-06 kg Sb eq/kg de produit);CLIMATE_CHANGE;PARTICULATE_MATTER;WATER_USE;LAND_USE;RESOURCE_USE_MINERALS_METALS;OZONE_DEPLETION;ACIDIFICATION;IONIZING_RADIATION;PHOTOCHEMICAL_OZONE_FORMATION;EUTROPHICATION_TERRESTRIAL;EUTROPHICATION_MARINE;EUTROPHICATION_FRESHWATER;ECOTOXICITY_FRESHWATER;HUMAN_TOXICITY_CANCER;HUMAN_TOXICITY_NON_CANCER;RESOURCE_USE_FOSSILS
13712;13712;fruits, légumes, légumineuses et oléagineux;fruits;Abricot au sirop léger, appertisé, égoutté;Apricot, canned in light syrup, drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.46;0.2153665;1.2211213;0.24817607;1.8208531;4.6584145;0.096413287;0.0093011919;0.031766015;0.41055523;1.5027754;44.823181;62.195218;1.6306367;47.237697;2.9380642;1.2211213;0.000000096413287;1.6306367;44.823181;0.0000029380642;0.00000024817607;0.0093011919;1.8208531;0.0046584145;0.031766015;0.0015027754;0.00041055523;62.195218;;;47.237697
13713;13713;fruits, légumes, légumineuses et oléagineux;fruits;Abricot au sirop léger, appertisé, non égoutté;Apricot, canned in light syrup, not drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.46;0.12804344;0.6122342;0.15387909;1.1359147;2.7846627;0.059314384;0.0057260573;0.019498933;0.23536578;0.79779098;27.901738;36.285914;1.0109604;29.397697;1.823726;0.6122342;0.000000059314384;1.0109604;27.901738;0.000001823726;0.00000015387909;0.0057260573;1.1359147;0.0027846627;0.019498933;0.00079779098;0.00023536578;36.285914;;;29.397697
13714;13714;fruits, légumes, légumineuses et oléagineux;fruits;Abricot au sirop, appertisé, égoutté;Apricot, in syrup, canned, drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation ;2.46;0.2153665;1.2211213;0.24817607;1.8208531;4.6584145;0.096413287;0.0093011919;0.031766015;0.41055523;1.5027754;44.823181;62.195218;1.6306367;47.237697;2.9380642;1.2211213;0.000000096413287;1.6306367;44.823181;0.0000029380642;0.00000024817607;0.0093011919;1.8208531;0.0046584145;0.031766015;0.0015027754;0.00041055523;62.195218;;;47.237697
13715;13715;fruits, légumes, légumineuses et oléagineux;fruits;Abricot au sirop, appertisé, non égoutté;Apricot, in syrup, canned, not drained;mix de consommation FR;0;Ambiant (moyenne);Acier;Pas de préparation;2.44;0.12804344;0.6122342;0.15387909;1.1359147;2.7846627;0.059314384;0.0057260573;0.019498933;0.23536578;0.79779098;27.901738;36.285914;1.0109604;29.397697;1.823726;0.6122342;0.000000059314384;1.0109604;27.901738;0.000001823726;0.00000015387909;0.0057260573;1.1359147;0.0027846627;0.019498933;0.00079779098;0.00023536578;36.285914;;;29.397697
13000;13000;fruits, légumes, légumineuses et oléagineux;fruits;Abricot, dénoyauté, cru;Apricot, pitted, raw;mix de consommation FR;0;Ambiant (moyenne);LPDE;Pas de préparation;2.2;0.118929;0.8617297;0.089663221;0.29853915;3.0655764;0.061461524;0.0072539265;0.025953991;0.20424382;0.94366912;43.838644;41.957928;1.412878;17.12382;2.173328;0.8617297;0.000000061461524;1.412878;43.838644;0.000002173328;0.000000089663221;0.0072539265;0.29853915;0.0030655764;0.025953991;0.00094366912;0.00020424382;41.957928;;;17.12382
13001;13001;fruits, légumes, légumineuses et oléagineux;fruits;Abricot, dénoyauté, sec;Apricot, pitted, dried;mix de consommation FR;0;Ambiant (moyenne);LPDE;Pas de préparation;2.64;0.79716709;2.6536343;0.86488091;7.6698086;14.121719;0.31572974;0.041667638;0.15697812;1.0364794;4.9557948;248.62775;260.48854;7.7173284;184.62252;11.016019;2.6536343;0.00000031572974;7.7173284;248.62775;0.000011016019;0.00000086488091;0.041667638;7.6698086;0.014121719;0.15697812;0.0049557948;0.0010364794;260.48854;;;184.62252
25433;25433;viandes, œufs, poissons;produits à base de poissons et produits de la mer;Accra de poisson;Caribbean-style fish fritters, fish acras;mix de consommation FR;0;Glacé;PS;Four;3.14;0.90731815;5.2542412;1.1321347;1.6291217;89.966735;0.9793889;0.1411699;0.39317582;0.45749029;35.686989;66.195652;63.205561;2.0887977;96.609847;9.9669276;5.2542412;0.0000009793889;2.0887977;66.195652;0.0000099669276;0.0000011321347;0.1411699;1.6291217;0.089966735;0.39317582;0.035686989;0.00045749029;63.205561;;;96.609847
11084;11084;aides culinaires et ingrédients divers;algues;Agar (algue), cru;Seaweed, agar, raw;mix de consommation FR;0;Ambiant (long);LPDE;Pas de préparation;2.99;1.2525745;6.547801;1.8930945;12.256417;34.820858;0.70123771;0.09843869;0.11617689;2.2409948;11.705482;21.750919;157.98725;4.9254417;341.42941;30.229683;6.547801;0.00000070123771;4.9254417;21.750919;0.000030229683;0.0000018930945;0.09843869;12.256417;0.034820858;0.11617689;0.011705482;0.0022409948;157.98725;;;341.42941
21508;21508;viandes, œufs, poissons;viandes cuites;Agneau, collier, braisé ou bouilli;Lamb, neck, braised or boiled;mix de consommation FR;0;Glacé;PS;Four;2.65;6.0857682;62.692087;1.2907192;2.3628782;86.974962;6.372366;0.94577275;4.1977209;3.2196681;198.62323;5535.0597;481.59569;15.542101;129.23893;22.65941;62.692087;0.000006372366;15.542101;5535.0597;0.00002265941;0.0000012907192;0.94577275;2.3628782;0.086974962;4.1977209;0.19862323;0.0032196681;481.59569;;;129.23893
21514;21514;viandes, œufs, poissons;viandes crues;Agneau, collier, cru;Lamb, neck, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21516;21516;viandes, œufs, poissons;viandes crues;Agneau, côte filet, crue;Lamb, chop fillet, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21509;21509;viandes, œufs, poissons;viandes cuites;Agneau, côte filet, grillée/poêlée;Lamb, chop fillet, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21517;21517;viandes, œufs, poissons;viandes crues;Agneau, côte première, crue;Lamb, rib chop, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;4.7927723;49.578452;0.97957758;1.3830819;68.705957;5.0411118;0.74832362;3.3222375;2.5167654;157.15161;4381.3372;378.67806;12.203794;92.026149;17.50213;49.578452;0.0000050411118;12.203794;4381.3372;0.00001750213;0.00000097957758;0.74832362;1.3830819;0.068705957;3.3222375;0.15715161;0.0025167654;378.67806;;;92.026149
21512;21512;viandes, œufs, poissons;viandes cuites;Agneau, côte première, grillée/poêlée;Lamb, rib chop, grilled/pan-fried;mix de consommation FR;0;Glacé;PS;Poêle;2.65;6.0659027;62.729303;1.2543808;1.844134;86.973565;6.3707117;0.94570912;4.198097;3.1940652;198.84153;5537.6867;480.24466;15.439502;119.30507;22.312294;62.729303;0.0000063707117;15.439502;5537.6867;0.000022312294;0.0000012543808;0.94570912;1.844134;0.086973565;4.198097;0.19884153;0.0031940652;480.24466;;;119.30507
21500;21500;viandes, œufs, poissons;viandes crues;Agneau, côtelette, crue;Lamb, cutlet, raw;mix de consommation FR;0;Glacé;PS;Pas de préparation;2.63;3.8308427;39.58311;0.78313931;1.1063072;54.899772;4.0324386;0.59861747;2.6576182;2.0023375;125.64685;3505.0337;301.59995;9.7595476;73.579096;13.996584;39.58311;0.0000040324386;9.7595476;3505.0337;0.000013996584;0.00000078313931;0.59861747;1.1063072;0.054899772;2.6576182;0.12564685;0.0020023375;301.59995;;;73.579096
21501;21501;viandes, œufs, poissons;viandes cuites;Agneau, côtelette, grillée;Lamb cutlet, grilled;mix de consommation FR;0;Glacé;PS;Poêle;2.65;4.8507386;50.102618;1.0062288;1.4944964;69.532807;5.0964984;0.75659179;3.3585121;2.5442106;159.04293;4430.6901;382.8752;12.35179;96.001708;17.883889;50.102618;0.0000050964984;12.35179;4430.6901;0.000017883889;0.0000010062288;0.75659179;1.4944964;0.069532807;3.3585121;0.15904293;0.0025442106;382.8752;;;96.001708
