"Code AGB";"Code CIQUAL";"Groupe d'aliment";"Sous-groupe d'aliment";"Nom du Produit en Français";"LCI Name";"code saison";"code avion";"Livraison";"Matériau d'emballage";"Préparation";"DQR";"Score unique EF";"Changement climatique";"Appauvrissement de la couche d'ozone";"Rayonnements ionisants";"Formation photochimique d'ozone";"Particules fines";"Effets toxicologiques sur la santé humaine : substances non-cancérogènes";"Effets toxicologiques sur la santé humaine : substances cancérogènes";"Acidification terrestre et eaux douces";"Eutrophisation eaux douces";"Eutrophisation marine";"Eutrophisation terrestre";"Écotoxicité pour écosystèmes aquatiques d'eau douce";"Utilisation du sol";"Épuisement des ressources eau";"Épuisement des ressources énergétiques";"Épuisement des ressources minéraux";"Changement climatique - émissions biogéniques";"Changement climatique - émissions fossiles";"Changement climatique - émissions liées au changement d'affectation des sols";"CLIMATE_CHANGE";"OZONE_DEPLETION";"IONIZING_RADIATION";"PHOTOCHEMICAL_OZONE_FORMATION";"PARTICULATE_MATTER";"HUMAN_TOXICITY_NON_CANCER";"HUMAN_TOXICITY_CANCER";"ACIDIFICATION";"EUTROPHICATION_FRESHWATER";"EUTROPHICATION_MARINE";"EUTROPHICATION_TERRESTRIAL";"ECOTOXICITY_FRESHWATER";"LAND_USE";"WATER_USE";"RESOURCE_USE_FOSSILS";"RESOURCE_USE_MINERALS_METALS";"CLIMATE_CHANGE_BIOGENIC";"CLIMATE_CHANGE_FOSSIL";"CLIMATE_CHANGE_LAND_USE"
11172;11172;"aides culinaires et ingrédients divers";"aides culinaires";"Court-bouillon pour poissons, déshydraté";"Aromatic stock cube, for fish, dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,24;1,87E+00;7,58E+00;2,93E-07;3,03E+01;2,50E-02;4,74E-07;2,09E-07;6,62E-09;4,56E-02;1,61E-03;2,68E-02;1,37E-01;7,02E+01;1,06E+02;3,38E+00;7,00E+02;5,14E-05;1,04E-01;7,46E+00;2,12E-02;7,58E+00;2,93E-07;3,03E+01;2,50E-02;4,74E-07;2,09E-07;6,62E-09;4,56E-02;1,61E-03;2,68E-02;1,37E-01;7,02E+01;1,06E+02;3,38E+00;7,00E+02;5,14E-05;1,04E-01;7,46E+00;2,12E-02
25525;25525;"aides culinaires et ingrédients divers";"aides culinaires";"Pizza, sauce garniture pour";"Topping sauce for pizza";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,19;1,48E-01;9,40E-01;2,70E-08;5,58E-01;3,93E-03;7,86E-08;4,24E-08;8,82E-10;8,05E-03;1,93E-04;4,16E-03;3,03E-02;1,10E+01;6,77E+01;2,47E+00;2,44E+01;5,91E-06;3,36E-02;1,02E+00;-1,08E-01;9,40E-01;2,70E-08;5,58E-01;3,93E-03;7,86E-08;4,24E-08;8,82E-10;8,05E-03;1,93E-04;4,16E-03;3,03E-02;1,10E+01;6,77E+01;2,47E+00;2,44E+01;5,91E-06;3,36E-02;1,02E+00;-1,08E-01
11214;11214;"aides culinaires et ingrédients divers";"aides culinaires";"Préparation culinaire à base de soja, type ""crème de soja""";"Soy ""cream"" preparation";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";1,75;1,48E-01;1,17E+00;3,38E-08;5,45E-01;4,02E-03;6,42E-08;2,66E-08;2,14E-09;6,32E-03;3,57E-04;7,23E-03;2,44E-02;3,08E+01;1,16E+02;4,22E-01;2,24E+01;3,96E-06;2,52E-02;9,65E-01;1,84E-01;1,17E+00;3,38E-08;5,45E-01;4,02E-03;6,42E-08;2,66E-08;2,14E-09;6,32E-03;3,57E-04;7,23E-03;2,44E-02;3,08E+01;1,16E+02;4,22E-01;2,24E+01;3,96E-06;2,52E-02;9,65E-01;1,84E-01
11084;11084;"aides culinaires et ingrédients divers";"algues";"Agar (algue), cru";"Seaweed, agar, raw";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,55E+00;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03
20995;20995;"aides culinaires et ingrédients divers";"algues";"Ao-nori (Enteromorpha sp.), séchée ou déshydratée";"Sea lettuce (Enteromorpha sp.), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,55E+00;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03
20998;20998;"aides culinaires et ingrédients divers";"algues";"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté";"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,52E+00;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03
20988;20988;"aides culinaires et ingrédients divers";"algues";"Dulse (Palmaria palmata), séchée ou déshydratée";"Dulse (Palmaria palmata), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,52E+00;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03
20994;20994;"aides culinaires et ingrédients divers";"algues";"Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté";"Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,52E+00;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03
20993;20993;"aides culinaires et ingrédients divers";"algues";"Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée";"Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,55E+00;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03;1,18E+01;6,27E-07;1,12E+01;5,14E-02;8,62E-07;9,85E-08;6,93E-09;1,11E-01;2,15E-03;1,50E-02;1,44E-01;5,79E+01;2,67E+01;4,83E+00;3,96E+02;7,94E-05;4,01E-02;1,17E+01;6,55E-03
20992;20992;"aides culinaires et ingrédients divers";"algues";"Haricot de mer (Himanthalia elongata), séchée ou déshydratée";"Sea thong (Himanthalia elongata), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,77;1,52E+00;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03
20991;20991;"aides culinaires et ingrédients divers";"algues";"Kombu breton (Laminaria digitata), séchée ou déshydratée";"Tangle (Laminaria digitata), dried or dehydrated";2;0;"Ambiant (long)";"PACK PROXY";"Pas de préparation";2,43;1,52E+00;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03;1,16E+01;6,24E-07;1,12E+01;4,73E-02;8,55E-07;9,77E-08;6,84E-09;1,05E-01;2,14E-03;1,37E-02;1,28E-01;5,66E+01;2,64E+01;4,83E+00;3,93E+02;7,91E-05;4,00E-02;1,15E+01;6,39E-03
