semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_en;bcpg:lvValue_fr;bcpg:lvValue_de;bcpg:lvValue_nl;bcpg:lvValue_es;bcpg:lvValue_en_US;bcpg:lvValue_it;bcpg:lvValue_pt;bcpg:lvValue_sv;bcpg:lvValue_fi;changeLog;Status;Version;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode;AdditionalTradeItemClassificationCodeListCode;;;;;;;;;;;;;CHANGED;CURRENT;9;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:1;AdditionalTradeItemClassificationCodeListCode;1;GXS;GXS;GXS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:10;AdditionalTradeItemClassificationCodeListCode;10;CCG;CCG;CCG;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:11;AdditionalTradeItemClassificationCodeListCode;11;EANFIN;EANFIN;EANFIN;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:12;AdditionalTradeItemClassificationCodeListCode;12;CFIA (Canadian Food Inspection Agency) fish list;CFIA (Canadian Food Inspection Agency) fish list;Liste des poissons de l'ACIA (Agence canadienne d'inspection des aliments);;;;;;;;;GDSN;;NEW;CURRENT;1;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:13;AdditionalTradeItemClassificationCodeListCode;13;IFLS5;IFLS5;IFLS5;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:14;AdditionalTradeItemClassificationCodeListCode;14;CBL;CBL;CBL;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:15;AdditionalTradeItemClassificationCodeListCode;15;JICFS;JICFS;JICFS;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:16;AdditionalTradeItemClassificationCodeListCode;16;European Union;European Union;Union européenne;;;;;;;;;5 % fat) 5 Category V - medium fat milk (1;5 - 1;8 % fat)7 Category VII - low fat milk (<0;5 % fat)9 Category IX - other;CODEVALUE;Shared;;CHANGED;CURRENT;2;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:17;AdditionalTradeItemClassificationCodeListCode;17;GS1 Spain;GS1 Spain;GS1 Espagne;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:18;AdditionalTradeItemClassificationCodeListCode;18;GS1 Poland;GS1 Poland;GS1 Pologne;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:19;AdditionalTradeItemClassificationCodeListCode;19;Federal Agency on Technical Regulating and Metrology of the Russia Federation;Federal Agency on Technical Regulating and Metrology of the Russia Federation;Agence fédérale de réglementation technique et de métrologie de la Fédération de Russie;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:2;AdditionalTradeItemClassificationCodeListCode;2;IRI;IRI;IRI;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:20;AdditionalTradeItemClassificationCodeListCode;20;ECR;ECR;ECR;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:21;AdditionalTradeItemClassificationCodeListCode;21;GS1 Italy;GS1 Italy;GS1 Italie;;;;;;;;;CHANGED;CURRENT;2;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:22;AdditionalTradeItemClassificationCodeListCode;22;CPV;CPV;CPV;;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:23;AdditionalTradeItemClassificationCodeListCode;23;IFDA;IFDA;IFDA;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:24;AdditionalTradeItemClassificationCodeListCode;24;AHFS;AHFS;AHFS;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:25;AdditionalTradeItemClassificationCodeListCode;25;ATC;ATC;ATC;;;;;;;;;NEW;CURRENT;1;;;;;;;;;;;;;
