semanticResourceURN;bcpg:lvType;bcpg:lvCode;bcpg:lvValue;bcpg:lvValue_fr;Definition;resourceSubTypeCode;Domain;ExternalLink;changeLog;Status;Version
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode;AcidificationMeasurementProtocolCode;;;;Code list developed and managed by GS1. ;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:LIME2;AcidificationMeasurementProtocolCode;LIME2;LIME2;LIME2;LIME2;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:OTHER;AcidificationMeasurementProtocolCode;OTHER;Code value not available in code list.;Valeur du code non disponible dans la liste des codes.;Code value not available in code list.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:RECIPE;AcidificationMeasurementProtocolCode;RECIPE;Recipe;Recette;Recipe;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementProtocolCode:TRACI;AcidificationMeasurementProtocolCode;TRACI;TRACI;TRACI;TRACI;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode;AcidificationMeasurementReferenceSubstanceCode;;;;Code list developed and managed by GS1.;CODELIST;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:KG_SO2_EQ_PER_FU;AcidificationMeasurementReferenceSubstanceCode;KG_SO2_EQ_PER_FU;Kilogram SO2 equivalent per functional unit.;Kilogramme équivalent SO2 par unité fonctionnelle.;Kilogram SO2 equivalent per functional unit.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:OTHER;AcidificationMeasurementReferenceSubstanceCode;OTHER;Code value not available in code list.;Valeur du code non disponible dans la liste des codes.;Code value not available in code list.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AcidificationMeasurementReferenceSubstanceCode:H_PLUS_EQ_PER_YR_PER_FU;AcidificationMeasurementReferenceSubstanceCode ;H_PLUS_EQ_PER_YR_PER_FU;H Plus equivalent per year per functional unit.;H Plus équivalent par an et par unité fonctionnelle.;H Plus equivalent per year per functional unit.;CODEVALUE;GDSN;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalCameraAngleCode;AdditionalCameraAngleCode;;;;An additional camera angle used to take a picture of the trade item for example ZOOM_VIEW. If this attribute is not populated, the assumption is a full trade item view.  Uses FileCameraPerspectiveCode code list.;CODELIST;GDSN;;;CURRENT;1
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode;AdditionalConsignmentIdentificationTypeCode;;;;Code list developed and managed by GS1.;CODELIST;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CARRIER_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CARRIER_ASSIGNED;Carrier assigned;Transporteur attribué;An internal identifier assigned by the carrier.;CODEVALUE;Shared;;NEW;CURRENT;1
urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNEE_ASSIGNED;AdditionalConsignmentIdentificationTypeCode;CONSIGNEE_ASSIGNED;Consignee assigned;Destinataire assigné;An internal identifier assigned by the consignee.;CODEVALUE;Shared;;NEW;CURRENT;1
