nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;6;3;true;false;false;50;;g;
ALC;Alcohol (ethanol);77;1;false;true;false;;;;
CARTA;Alpha-Carot;78;1;false;true;false;;;;
ASH;Ash;79;1;false;true;false;;;;
CARTB;Beta-caroten;80;1;false;true;false;;;;
CRYPX;Beta-Crypt;81;1;false;true;false;;;;
CAFFN;Caffein;82;1;false;true;false;;;;
CA;Calcium, Ca;73;1;false;true;false;1000;;mg;
CHOAVL;Carbohydrate, by difference;3;1;true;false;false;300;;g;
CHO-;Carbohydrate, by difference (with fiber);4;1;true;false;false;;;;
CHOL-;Cholesterol;30;1;false;true;false;;;;
CHOLN;CholineTot;74;1;false;true;false;550;;mg;
CR;Chromium;75;1;false;true;false;35;;mcg;
CU;Copper;76;1;false;true;false;1;;mg;
ENER-E14;Energy kcal;1;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;2;1;true;false;false;8400;;kJ;
F10D0;FA 10:0, capric;15;1;false;true;false;;;;
F12D0;FA 12:0, lauric;16;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;17;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;18;1;false;true;false;;;;
F18D0;FA 18:0, stearic;19;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;20;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;21;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;22;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;23;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;24;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;25;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;26;1;false;true;false;;;;
F4D0;FA 4:0, butyric;27;1;false;true;false;;;;
F6D0;FA 6:0, caproic;28;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;29;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;12;1;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;13;1;false;true;false;;;;
FASAT;Fatty acids, total saturated;7;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;9;2;true;false;false;25;;g;
FOLDFE;Folate DFE;56;1;false;true;false;;;;
FOLFD;Folate natural;57;1;false;true;false;;;;
FOLAC;Folic acid;58;1;false;true;false;240;;mcg;
FOL;Food folate;59;1;false;true;false;;;;
FIBINS;Insoluble fiber;32;1;false;true;false;;;;
ID;Iodine;60;1;false;true;false;130;;mcg;
FE;Iron, Fe;61;1;false;true;false;14;;mg;
LYCPN;Lycopene;62;1;false;true;false;;;;
MG;Magnesium, Mg;63;1;false;true;false;260;;mg;
MN;Manganese;64;1;false;true;false;2;;mg;
NIA;Niacin;54;1;false;true;false;16;;mg;
NIAEQ;Niacine (derived equivalents);55;1;false;true;false;;;;
PSACNS;NSP Fiber;33;1;false;true;false;;;;
OA;Organic acids, total;65;1;false;true;false;;;;
PANTAC;Panto acid;66;1;false;true;false;5;;mg;
P;Phosphorus, P;67;1;false;true;false;700;;mg;
POLYL;Polyols total;68;1;false;true;false;;;;
K;Potassium, k;69;1;false;true;false;;;;
PRO-;Protein;5;1;true;false;false;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);70;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);8;1;false;true;false;;;;
RETOL;Retinol;83;1;false;true;false;;;;
RIBF;Riboflavin;53;1;false;true;false;1;;mg;
NACL;Salt;36;1;false;true;false;;;;
SE;Selenium;71;1;false;true;false;34;;mcg;
NA;Sodium, Na;9;1;true;false;false;2000;;mg;
FIBSOL;Soluble fiber;34;1;false;true;false;;;;
STARCH;Starch;84;1;false;true;false;;;;
SUGAR;Sugars total;5;2;false;true;false;;;;
THIA;Thiamin;52;1;false;true;false;1;;mg;
FAT;Total lipid (fat);6;1;true;false;false;65;;g;
FAPUN3F;Total omega 3 fatty acids;14;1;false;true;false;;;;
FATRN;Total trans fatty acids;8;1;true;false;false;2;;g;
TRP;Tryptophan;37;1;false;true;false;;;;
VITA-;Vitamin A;38;1;false;true;false;600;;mcg;
VITA;Vitamin A retinol equivalents;39;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;40;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;41;1;false;true;false;600;;mcg;
VITB12;Vitamin B-12;42;1;false;true;false;2;;mcg;
VITB6-;Vitamin B-6;43;1;false;true;false;1;;mg;
BIOT;Vitamin B7 (Biotin);44;1;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;45;1;false;true;false;45;;mg;
VITD-;VITAMIN D;46;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);47;1;false;true;false;;;;
VITE-;Vitamin E;48;1;false;true;false;10;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);49;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);50;1;false;true;false;65;;mcg;
VITK2;Vitamin K2;51;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;72;1;false;true;false;7;;mg;
