nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;28;1;false;true;false;;;;
ALC;Alcohol (ethanol);76;1;false;true;false;;;;
CARTA;Alpha-Carot;77;1;false;true;false;;;;
ASH;Ash;78;1;false;true;false;;;;
CARTB;Beta-caroten;79;1;false;true;false;;;;
CRYPX;Beta-Crypt;80;1;false;true;false;;;;
CAFFN;Caffein;81;1;false;true;false;;;;
CA;Calcium, Ca;82;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;26;1;true;false;false;;;;
CHO-;Carbohydrate, by difference (with fiber);25;1;false;true;false;;;g;
CHOL-;Cholesterol;24;1;false;true;false;;;;
CHOLN;CholineTot;59;1;false;true;false;;;;
CR;Chromium;60;1;false;true;false;;;;
CU;Copper;61;1;false;true;false;;;;
ENER-E14;Energy kcal;2;1;false;true;false;;;kcal;
ENER-KJO;Energy kJ;1;1;true;false;false;;;kJ;
F10D0;FA 10:0, capric;9;2;false;true;false;;;;
F12D0;FA 12:0, lauric;10;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;11;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;12;2;false;true;false;;;;
F18D0;FA 18:0, stearic;13;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;14;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;15;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;16;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;17;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;18;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;19;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;20;2;false;true;false;;;;
F4D0;FA 4:0, butyric;21;2;false;true;false;;;;
F6D0;FA 6:0, caproic;22;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;23;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;5;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;6;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;4;2;true;false;false;;;g;
FIBTG;Fiber, total dietary;33;1;false;true;false;;;;
FOLDFE;Folate DFE;51;1;false;true;false;;;;
FOLFD;Folate natural;52;1;false;true;false;;;;
FOLAC;Folic acid;53;1;false;true;false;200;;mcg;
FOL;Food folate;54;1;false;true;false;;;;
FIBINS;Insoluble fiber;34;1;false;true;false;;;;
ID;Iodine;62;1;false;true;false;150;;mcg;
FE;Iron, Fe;63;1;false;true;false;14;;mg;
LYCPN;Lycopene;64;1;false;true;false;;;;
MG;Magnesium, Mg;65;1;false;true;false;300;;mg;
MN;Manganese;66;1;false;true;false;;;;
NIA;Niacin;56;1;false;true;false;18;;mg;
NIAEQ;Niacine (derived equivalents);57;1;false;true;false;;;;
PSACNS;NSP Fiber;35;1;false;true;false;;;;
OA;Organic acids, total;67;1;false;true;false;;;;
PANTAC;Panto acid;68;1;false;true;false;;;;
P;Phosphorus, P;69;1;false;true;false;;;;
POLYL;Polyols total;70;1;false;true;false;;;;
K;Potassium, k;71;1;false;true;false;;;;
PRO-;Protein;31;1;true;false;false;;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);72;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);32;1;false;true;false;;;;
RETOL;Retinol;73;1;false;true;false;;;;
RIBF;Riboflavin;55;1;false;true;false;2;;mg;
NACL;Salt;30;1;false;true;false;;;;
SE;Selenium;74;1;false;true;false;;;;
NA;Sodium, Na;29;1;true;false;false;;;mg;
FIBSOL;Soluble fiber;36;1;false;true;false;;;;
STARCH;Starch;83;1;false;true;false;;;;
SUGAR;Sugars total;27;2;true;false;false;;;;
THIA;Thiamin;58;1;false;true;false;1;;mg;
FAT;Total lipid (fat);3;1;true;false;false;;;g;
FAPUN3F;Total omega 3 fatty acids;8;2;false;true;false;;;;
FATRN;Total trans fatty acids;7;2;false;true;false;;;;
TRP;Tryptophan;84;1;false;true;false;;;;
VITA-;Vitamin A;37;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;38;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;39;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;40;1;false;true;false;;;;
VITB12;Vitamin B-12;44;1;false;true;false;1;;mcg;
VITB6-;Vitamin B-6;45;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);46;1;false;true;false;;;;
VITC-;Vitamin C, total ascorbic acid;41;1;false;true;false;60;;mg;
VITD-;VITAMIN D;42;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);43;1;false;true;false;;;;
VITE-;Vitamin E;47;1;false;true;false;;;;
TOCPHA;Vitamin E (alpha-tocopherol);48;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);49;1;false;true;false;;;;
VITK2;Vitamin K2;50;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;75;1;false;true;false;15;;mg;
