nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;16;3;false;true;false;;;;
ALC;Alcohol (ethanol);61;1;false;true;false;;;;
CARTA;Alpha-Carot;62;1;false;true;false;;;;
ASH;Ash;63;1;false;true;false;;;;
CARTB;Beta-caroten;64;1;false;true;false;;;;
CRYPX;Beta-Crypt;65;1;false;true;false;;;;
CAFFN;Caffein;66;1;false;true;false;;;;
CA;Calcium, Ca;29;1;true;false;false;800;;mg;true
CHOAVL;Carbohydrate, by difference;14;1;false;true;false;;;g;
CHO-;Carbohydrate, by difference (with fiber);13;1;true;false;true;300;;g;true
CHOL-;Cholesterol;12;1;true;false;false;300;;mg;true
CHOLN;CholineTot;60;1;false;true;false;450;;mg;true
CR;Chromium;58;1;false;true;false;;;;
CU;Copper;54;1;false;true;false;1,5;;mg;true
ENER-E14;Energy kcal;2;1;false;true;false;;;kcal;
ENER-KJO;Energy kJ;1;1;true;false;true;8400;;kJ;true
ENER-;Energy kJ, without dietary fibre;3;1;false;true;false;;;;
F10D0;FA 10:0, capric;67;1;false;true;false;;;;
F12D0;FA 12:0, lauric;68;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;69;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;70;1;false;true;false;;;;
F18D0;FA 18:0, stearic;71;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;72;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;73;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;74;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;75;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;76;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;77;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;78;1;false;true;false;;;;
F4D0;FA 4:0, butyric;79;1;false;true;false;;;;
F6D0;FA 6:0, caproic;80;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;81;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;9;2;false;true;false;;;g;
FAPUCIS;Fatty acids, total polyunsaturated;8;2;false;true;false;;;g;
FASAT;Fatty acids, total saturated;7;2;true;false;false;20;;g;true
FIBTG;Fiber, total dietary;19;1;true;false;false;25;;g;true
FOLDFE;Folate DFE;42;1;false;true;false;;;;
FOLFD;Folate natural;43;1;false;true;false;;;;
FOLAC;Folic acid;44;1;false;true;false;400;;µg;true
FOL;Food folate;45;1;false;true;false;;;;
FIBINS;Insoluble fiber;20;1;false;true;false;;;;
ID;Iodine;59;1;false;true;false;150;;µg;true
FE;Iron, Fe;52;1;false;true;false;15;;mg;true
LYCPN;Lycopene;82;1;false;true;false;;;;
MG;Magnesium, Mg;51;1;false;true;false;300;;mg;true
MN;Manganese;55;1;false;true;false;3;;mg;true
NIA;Niacin;39;1;false;true;false;;;;
NIAEQ;Niacine (derived equivalents);40;1;false;true;false;;;;
PSACNS;NSP Fiber;21;1;false;true;false;;;;
OA;Organic acids, total;83;1;false;true;false;;;;
PANTAC;Panto acid;48;1;false;true;false;5;;mg;true
P;Phosphorus, P;50;1;false;true;false;700;;mg;true
POLYL;Polyols total;17;1;false;true;false;;;;
K;Potassium, k;49;1;false;true;false;2000;;mg;true
PRO-;Protein;4;1;true;false;true;60;;g;true
CARTBEQ;Provitamin A (b-carotene equivalents);84;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);5;1;false;true;false;;;;
RETOL;Retinol;85;1;false;true;false;;;;
RIBF;Riboflavin;38;1;false;true;false;1,4;;;true
NACL;Salt;24;1;false;true;false;;;;
SE;Selenium;57;1;false;true;false;50;;µg;true
NA;Sodium, Na;23;1;true;false;true;2000;;mg;true
FIBSOL;Soluble fiber;22;1;false;true;false;;;;
STARCH;Starch;18;1;false;true;false;;;;
SUGAR;Sugars total;15;2;true;false;false;;;g;
