nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;33;1;false;true;false;;;;
ALC;Alcohol (ethanol);78;1;false;true;false;;;;
CARTA;Alpha-Carot;79;1;false;true;false;;;;
ASH;Ash;80;1;false;true;false;;;;
CARTB;Beta-caroten;81;1;false;true;false;;;;
CRYPX;Beta-Crypt;82;1;false;true;false;;;;
CAFFN;Caffein;83;1;false;true;false;;;;
CA;Calcium, Ca;38;1;true;false;false;1000;;mg;
CHOAVL;Carbohydrate, by difference;27;1;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);26;1;true;false;true;300;;g;
CHOL-;Cholesterol;23;1;true;false;true;300;;mg;
CHOLN;CholineTot;52;1;false;true;false;;;;
CR;Chromium;53;1;false;true;false;120;;mcg;
CU;Copper;54;1;false;true;false;2;;mg;
US_ENER-E14;Energy kcal;1;1;true;false;true;2000;;kcal;
F10D0;FA 10:0, capric;8;1;false;true;false;;;;
F12D0;FA 12:0, lauric;9;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;10;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;11;1;false;true;false;;;;
F18D0;FA 18:0, stearic;12;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;13;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;14;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;15;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;16;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;17;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;18;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;19;1;false;true;false;;;;
F4D0;FA 4:0, butyric;20;1;false;true;false;;;;
F6D0;FA 6:0, caproic;21;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;22;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;5;1;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;6;1;false;true;false;;;;
FASAT;Fatty acids, total saturated;3;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;28;2;true;false;false;25;;g;
FOLDFE;Folate DFE;55;1;false;true;false;;;;
FOLFD;Folate natural;56;1;false;true;false;;;;
FOLAC;Folic acid;57;1;false;true;false;400;;mcg;
FOL;Food folate;58;1;false;true;false;;;;
FIBINS;Insoluble fiber;29;1;false;true;false;;;;
ID;Iodine;59;1;false;true;false;150;;mcg;
FE;Iron, Fe;39;1;true;false;false;18;;mg;
LYCPN;Lycopene;60;1;false;true;false;;;;
MG;Magnesium, Mg;61;1;false;true;false;400;;mg;
MN;Manganese;62;1;false;true;false;2;;mg;
NIA;Niacin;63;1;false;true;false;20;;mg;
NIAEQ;Niacine (derived equivalents);64;1;false;true;false;;;;
PSACNS;NSP Fiber;30;1;false;true;false;;;;
OA;Organic acids, total;65;1;false;true;false;;;;
PANTAC;Panto acid;66;1;false;true;false;10;;mg;
P;Phosphorus, P;67;1;false;true;false;1000;;mg;
POLYL;Polyols total;68;1;false;true;false;;;;
K;Potassium, k;69;1;false;true;false;3500;;mg;
PRO-;Protein;34;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);70;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);35;1;false;true;false;;;;
RETOL;Retinol;71;1;false;true;false;;;;
RIBF;Riboflavin;72;1;false;true;false;1,7;;mg;
NACL;Salt;25;1;false;true;false;;;;
SE;Selenium;73;1;false;true;false;70;;mcg;
NA;Sodium, Na;24;1;true;false;true;2400;;mg;
FIBSOL;Soluble fiber;31;1;false;true;false;;;;
STARCH;Starch;77;1;false;true;false;;;;
SUGAR;Sugars total;32;2;true;false;false;;;;
THIA;Thiamin;74;1;false;true;false;1,5;;mg;
FAT;Total lipid (fat);2;1;true;false;true;65;;g;
FAPUN3F;Total omega 3 fatty acids;7;1;false;true;false;;;;
FATRN;Total trans fatty acids;4;2;true;false;false;;;;
TRP;Tryptophan;75;1;false;true;false;;;;
VITA-;Vitamin A;40;1;false;true;false;;;;
VITA;Vitamin A retinol equivalents;41;1;false;true;false;;;;
VITAA;Vitamin A, IU;36;1;true;false;false;5000;;IU;
VITA-RAE;Vitamin A, RAE;42;1;false;true;false;;;;
VITB12;Vitamin B-12;43;1;false;true;false;6;;mcg;
VITB6-;Vitamin B-6;44;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);45;1;false;true;false;300;;mcg;
VITC-;Vitamin C, total ascorbic acid;37;1;true;false;false;60;;mg;
VITD-;VITAMIN D;46;1;false;true;false;10;;mcg;
VITDEQ;Vitamin D (D2 + D3);47;1;false;true;false;;;;
VITE-;Vitamin E;48;1;false;true;false;20;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);49;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);50;1;false;true;false;80;;mcg;
VITK2;Vitamin K2;51;1;false;true;false;;;;
WATER;Water;84;1;false;true;false;;;;
ZN;Zinc, Zn;76;1;false;true;false;15;;mg;
