nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;30;1;false;true;false;;;;
ALC;Alcohol (ethanol);78;1;false;true;false;;;;
CARTA;Alpha-Carot;79;1;false;true;false;;;;
ASH;Ash;80;1;false;true;false;;;;
CARTB;Beta-caroten;81;1;false;true;false;;;;
CRYPX;Beta-Crypt;82;1;false;true;false;;;;
CAFFN;Caffein;83;1;false;true;false;;;;
CA;Calcium, Ca;60;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;27;1;true;false;false;260;;g;
CHO-;Carbohydrate, by difference (with fiber);28;1;false;true;false;;;;
CHOL-;Cholesterol;26;1;false;true;false;;;;
CHOLN;CholineTot;61;1;false;true;false;;;;
CR;Chromium;62;1;false;true;false;;;;
CU;Copper;63;1;false;true;false;;;;
ENER-E14;Energy kcal;2;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;1;1;true;false;false;8400;;kJ;
F10D0;FA 10:0, capric;10;1;false;true;false;;;;
F12D0;FA 12:0, lauric;11;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;12;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;13;1;false;true;false;;;;
F18D0;FA 18:0, stearic;14;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;15;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;16;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;17;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;18;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;19;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;20;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;21;1;false;true;false;;;;
F4D0;FA 4:0, butyric;22;1;false;true;false;;;;
F6D0;FA 6:0, caproic;23;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;24;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;8;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;9;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;7;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;31;2;false;true;false;;;g;
FOLDFE;Folate DFE;58;1;false;true;false;;;;
FOLFD;Folate natural;59;1;false;true;false;;;;
FOLAC;Folic acid;56;1;false;true;false;200;;mcg;
FOL;Food folate;57;1;false;true;false;;;;
FIBINS;Insoluble fiber;32;1;false;true;false;;;;
ID;Iodine;84;1;false;true;false;150;;mcg;
FE;Iron, Fe;64;1;false;true;false;14;;mg;
LYCPN;Lycopene;65;1;false;true;false;;;;
MG;Magnesium, Mg;66;1;false;true;false;300;;mg;
MN;Manganese;67;1;false;true;false;;;;
NIA;Niacin;55;1;false;true;false;18;;mg;
NIAEQ;Niacine (derived equivalents);68;1;false;true;false;;;;
PSACNS;NSP Fiber;33;1;false;true;false;;;;
OA;Organic acids, total;69;1;false;true;false;;;;
PANTAC;Panto acid;70;1;false;true;false;;;;
P;Phosphorus, P;71;1;false;true;false;;;;
POLYL;Polyols total;72;1;false;true;false;;;;
K;Potassium, k;73;1;false;true;false;;;;
PRO-;Protein;3;1;true;false;false;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);74;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);4;1;false;true;false;;;;
RETOL;Retinol;75;1;false;true;false;;;;
RIBF;Riboflavin;54;1;false;true;false;1,6;;mg;
NACL;Salt;37;1;true;false;false;6;;g;
SE;Selenium;76;1;false;true;false;;;;
NA;Sodium, Na;36;1;false;true;false;;;g;
FIBSOL;Soluble fiber;34;1;false;true;false;;;;
STARCH;Starch;35;2;false;true;false;;;;
SUGAR;Sugars total;29;2;true;false;false;90;;g;
THIA;Thiamin;53;1;false;true;false;1,4;;mg;
FAT;Total lipid (fat);5;1;true;false;false;70;;g;
FAPUN3F;Total omega 3 fatty acids;25;1;false;true;false;;;;
FATRN;Total trans fatty acids;6;2;false;true;false;;;;
TRP;Tryptophan;38;1;false;true;false;;;;
VITA-;Vitamin A;39;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;40;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;41;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;42;1;false;true;false;;;;
VITB12;Vitamin B-12;43;1;false;true;false;1;;mcg;
VITB6-;Vitamin B-6;44;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);45;1;false;true;false;;;;
VITC-;Vitamin C, total ascorbic acid;46;1;false;true;false;60;;mg;
VITD-;VITAMIN D;47;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);48;1;false;true;false;;;;
VITE-;Vitamin E;49;1;false;true;false;;;;
TOCPHA;Vitamin E (alpha-tocopherol);50;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);51;1;false;true;false;;;;
VITK2;Vitamin K2;52;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;77;1;false;true;false;15;;mg;
