nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;;;;true;;;;;
ALC;Alcohol (ethanol);;;;true;;;;;
CARTA;Alpha-Carot;;;;true;;;;;
ASH;Ash;;;;true;;;;;
CARTB;Beta-caroten;;;;true;;;;;
CRYPX;Beta-Crypt;;;;true;;;;;
CAFFN;Caffein;;;;true;;;;;
CA;Calcium, Ca;;1;false;true;false;800;;mg;true
CHOAVL;Carbohydrate, by difference;5;1;true;false;false;260;;g;true
CHO-;Carbohydrate, by difference (with fiber);;;;true;;;;;
CHOL-;Cholesterol;;;;true;;;;;
CHOLN;CholineTot;;;;true;;;;;
CR;Chromium;;1;false;true;false;40;;µg;true
CU;Copper;;1;false;true;false;1;;mg;true
ENER-E14;Energy kcal;2;1;true;false;false;2000;;kcal;true
ENER-KJO;Energy kJ;1;1;true;false;false;8400;;kJ;true
F10D0;FA 10:0, capric;;;;true;;;;;
F12D0;FA 12:0, lauric;;;;true;;;;;
F14D0;FA 14:0 , myristic;;;;true;;;;;
F16D0;FA 16:0, palmitic;;;;true;;;;;
F18D0;FA 18:0, stearic;;;;true;;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;;;;true;;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;;;;true;;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;;;;true;;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;;;;true;;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;;;;true;;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;;;;true;;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;;;;true;;;;;
F4D0;FA 4:0, butyric;;;;true;;;;;
F6D0;FA 6:0, caproic;;;;true;;;;;
F8D0;FA 8:0, caprylic;;;;true;;;;;
FAMSCIS;Fatty acids, total monounsaturated;;;;true;;;;;
FAPUCIS;Fatty acids, total polyunsaturated;;;;true;;;;;
FASAT;Fatty acids, total saturated;4;2;true;false;false;20;;g;true
FIBTG;Fiber, total dietary;7;1;false;true;false;;;g;
FOLDFE;Folate DFE;;;;true;;;;;
FOLFD;Folate natural;;;;true;;;;;
FOLAC;Folic acid;;1;false;true;false;200;;µg;true
FOL;Food folate;;;;true;;;;;
FIBINS;Insoluble fiber;;;;true;;;;;
ID;Iodine;;1;false;true;false;150;;µg;true
FE;Iron, Fe;;1;false;true;false;14;;mg;true
LYCPN;Lycopene;;;;true;;;;;
MG;Magnesium, Mg;;1;false;true;false;375;;mg;true
MN;Manganese;;1;false;true;false;2;;mg;true
NIA;Niacin;;1;false;true;false;16;;mg;true
NIAEQ;Niacine (derived equivalents);;;;true;;;;;
PSACNS;NSP Fiber;;;;true;;;;;
OA;Organic acids, total;;;;true;;;;;
PANTAC;Panto acid;;1;false;true;false;6;;mg;true
P;Phosphorus, P;;1;false;true;false;700;;mg;true
POLYL;Polyols total;;;;true;;;;;
K;Potassium, k;;1;false;true;false;2000;;mg;true
PRO-;Protein;8;1;true;false;false;50;;g;true
CARTBEQ;Provitamin A (b-carotene equivalents);;;;true;;;;;
PROCNT;Raw proteins (N x 6.25);;;;true;;;;;
RETOL;Retinol;;;;true;;;;;
RIBF;Riboflavin;;1;false;true;false;1,4;;mg;true
NACL;Salt;9;1;true;false;false;6;;g;true
SE;Selenium;;1;false;true;false;55;;µg;true
NA;Sodium, Na;;;;true;;;;g;
FIBSOL;Soluble fiber;;;;true;;;;;
STARCH;Starch;;;;true;;;;;
SUGAR;Sugars total;6;2;true;false;false;90;;g;true
THIA;Thiamin;;1;false;true;false;1,1;;mg;true
FAT;Total lipid (fat);3;1;true;false;false;70;;g;true
FAPUN3F;Total omega 3 fatty acids;;;;true;;;;;
FATRN;Total trans fatty acids;;;;true;;;;;
TRP;Tryptophan;;;;true;;;;;
VITA-;Vitamin A;;1;false;true;false;800;;µg;true
VITA;Vitamin A retinol equivalents;;;;true;;;;;
VITA-IU;Vitamin A, IU;;;;true;;;;;
VITA-RAE;Vitamin A, RAE;;;;true;;;;;
VITB12;Vitamin B-12;;1;false;true;false;2,5;;µg;true
VITB6-;Vitamin B-6;;1;false;true;false;1,4;;mg;true
BIOT;Vitamin B7 (Biotin);;1;false;true;false;50;;µg;true
VITC-;Vitamin C, total ascorbic acid;;1;false;true;false;80;;mg;true
VITD-;VITAMIN D;;1;false;true;false;5;;µg;true
VITDEQ;Vitamin D (D2 + D3);;;;true;;;;;
VITE-;Vitamin E;;1;false;true;false;12;;mg;true
TOCPHA;Vitamin E (alpha-tocopherol);;;;true;;;;;
VITK1;Vitamin K (phylloquinone);;1;false;true;false;75;;µg;true
VITK2;Vitamin K2;;;;true;;;;;
WATER;Water;;;;true;;;;;
ZN;Zinc, Zn;;1;false;true;false;10;;mg;true
