nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;33;3;true;false;false;50;;g;true
ALC;Alcohol (ethanol);34;2;false;true;false;;;;
CARTA;Alpha-Carot;58;1;false;true;false;;;;
ASH;Ash;59;1;false;true;false;;;;
CARTB;Beta-caroten;60;1;false;true;false;;;;
CRYPX;Beta-Crypt;61;1;false;true;false;;;;
CAFFN;Caffein;62;1;false;true;false;;;;
CA;Calcium, Ca;39;1;false;true;false;1000;;mg;
CHOAVL;Carbohydrate, by difference;27;1;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);26;1;true;false;true;260;;g;true
CHOL-;Cholesterol;23;1;true;false;true;300;;mg;true
CHOLN;CholineTot;63;1;false;true;false;;;;
CR;Chromium;64;1;false;true;false;;;;
CU;Copper;65;1;false;true;false;0,9;;mg;
ENER-E14;Energy kcal;;1;false;true;false;2000;;kcal;
US_ENER-E14;Energy kcal;1;1;true;false;true;2000;;kcal;
F10D0;FA 10:0, capric;5;2;false;true;false;;;;
F12D0;FA 12:0, lauric;6;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;7;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;8;2;false;true;false;;;;
F18D0;FA 18:0, stearic;9;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;10;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;11;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;12;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;13;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;14;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;15;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;16;2;false;true;false;;;;
F4D0;FA 4:0, butyric;17;2;false;true;false;;;;
F6D0;FA 6:0, caproic;18;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;19;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;20;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;21;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;3;2;true;false;false;20;;g;true
FIBTG;Fiber, total dietary;28;2;true;false;false;28;;g;true
FOLDFE;Folate DFE;66;1;false;true;false;;;;
FOLFD;Folate natural;67;1;false;true;false;;;;
FOLAC;Folic acid;68;1;false;true;false;;;;
FOL;Food folate;69;1;false;true;false;400;;mcg;
FIBINS;Insoluble fiber;29;2;false;true;false;;;;
ID;Iodine;70;1;false;true;false;150;;mcg;
FE;Iron, Fe;40;1;false;true;false;22;;mg;
LYCPN;Lycopene;71;1;false;true;false;;;;
MG;Magnesium, Mg;72;1;false;true;false;310;;mg;
MN;Manganese;73;1;false;true;false;3;;mcg;
NIA;Niacin;74;1;false;true;false;15;;mg;
NIAEQ;Niacine (derived equivalents);75;1;false;true;false;;;;
PSACNS;NSP Fiber;30;2;false;true;false;;;;
OA;Organic acids, total;76;1;false;true;false;;;;
PANTAC;Panto acid;77;1;false;true;false;5;;mg;
P;Phosphorus, P;78;1;false;true;false;700;;mg;
POLYL;Polyols total;35;2;false;true;false;;;;
K;Potassium, k;41;1;false;true;false;2000;;mg;
PRO-;Protein;36;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);79;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);37;1;false;true;false;;;;
RETOL;Retinol;80;1;false;true;false;;;;
RIBF;Riboflavin;81;1;false;true;false;1,2;;mg;
NACL;Salt;25;1;false;true;false;6;;g;
SE;Selenium;82;1;false;true;false;60;;mcg;
NA;Sodium, Na;24;1;true;false;true;2400;;mg;true
FIBSOL;Soluble fiber;31;2;false;true;false;;;;
STARCH;Starch;83;1;false;true;false;;;;
SUGAR;Total Sugars;32;2;true;false;false;50;;g;
THIA;Thiamin;84;1;false;true;false;1,2;;mg;
FAT;Total lipid (fat);2;1;true;false;true;70;;g;true
FAPUN3F;Total omega 3 fatty acids;22;2;false;true;false;;;;
FATRN;Total trans fatty acids;4;2;true;false;false;;;g;
TRP;Tryptophan;42;1;false;true;false;;;;
VITA-;Vitamin A;43;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;44;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;45;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;46;1;false;true;false;;;;
VITB12;Vitamin B-12;47;1;false;true;false;2,4;;mcg;
VITB6-;Vitamin B-6;48;1;false;true;false;1,3;;mg;
BIOT;Vitamin B7 (Biotin);49;1;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;50;1;false;true;false;100;;mg;
VITD-;VITAMIN D;38;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);51;1;false;true;false;;;;
VITE-;Vitamin E;52;1;false;true;false;9;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);53;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);54;1;false;true;false;60;;mcg;
VITK2;Vitamin K2;55;1;false;true;false;;;;
WATER;Water;56;1;false;true;false;;;;
ZN;Zinc, Zn;57;1;false;true;false;14;;mg;
