nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;;;false;true;false;;;;
ALC;Alcohol (ethanol);;;false;true;false;;;;
CARTA;Alpha-Carot;;;false;true;false;;;;
ASH;Ash;;;false;true;false;;;;
CARTB;Beta-caroten;;;false;true;false;;;;
CRYPX;Beta-Crypt;;;false;true;false;;;;
CAFFN;Caffein;;;false;true;false;;;;
CA;Calcium, Ca;;;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;;;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);6;1;true;false;false;300;;g;
CHOL-;Cholesterol;;;false;true;false;300;;mg;
CHOLN;CholineTot;;;false;true;false;450;;mg;
CR;Chromium;;;false;true;false;50;;mcg;
CU;Copper;;;false;true;false;2;;mg;
ENER-E14;Energy kcal;1;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;;;false;true;false;8400;;kJ;
F10D0;FA 10:0, capric;;;false;true;false;;;;
F12D0;FA 12:0, lauric;;;false;true;false;;;;
F14D0;FA 14:0 , myristic;;;false;true;false;;;;
F16D0;FA 16:0, palmitic;;;false;true;false;;;;
F18D0;FA 18:0, stearic;;;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;;;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;;;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;;;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;;;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;;;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;;;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;;;false;true;false;;;;
F4D0;FA 4:0, butyric;;;false;true;false;;;;
F6D0;FA 6:0, caproic;;;false;true;false;;;;
F8D0;FA 8:0, caprylic;;;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;;;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;;;false;true;false;;;;
FASAT;Fatty acids, total saturated;4;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;;;false;true;false;25;;g;
FOLDFE;Folate DFE;;;false;true;false;;;;
FOLFD;Folate natural;;;false;true;false;;;;
FOLAC;Folic acid;;;false;true;false;400;;mcg;
FOL;Food folate;;;false;true;false;;;;
FIBINS;Insoluble fiber;;;false;true;false;;;;
ID;Iodine;;;false;true;false;150;;mcg;
FE;Iron, Fe;;;false;true;false;15;;mg;
LYCPN;Lycopene;;;false;true;false;;;;
MG;Magnesium, Mg;;;false;true;false;300;;mg;
MN;Manganese;;;false;true;false;3;;mg;
NIA;Niacin;;;false;true;false;14;;mg;
NIAEQ;Niacine (derived equivalents);;;false;true;false;;;;
PSACNS;NSP Fiber;;;false;true;false;;;;
OA;Organic acids, total;;;false;true;false;;;;
PANTAC;Panto acid;;;false;true;false;5;;mg;
P;Phosphorus, P;;;false;true;false;700;;mg;
POLYL;Polyols total;;;false;true;false;;;;
K;Potassium, k;;;false;true;false;2000;;mg;
PRO-;Protein;2;1;true;false;false;60;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);;;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);;;false;true;false;;;;
RETOL;Retinol;;;false;true;false;;;;
RIBF;Riboflavin;;;false;true;false;1;;mg;
NACL;Salt;;;false;true;false;;;;
SE;Selenium;;;false;true;false;50;;mcg;
NA;Sodium, Na;8;1;true;false;false;2000;;mg;
FIBSOL;Soluble fiber;;;false;true;false;;;;
STARCH;Starch;;;false;true;false;;;;
SUGAR;Sugars total;7;1;true;false;false;;;;
THIA;Thiamin;;;false;true;false;1;;mg;
FAT;Total lipid (fat);3;1;true;false;false;60;;g;
FAPUN3F;Total omega 3 fatty acids;;;false;true;false;;;;
FATRN;Total trans fatty acids;5;2;true;false;false;;;;
TRP;Tryptophan;;;false;true;false;;;;
VITA-;Vitamin A;;;false;true;false;;;;
VITA;Vitamin A retinol equivalents;;;false;true;false;800;;mcg;
VITA-IU;Vitamin A, IU;;;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;;;false;true;false;;;;
VITB12;Vitamin B-12;;;false;true;false;2;;mcg;
VITB6-;Vitamin B-6;;;false;true;false;1;;mg;
BIOT;Vitamin B7 (Biotin);;;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;;;false;true;false;100;;mg;
VITD-;VITAMIN D;;;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);;;false;true;false;;;;
VITE-;Vitamin E;;;false;true;false;14;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);;;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);;;false;true;false;80;;mcg;
VITK2;Vitamin K2;;;false;true;false;;;;
WATER;Water;;;false;true;false;;;;
ZN;Zinc, Zn;;;false;true;false;15;;mg;
