nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;;;;;;;;;
ALC;Alcohol (ethanol);;;;;;;;;
CARTA;Alpha-Carot;;;;;;;;;
ASH;Ash;;;;;;;;;
CARTB;Beta-caroten;;;;;;;;;
CRYPX;Beta-Crypt;;;;;;;;;
CAFFN;Caffein;;;;;;;;;
CA;Calcium, Ca;;;false;true;false;1000;;mg;
CHOAVL;Carbohydrate, by difference;;;;;;;;;
CHO-;Carbohydrate, by difference (with fiber);3;1;true;false;true;;;;
CHOL-;Cholesterol;;;;;;;;;
CHOLN;CholineTot;;;;;;;;;
CR;Chromium;;;;;;;;;
CU;Copper;;;;;;900;;mcg;
ENER-E14;Energy kcal;1;1;true;false;true;;;;
ENER-KJO;Energy kJ;;;;;;;;;
F10D0;FA 10:0, capric;;;;;;;;;
F12D0;FA 12:0, lauric;;;;;;;;;
F14D0;FA 14:0 , myristic;;;;;;;;;
F16D0;FA 16:0, palmitic;;;;;;;;;
F18D0;FA 18:0, stearic;;;;;;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;;;;;;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;;;;;;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;;;;;;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;;;;;;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;;;;;;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;;;;;;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;;;;;;;;;
F4D0;FA 4:0, butyric;;;;;;;;;
F6D0;FA 6:0, caproic;;;;;;;;;
F8D0;FA 8:0, caprylic;;;;;;;;;
FAMSCIS;Fatty acids, total monounsaturated;;;;;;;;;
FAPUCIS;Fatty acids, total polyunsaturated;;;;;;;;;
FASAT;Fatty acids, total saturated;;;;;;;;;
FIBTG;Fiber, total dietary;;;;;;;;;
FOLDFE;Folate DFE;;;;;;;;;
FOLFD;Folate natural;;;false;true;false;400;;mcg;
FOLAC;Folic acid;;;;;;;;;
FOL;Food folate;;;;;;;;;
FIBINS;Insoluble fiber;;;;;;;;;
ID;Iodine;;;false;true;false;150;;mcg;
FE;Iron, Fe;;;false;true;false;22;;mg;
LYCPN;Lycopene;;;;;;;;;
MG;Magnesium, Mg;;;false;true;false;310;;mg;
MN;Manganese;;;false;true;false;3;;mg;
NIA;Niacin;;;false;true;false;15;;mg;
NIAEQ;Niacine (derived equivalents);;;;;;;;;
PSACNS;NSP Fiber;;;;;;;;;
OA;Organic acids, total;;;;;;;;;
PANTAC;Panto acid;;;false;true;false;5;;mg;
P;Phosphorus, P;;;false;true;false;700;;mg;
POLYL;Polyols total;;;;;;;;;
K;Potassium, k;;;;;;;;;
PRO-;Protein;2;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);;;;;;;;;
PROCNT;Raw proteins (N x 6.25);;;;;;;;;
RETOL;Retinol;;;;;;;;;
RIBF;Riboflavin;;;false;true;false;1;"
";mg;
NACL;Salt;;;;;;;;;
SE;Selenium;;;false;true;false;60;;mcg;
NA;Sodium, Na;;;;;;;;;
FIBSOL;Soluble fiber;;;;;;;;;
STARCH;Starch;;;;;;;;;
SUGAR;Sugars total;4;2;true;false;true;;;;
THIA;Thiamin;;;;;;1;;mg;
FAT;Total lipid (fat);5;1;true;false;true;;;;
FAPUN3F;Total omega 3 fatty acids;;;;;;;;;
FATRN;Total trans fatty acids;;;;;;;;;
TRP;Tryptophan;;;;;;;;;
VITA-;Vitamin A;;;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;;;;;;;;;
VITA-IU;Vitamin A, IU;;;;;;;;;
VITA-RAE;Vitamin A, RAE;;;;;;;;;
VITB12;Vitamin B-12;;;false;true;false;2;;mcg;
VITB6-;Vitamin B-6;;;false;true;false;1;;mg;
BIOT;Vitamin B7 (Biotin);;;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;;;false;true;false;100;;mg;
VITD-;VITAMIN D;;;false;true;false;15;;mcg;
VITDEQ;Vitamin D (D2 + D3);;;;;;;;;
VITE-;Vitamin E;;;false;true;false;9;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);;;;;;;;;
VITK1;Vitamin K (phylloquinone);;;false;true;false;60;;mcg;
VITK2;Vitamin K2;;;;;;;;;
WATER;Water;;;;;;;;;
ZN;Zinc, Zn;;;false;true;false;14;;mg;
