nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
ENER-KJO;Energy kJ;1;1;true;false;false;;;;
ENER-E14;Energy kcal;2;1;false;true;false;;;;
ENER-;Energy kJ, without dietary fibre;3;1;false;true;false;;;;
PRO-;Protein;4;1;true;false;false;;;;
PROCNT;Raw proteins (N x 6.25);5;1;false;true;false;;;;
FAT;Total lipid (fat);6;1;true;false;false;;;;
FASAT;Fatty acids, total saturated;7;2;false;false;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;8;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;9;2;false;true;false;;;;
FAPUN3F;Total omega 3 fatty acids;10;2;false;true;false;;;;
FATRN;Total trans fatty acids;11;2;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);12;1;true;false;false;;;;
CHOAVL;Carbohydrate, by difference;13;1;false;true;false;;;;
SUGAR;Total Sugars;14;2;false;false;false;;;;
SUGAD;Added sugars;15;2;false;true;false;;;;
POLYL;Polyols total;16;1;false;true;false;;;;
STARCH;Starch;17;1;false;true;false;;;;
NA;Sodium, Na;18;1;true;false;false;;;g;
NACL;Salt;19;1;false;true;false;;;;
CHOL-;Cholesterol;20;2;false;true;false;;;;
FIBTG;Fiber, total dietary;21;1;false;true;false;;;;
FIBINS;Insoluble fiber;22;1;false;true;false;;;;
PSACNS;NSP Fiber;23;1;false;true;false;;;;
FIBSOL;Soluble fiber;24;1;false;true;false;;;;
VITA-;Vitamin A;25;1;false;true;false;;;;
VITA;Vitamin A retinol equivalents;26;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;27;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;28;1;false;true;false;;;;
VITD-;VITAMIN D;29;1;false;true;false;;;;
VITDEQ;Vitamin D (D2 + D3);30;1;false;true;false;;;;
VITE-;Vitamin E;31;1;false;true;false;;;;
TOCPHA;Vitamin E (alpha-tocopherol);32;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);33;1;false;true;false;;;;
VITK2;Vitamin K2;34;1;false;true;false;;;;
VITC-;Vitamin C, total ascorbic acid;35;1;false;true;false;;;;
THIA;Thiamin;36;1;false;true;false;;;;
RIBF;Riboflavin;37;1;false;true;false;;;;
NIA;Niacin;38;1;false;true;false;;;;
NIAEQ;Niacine (derived equivalents);39;1;false;true;false;;;;
VITB6-;Vitamin B-6;40;1;false;true;false;;;;
FOLDFE;Folate DFE;41;1;false;true;false;;;;
FOLFD;Folate natural;42;1;false;true;false;;;;
FOLAC;Folic acid;43;1;false;true;false;;;;
FOL;Food folate;44;1;false;true;false;;;;
VITB12;Vitamin B-12;45;1;false;true;false;;;;
BIOT;Vitamin B7 (Biotin);46;1;false;true;false;;;;
PANTAC;Panto acid;47;1;false;true;false;;;;
K;Potassium, k;48;2;false;true;false;;;;
CA;Calcium, Ca;49;1;false;true;false;;;;
P;Phosphorus, P;50;1;false;true;false;;;;
MG;Magnesium, Mg;51;1;false;true;false;;;;
FE;Iron, Fe;52;1;false;true;false;;;;
ZN;Zinc, Zn;53;1;false;true;false;;;;
CU;Copper;54;1;false;true;false;;;;
MN;Manganese;55;1;false;true;false;;;;
SE;Selenium;56;1;false;true;false;;;;
CR;Chromium;57;1;false;true;false;;;;
ID;Iodine;58;1;false;true;false;;;;
CHOLN;CholineTot;59;1;false;true;false;;;;
ALC;Alcohol (ethanol);60;1;false;true;false;;;;
CARTA;Alpha-Carot;61;1;false;true;false;;;;
ASH;Ash;62;1;false;true;false;;;;
CARTB;Beta-caroten;63;1;false;true;false;;;;
CRYPX;Beta-Crypt;64;1;false;true;false;;;;
CAFFN;Caffein;65;1;false;true;false;;;;
F10D0;FA 10:0, capric;66;1;false;true;false;;;;
F12D0;FA 12:0, lauric;67;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;68;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;69;1;false;true;false;;;;
F18D0;FA 18:0, stearic;70;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;71;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;72;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;73;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;74;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;75;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;76;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;77;1;false;true;false;;;;
F4D0;FA 4:0, butyric;78;1;false;true;false;;;;
F6D0;FA 6:0, caproic;79;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;80;1;false;true;false;;;;
LYCPN;Lycopene;81;1;false;true;false;;;;
OA;Organic acids, total;82;1;false;true;false;;;;
CARTBEQ;Provitamin A (b-carotene equivalents);83;1;false;true;false;;;;
RETOL;Retinol;84;1;false;true;false;;;;
TRP;Tryptophan;85;1;false;true;false;;;;
WATER;Water;86;1;false;true;false;;;;
