nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;;1;false;true;;;;;
ALC;Alcohol (ethanol);;1;false;true;;;;;
CARTA;Alpha-Carot;;1;false;true;;;;;
ASH;Ash;;1;false;true;;;;;
CARTB;Beta-caroten;;1;false;true;;;;;
CRYPX;Beta-Crypt;;1;false;true;;;;;
CAFFN;Caffein;;1;false;true;;;;;
CA;Calcium, Ca;;1;false;true;;800;;mg;
CHOAVL;Carbohydrate, by difference;;1;false;true;true;;;;
CHO-;Carbohydrate, by difference (with fiber);3;1;true;false;;;;;
CHOL-;Cholesterol;;1;false;true;;;;;
CHOLN;CholineTot;;1;false;true;;;;;
CR;Chromium;;1;false;true;;;;;
CU;Copper;;1;false;true;;;;;
ENER-E14;Energy kcal;1;1;true;false;true;;;;
ENER-KJO;Energy kJ;2;1;true;false;true;;;;
F10D0;FA 10:0, capric;;1;false;true;;;;;
F12D0;FA 12:0, lauric;;1;false;true;;;;;
F14D0;FA 14:0 , myristic;;1;false;true;;;;;
F16D0;FA 16:0, palmitic;;1;false;true;;;;;
F18D0;FA 18:0, stearic;;1;false;true;;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;;1;false;true;;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;;1;false;true;;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;;1;false;true;;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;;1;false;true;;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;;1;false;true;;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;;1;false;true;;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;;1;false;true;;;;;
F4D0;FA 4:0, butyric;;1;false;true;;;;;
F6D0;FA 6:0, caproic;;1;false;true;;;;;
F8D0;FA 8:0, caprylic;;1;false;true;;;;;
FAMSCIS;Fatty acids, total monounsaturated;;1;false;true;;;;;
FAPUCIS;Fatty acids, total polyunsaturated;;1;false;true;;;;;
FASAT;Fatty acids, total saturated;;1;false;true;;;;;
FIBTG;Fiber, total dietary;;1;false;true;;;;;
FOLDFE;Folate DFE;;1;false;true;;;;;
FOLFD;Folate natural;;1;false;true;;;;;
FOLAC;Folic acid;;1;false;true;;200;;mg;
FOL;Food folate;;1;false;true;;;;;
FIBINS;Insoluble fiber;;1;false;true;;;;;
ID;Iodine;;1;false;true;;150;;mcg;
FE;Iron, Fe;;1;false;true;;14;;mg;
LYCPN;Lycopene;;1;false;true;;;;;
MG;Magnesium, Mg;;1;false;true;;300;;mg;
MN;Manganese;;1;false;true;;;;;
NIA;Niacin;;1;false;true;;18;;mg;
NIAEQ;Niacine (derived equivalents);;1;false;true;;;;;
PSACNS;NSP Fiber;;1;false;true;;;;;
OA;Organic acids, total;;1;false;true;;;;;
PANTAC;Panto acid;;1;false;true;;;;;
P;Phosphorus, P;;1;false;true;;;;;
POLYL;Polyols total;;1;false;true;;;;;
K;Potassium, k;;1;false;true;;;;;
PRO-;Protein;5;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);;1;false;true;;;;;
PROCNT;Raw proteins (N x 6.25);;1;false;true;;;;;
RETOL;Retinol;;1;false;true;;;;;
RIBF;Riboflavin;;1;false;true;;1.6;;mg;
NACL;Salt;;1;false;true;;;;;
SE;Selenium;;1;false;true;;;;;
NA;Sodium, Na;;1;false;true;;;;;
FIBSOL;Soluble fiber;;1;false;true;;;;;
STARCH;Starch;;1;false;true;;;;;
SUGAR;Sugars total;4;1;true;false;;;;;
THIA;Thiamin;;1;false;true;;1.4;"
";mg;
FAT;Total lipid (fat);6;1;true;false;;;;;
FAPUN3F;Total omega 3 fatty acids;;1;false;true;;;;;
FAPUN6F;Total omega 6 fatty acids;;1;false;true;;;;;
FATRN;Total trans fatty acids;;1;false;true;;;;;
TRP;Tryptophan;;1;false;true;;;;;
VITA-;Vitamin A;;1;false;true;;800;;mcg;
VITA;Vitamin A retinol equivalents;;1;false;true;;;;;
VITA-IU;Vitamin A, IU;;1;false;true;;;;;
VITA-RAE;Vitamin A, RAE;;1;false;true;;;;;
VITB12;Vitamin B-12;;1;false;true;;1;;mcg;
VITB6-;Vitamin B-6;;1;false;true;;2;;"mg
";
BIOT;Vitamin B7 (Biotin);;1;false;true;;;;;
VITC-;Vitamin C, total ascorbic acid;;1;false;true;;60;;mg;
VITD-;VITAMIN D;;1;false;true;;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);;1;false;true;;;;;
VITE-;Vitamin E;;1;false;true;;10;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);;1;false;true;;;;;
VITK1;Vitamin K (phylloquinone);;1;false;true;;;;;
VITK2;Vitamin K2;;1;false;true;;;;;
WATER;Water;;1;false;true;;;;;
ZN;Zinc, Zn;;1;false;true;;15;;mg;
