nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;7;2;false;true;false;;;;
ALC;Alcohol (ethanol);64;1;false;true;false;;;;
CARTA;Alpha-Carot;65;1;false;true;false;;;;
ASH;Ash;66;1;false;true;false;;;;
CARTB;Beta-caroten;67;1;false;true;false;;;;
CRYPX;Beta-Crypt;68;1;false;true;false;;;;
CAFFN;Caffein;69;1;false;true;false;;;;
CA;Calcium, Ca;70;1;false;true;false;1000;;mg;
CHOAVL;Carbohydrate, by difference;5;1;false;true;false;;;;
CHO-;Carbohydrate, by difference (with fiber);4;1;true;false;true;;;;
CHOL-;Cholesterol;71;1;false;true;false;;;;
CHOLN;CholineTot;72;1;false;true;false;;;;
CR;Chromium;73;1;false;true;false;;;;
CU;Copper;74;1;false;true;false;1;;mg;
ENER-E14;Energy kcal;1;1;true;false;true;;;;
F10D0;FA 10:0, capric;14;1;false;true;false;;;;
F12D0;FA 12:0, lauric;15;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;16;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;17;1;false;true;false;;;;
F18D0;FA 18:0, stearic;18;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;19;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;20;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;21;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;22;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;23;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;24;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;25;1;false;true;false;;;;
F4D0;FA 4:0, butyric;26;1;false;true;false;;;;
F6D0;FA 6:0, caproic;27;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;28;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;12;1;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;13;1;false;true;false;;;;
FASAT;Fatty acids, total saturated;9;2;true;false;true;;;;
FIBTG;Fiber, total dietary;29;1;false;true;false;;;;
FOLDFE;Folate DFE;75;1;false;true;false;;;;
FOLFD;Folate natural;76;1;false;true;false;;;;
FOLAC;Folic acid;77;1;false;true;false;;;;
FOL;Food folate;78;1;false;true;false;400;;mcg;
FIBINS;Insoluble fiber;30;1;false;true;false;;;;
ID;Iodine;79;1;false;true;false;150;;mcg;
FE;Iron, Fe;80;1;false;true;false;22;;mg;
LYCPN;Lycopene;81;1;false;true;false;;;;
MG;Magnesium, Mg;82;1;false;true;false;310;;mg;
MN;Manganese;83;1;false;true;false;3;;mg;
NIA;Niacin;51;1;false;true;false;15;;mg;
NIAEQ;Niacine (derived equivalents);52;1;false;true;false;;;;
PSACNS;NSP Fiber;31;1;false;true;false;;;;
OA;Organic acids, total;53;1;false;true;false;;;;
PANTAC;Panto acid;54;1;false;true;false;5;;mg;
P;Phosphorus, P;55;1;false;true;false;700;;mg;
POLYL;Polyols total;56;1;false;true;false;;;;
K;Potassium, k;57;1;false;true;false;3500;;mg;
PRO-;Protein;2;1;true;false;true;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);58;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);3;1;false;true;false;;;;
RETOL;Retinol;59;1;false;true;false;;;;
RIBF;Riboflavin;49;1;false;true;false;1;;mg;
NACL;Salt;34;1;false;true;false;;;;
SE;Selenium;60;1;false;true;false;60;;mcg;
NA;Sodium, Na;33;1;true;false;true;;;;
FIBSOL;Soluble fiber;32;1;false;true;false;;;;
STARCH;Starch;61;1;false;true;false;;;;
SUGAR;Total Sugars;6;2;true;false;true;;;;
THIA;Thiamin;50;1;false;true;false;1;;mg;
FAT;Total lipid (fat);8;1;true;false;true;;;;
FAPUN3F;Total omega 3 fatty acids;11;1;false;true;false;;;;
FATRN;Total trans fatty acids;10;1;false;true;false;;;;
TRP;Tryptophan;62;1;false;true;false;;;;
VITA-;Vitamin A;35;1;false;true;false;800;;�g;
VITA;Vitamin A retinol equivalents;36;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;37;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;38;1;false;true;false;;;;
VITB12;Vitamin B-12;39;1;false;true;false;2;;mcg;
VITB6-;Vitamin B-6;40;1;false;true;false;1;;mg;
BIOT;Vitamin B7 (Biotin);41;1;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;42;1;false;true;false;100;;mg;
VITD-;VITAMIN D;43;1;false;true;false;5;;�g;
VITDEQ;Vitamin D (D2 + D3);44;1;false;true;false;;;;
VITE-;Vitamin E;45;1;false;true;false;9;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);46;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);47;1;false;true;false;60;;�g;
VITK2;Vitamin K2;48;1;false;true;false;;;;
WATER;Water;84;1;false;true;false;;;;
ZN;Zinc, Zn;63;1;false;true;false;14;;mg;
