nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;30;2;false;true;false;;;;
ALC;Alcohol (ethanol);38;1;false;true;false;;;;
CARTA;Alpha-Carot;80;1;false;true;false;;;;
ASH;Ash;81;1;false;true;false;;;;
CARTB;Beta-caroten;82;1;false;true;false;;;;
CRYPX;Beta-Crypt;83;1;false;true;false;;;;
CAFFN;Caffein;84;1;false;true;false;;;;
CA;Calcium, Ca;57;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;27;1;true;false;false;;;g;
CHO-;Carbohydrate, by difference (with fiber);28;1;false;true;false;;;;
CHOL-;Cholesterol;26;1;true;false;false;;;mg;
CHOLN;CholineTot;54;1;false;true;false;;;;
CR;Chromium;55;1;false;true;false;;;;
CU;Copper;56;1;false;true;false;;;;
ENER-E14;Energy kcal;1;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;2;1;true;false;false;8400;;kJ;
F10D0;FA 10:0, capric;11;2;false;true;false;;;;
F12D0;FA 12:0, lauric;12;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;13;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;14;2;false;true;false;;;;
F18D0;FA 18:0, stearic;15;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;16;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;17;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;18;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;19;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;20;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;21;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;22;2;false;true;false;;;;
F4D0;FA 4:0, butyric;23;2;false;true;false;;;;
F6D0;FA 6:0, caproic;24;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;25;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;8;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;9;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;6;2;true;false;false;;;g;
FIBTG;Fiber, total dietary;32;1;true;false;false;;;g;
FOLDFE;Folate DFE;58;1;false;true;false;;;;
FOLFD;Folate natural;69;1;false;true;false;;;;
FOLAC;Folic acid;60;1;false;true;false;200;;mcg;
FOL;Food folate;61;1;false;true;false;;;;
FIBINS;Insoluble fiber;33;1;false;true;false;;;;
ID;Iodine;62;1;false;true;false;100;;mcg;
FE;Iron, Fe;63;1;false;true;false;10;;mg;
LYCPN;Lycopene;64;1;false;true;false;;;;
MG;Magnesium, Mg;65;1;false;true;false;;;;
MN;Manganese;66;1;false;true;false;;;;
NIA;Niacin;67;1;false;true;false;16;;mg;
NIAEQ;Niacine (derived equivalents);68;1;false;true;false;;;;
PSACNS;NSP Fiber;34;1;false;true;false;;;;
OA;Organic acids, total;69;1;false;true;false;;;;
PANTAC;Panto acid;70;1;false;true;false;;;;
P;Phosphorus, P;71;1;false;true;false;800;;mg;
POLYL;Polyols total;31;1;false;true;false;;;;
K;Potassium, k;72;1;false;true;false;;;;
PRO-;Protein;3;1;true;false;false;;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);73;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);4;1;false;true;false;;;;
RETOL;Retinol;39;1;false;true;false;;;;
RIBF;Riboflavin;74;1;false;true;false;1,5;;mg;
NACL;Salt;37;1;false;true;false;;;;
SE;Selenium;75;1;false;true;false;;;;
NA;Sodium, Na;36;1;true;false;false;;;mg;
FIBSOL;Soluble fiber;35;1;false;true;false;;;;
STARCH;Starch;76;1;false;true;false;;;;
SUGAR;Sugars total;29;2;true;false;false;;;g;
THIA;Thiamin;77;1;false;true;false;1;;mg;
FAT;Total lipid (fat);5;1;true;false;false;;;;
FAPUN3F;Total omega 3 fatty acids;10;1;false;true;false;;;;
FATRN;Total trans fatty acids;7;2;true;false;false;;;g;
TRP;Tryptophan;78;1;false;true;false;;;;
VITA-;Vitamin A;40;1;false;true;false;750;;mcg;
VITA;Vitamin A retinol equivalents;41;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;42;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;43;1;false;true;false;;;;
VITB12;Vitamin B-12;44;1;false;true;false;2;;mcg;
VITB6-;Vitamin B-6;45;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);46;1;false;true;false;;;;
VITC-;Vitamin C, total ascorbic acid;47;1;false;true;false;30;;mg;
VITD-;VITAMIN D;48;1;false;true;false;2,5;;mcg;
VITDEQ;Vitamin D (D2 + D3);49;1;false;true;false;;;;
VITE-;Vitamin E;50;1;false;true;false;10;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);51;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);52;1;false;true;false;;;;
VITK2;Vitamin K2;53;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;79;1;false;true;false;;;;
