nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;7;2;false;true;false;;;;
ALC;Alcohol (ethanol);76;1;false;true;false;;;;
CARTA;Alpha-Carot;75;1;false;true;false;;;;
ASH;Ash;77;1;false;true;false;;;;
CARTB;Beta-caroten;78;1;false;true;false;;;;
CRYPX;Beta-Crypt;79;1;false;true;false;;;;
CAFFN;Caffein;80;1;false;true;false;;;;
CA;Calcium, Ca;61;1;false;true;false;1300;;mg;
CHOAVL;Carbohydrate, by difference;4;1;true;false;true;;;g;
CHO-;Carbohydrate, by difference (with fiber);5;1;false;true;false;;;;
CHOL-;Cholesterol;29;2;true;false;true;;;mg;
CHOLN;CholineTot;62;1;false;true;false;550;;mg;
CR;Chromium;63;1;false;true;false;35;;mcg;
CU;Copper;64;1;false;true;false;0,9;;mg;
ENER-KJO;Energy kJ;1;1;true;false;true;;;kJ;
F10D0;FA 10:0, capric;14;1;false;true;false;;;;
F12D0;FA 12:0, lauric;15;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;16;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;17;1;false;true;false;;;;
F18D0;FA 18:0, stearic;18;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;19;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;20;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;21;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;22;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;23;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;24;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;25;1;false;true;false;;;;
F4D0;FA 4:0, butyric;26;1;false;true;false;;;;
F6D0;FA 6:0, caproic;27;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;28;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;11;2;true;false;true;;;g;
FAPUCIS;Fatty acids, total polyunsaturated;12;2;true;false;true;;;g;
FASAT;Fatty acids, total saturated;9;2;true;false;true;;;g;
FIBTG;Fiber, total dietary;30;1;true;false;true;;;g;
FOLDFE;Folate DFE;55;1;false;true;false;;;;
FOLFD;Folate natural;56;1;false;true;false;;;;
FOLAC;Folic acid;57;1;false;true;false;400;;mcg;
FOL;Food folate;58;1;false;true;false;;;;
FIBINS;Insoluble fiber;31;1;false;true;false;;;;
ID;Iodine;59;1;false;true;false;150;;mcg;
FE;Iron, Fe;65;1;false;true;false;18;;mg;
LYCPN;Lycopene;66;1;false;true;false;;;;
MG;Magnesium, Mg;67;1;false;true;false;420;;mg;
MN;Manganese;68;1;false;true;false;2,3;;mg;
NIA;Niacin;52;1;false;true;false;16;;mg;
NIAEQ;Niacine (derived equivalents);53;1;false;true;false;;;;
PSACNS;NSP Fiber;32;1;false;true;false;;;;
OA;Organic acids, total;81;1;false;true;false;;;;
PANTAC;Panto acid;60;1;false;true;false;5;;mg;
P;Phosphorus, P;69;1;false;true;false;1250;;mg;
POLYL;Polyols total;70;1;false;true;false;;;;
K;Potassium, k;71;1;false;true;false;;;;
PRO-;Protein;2;1;true;false;true;56;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);72;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);3;1;false;true;false;;;;
RETOL;Retinol;82;1;false;true;false;;;;
RIBF;Riboflavin;51;1;false;true;false;1,3;;mg;
NACL;Salt;35;1;false;true;false;;;;
SE;Selenium;73;1;false;true;false;55;;mcg;
NA;Sodium, Na;34;1;true;false;true;;;mg;
FIBSOL;Soluble fiber;33;1;false;true;false;;;;
STARCH;Starch;83;1;false;true;false;;;;
SUGAR;Sugars total;6;2;true;false;true;;;g;
THIA;Thiamin;50;1;false;true;false;1,2;;mg;
FAT;Total lipid (fat);8;1;true;false;true;;;g;
FAPUN3F;Total omega 3 fatty acids;13;2;true;false;true;;;g;
FATRN;Total trans fatty acids;10;2;true;false;true;;;g;
TRP;Tryptophan;54;1;false;true;false;;;;
VITA-;Vitamin A;36;1;false;true;false;900;;mcg;
VITA;Vitamin A retinol equivalents;37;1;false;true;false;;;;
VITAA;Vitamin A, IU;38;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;39;1;false;true;false;;;;
VITB12;Vitamin B-12;40;1;false;true;false;2,4;;mcg;
VITB6-;Vitamin B-6;41;1;false;true;false;1,7;;mg;
BIOT;Vitamin B7 (Biotin);42;1;false;true;false;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;43;1;false;true;false;100;;mg;
VITD-;VITAMIN D;44;1;false;true;false;15;;mcg;
VITDEQ;Vitamin D (D2 + D3);45;1;false;true;false;;;;
VITE-;Vitamin E;46;1;false;true;false;15;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);47;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);48;1;false;true;false;120;;mcg;
VITK2;Vitamin K2;49;1;false;true;false;;;;
WATER;Water;84;1;false;true;false;;;;
ZN;Zinc, Zn;74;1;false;true;false;11;;mg;
