nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;33;3;;0;1;;;;
ALC;Alcohol (ethanol);34;2;;0;1;;;;
CARTA;Alpha-Carot;58;1;;0;1;;;;
ASH;Ash;59;1;;0;1;;;;
CARTB;Beta-caroten;60;1;;0;1;;;;
CRYPX;Beta-Crypt;61;1;;0;1;;;;
CAFFN;Caffein;62;1;;0;1;;;;
CA;Calcium, Ca;39;1;;0;1;1200;;mg;
CHOAVL;Carbohydrate, by difference;27;1;;1;0;300;;g;
CHO-;Carbohydrate, by difference (with fiber);26;1;;0;1;;;;
CHOL-;Cholesterol;23;1;;0;1;300;;mg;
CHOLN;CholineTot;63;1;;0;1;500;;mg;
CR;Chromium;64;1;;0;1;;;;
CU;Copper;65;1;;0;1;;;;
ENER-E14;Energy kcal;1;1;;1;0;2000;;kcal;
F10D0;FA 10:0, capric;5;2;;0;1;;;;
F12D0;FA 12:0, lauric;6;2;;0;1;;;;
F14D0;FA 14:0 , myristic;7;2;;0;1;;;;
F16D0;FA 16:0, palmitic;8;2;;0;1;;;;
F18D0;FA 18:0, stearic;9;2;;0;1;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;10;2;;0;1;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;11;2;;0;1;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;12;2;;0;1;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;13;2;;0;1;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;14;2;;0;1;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;15;2;;0;1;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;16;2;;0;1;;;;
F4D0;FA 4:0, butyric;17;2;;0;1;;;;
F6D0;FA 6:0, caproic;18;2;;0;1;;;;
F8D0;FA 8:0, caprylic;19;2;;0;1;;;;
FAMSCIS;Fatty acids, total monounsaturated;20;2;;0;1;;;;
FAPUCIS;Fatty acids, total polyunsaturated;21;2;;0;1;;;;
FASAT;Fatty acids, total saturated;3;2;;1;0;18;;g;
FIBTG;Fiber, total dietary;28;2;;0;1;25;;g;
FOLDFE;Folate DFE;66;1;;0;1;;;;
FOLFD;Folate natural;67;1;;0;1;;;;
FOLAC;Folic acid;68;1;;0;1;400;;mcg;
FOL;Food folate;69;1;;0;1;;;;
FIBINS;Insoluble fiber;29;2;;0;1;;;;
ID;Iodine;70;1;;0;1;140;;mcg;
FE;Iron, Fe;40;1;;0;1;15;;mg;
LYCPN;Lycopene;71;1;;0;1;;;;
MG;Magnesium, Mg;72;1;;0;1;390;;mg;
MN;Manganese;73;1;;0;1;;;;
NIA;Niacin;74;1;;0;1;18;;mg NE;
NIAEQ;Niacine (derived equivalents);75;1;;0;1;;;;
PSACNS;NSP Fiber;30;2;;0;1;;;;
OA;Organic acids, total;76;1;;0;1;;;;
PANTAC;Panto acid;77;1;;0;1;5;;mg;
P;Phosphorus, P;78;1;;0;1;1000;;mg;
POLYL;Polyols total;35;2;;0;1;;;;
K;Potassium, k;41;1;;0;1;;;;
PRO-;Protein;36;1;;1;0;60;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);79;1;;0;1;;;;
PROCNT;Raw proteins (N x 6.25);37;1;;0;1;;;;
RETOL;Retinol;80;1;;0;1;;;;
RIBF;Riboflavin;81;1;;0;1;1.6;;mg;
NACL;Salt;25;1;;0;1;;;;
SE;Selenium;82;1;;0;1;55;;mcg;
NA;Sodium, Na;24;1;;1;0;2;;g;
FIBSOL;Soluble fiber;31;2;;0;1;;;;
STARCH;Starch;83;1;;0;1;;;;
SUGAR;Total Sugars;32;2;;1;0;;;;
THIA;Thiamin;84;1;;0;1;1.4;;mg;
FAT;Total lipid (fat);2;1;;1;0;60;;g;
FAPUN3F;Total omega 3 fatty acids;22;2;;0;1;;;;
FATRN;Total trans fatty acids;4;2;;1;0;;;;
TRP;Tryptophan;42;1;;0;1;;;;
VITA-;Vitamin A;43;1;;0;1;700;;mcg;
VITA;Vitamin A retinol equivalents;44;1;;0;1;;;;
VITA-IU;Vitamin A, IU;45;1;;0;1;;;;
VITA-RAE;Vitamin A, RAE;46;1;;0;1;;;;
VITB12;Vitamin B-12;47;1;;0;1;2.4;;mcg;
VITB6-;Vitamin B-6;48;1;;0;1;1.6;;mg;
BIOT;Vitamin B7 (Biotin);49;1;;0;1;30;;mcg;
VITC-;Vitamin C, total ascorbic acid;50;1;;0;1;;;;
VITD-;VITAMIN D;38;1;;0;1;10;;mcg;
VITDEQ;Vitamin D (D2 + D3);51;1;;0;1;;;;
VITE-;Vitamin E;52;1;;0;1;13;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);53;1;;0;1;;;;
VITK1;Vitamin K (phylloquinone);54;1;;0;1;120;;mcg;
VITK2;Vitamin K2;55;1;;0;1;;;;
WATER;Water;56;1;;0;1;;;;
ZN;Zinc, Zn;57;1;;0;1;15;;mg;
VITC-;Vitamin C, total ascorbic acid;50;1;;0;1;100;;mg;
