nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;8;2;false;true;false;;;;
ALC;Alcohol (ethanol);82;1;false;true;false;;;;
CARTA;Alpha-Carot;83;1;false;true;false;;;;
ASH;Ash;84;1;false;true;false;;;;
CARTB;Beta-caroten;79;1;false;true;false;;;;
CRYPX;Beta-Crypt;80;1;false;true;false;;;;
CAFFN;Caffein;81;1;false;true;false;;;;
CA;Calcium, Ca;60;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;5;1;true;false;false;260;;g;
CHO-;Carbohydrate, by difference (with fiber);6;1;false;true;false;;;;
CHOL-;Cholesterol;34;1;false;true;false;;;;
CHOLN;CholineTot;61;1;false;true;false;;;;
CR;Chromium;62;1;false;true;false;;;;
CU;Copper;63;1;false;true;false;;;;
ENER-E14;Energy kcal;2;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;1;1;true;false;false;8400;;kJ;
F10D0;FA 10:0, capric;18;1;false;true;false;;;;
F12D0;FA 12:0, lauric;19;1;false;true;false;;;;
F14D0;FA 14:0 , myristic;20;1;false;true;false;;;;
F16D0;FA 16:0, palmitic;21;1;false;true;false;;;;
F18D0;FA 18:0, stearic;22;1;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;23;1;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;24;1;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;25;1;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;26;1;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;27;1;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;28;1;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;29;1;false;true;false;;;;
F4D0;FA 4:0, butyric;30;1;false;true;false;;;;
F6D0;FA 6:0, caproic;31;1;false;true;false;;;;
F8D0;FA 8:0, caprylic;32;1;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;16;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;17;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;14;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;9;2;true;false;false;;;g;
FOLDFE;Folate DFE;64;1;false;true;false;;;;
FOLFD;Folate natural;65;1;false;true;false;;;;
FOLAC;Folic acid;66;1;false;true;false;200;;mcg;
FOL;Food folate;67;1;false;true;false;;;;
FIBINS;Insoluble fiber;10;1;false;true;false;;;;
ID;Iodine;68;1;false;true;false;150;;mcg;
FE;Iron, Fe;69;1;false;true;false;14;;mg;
LYCPN;Lycopene;57;1;false;true;false;;;;
MG;Magnesium, Mg;70;1;false;true;false;300;;mg;
MN;Manganese;71;1;false;true;false;;;;
NIA;Niacin;55;1;false;true;false;18;;mg;
NIAEQ;Niacine (derived equivalents);56;1;false;true;false;;;;
PSACNS;NSP Fiber;11;1;false;true;false;;;;
OA;Organic acids, total;72;1;false;true;false;;;;
PANTAC;Panto acid;73;1;false;true;false;6;;mg;
P;Phosphorus, P;74;1;false;true;false;;;;
POLYL;Polyols total;75;1;false;true;false;;;;
K;Potassium, k;76;1;false;true;false;;;;
PRO-;Protein;3;1;true;false;false;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);59;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);4;1;false;true;false;;;;
RETOL;Retinol;52;1;false;true;false;;;;
RIBF;Riboflavin;54;1;false;true;false;1,6;;mg;
NACL;Salt;37;1;false;true;false;6;;g;
SE;Selenium;77;1;false;true;false;;;;
NA;Sodium, Na;36;1;true;false;false;;;g;
FIBSOL;Soluble fiber;12;1;false;true;false;;;;
STARCH;Starch;35;2;false;true;false;;;;
SUGAR;Sugars total;7;2;true;false;false;90;;g;
THIA;Thiamin;53;1;false;true;false;1,4;;mg;
FAT;Total lipid (fat);13;1;true;false;false;70;;g;
FAPUN3F;Total omega 3 fatty acids;33;1;false;true;false;;;;
FATRN;Total trans fatty acids;15;2;false;true;false;;;;
TRP;Tryptophan;58;1;false;true;false;;;;
VITA-;Vitamin A;38;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;39;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;40;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;41;1;false;true;false;;;;
VITB12;Vitamin B-12;42;1;false;true;false;1;;mcg;
VITB6-;Vitamin B-6;43;1;false;true;false;2;;mg;
BIOT;Vitamin B7 (Biotin);44;1;false;true;false;0,15;;mg;
VITC-;Vitamin C, total ascorbic acid;45;1;false;true;false;60;;mg;
VITD-;VITAMIN D;46;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);47;1;false;true;false;;;;
VITE-;Vitamin E;48;1;false;true;false;10;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);49;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);50;1;false;true;false;;;;
VITK2;Vitamin K2;51;1;false;true;false;;;;
WATER;Water;85;1;false;true;false;;;;
ZN;Zinc, Zn;78;1;false;true;false;15;;mg;
