nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;26;2;false;true;false;;;;
ALC;Alcohol (ethanol);80;1;false;true;false;;;;
CARTA;Alpha-Carot;81;1;false;true;false;;;;
ASH;Ash;82;1;false;true;false;;;;
CARTB;Beta-caroten;83;1;false;true;false;;;;
CRYPX;Beta-Crypt;84;1;false;true;false;;;;
CAFFN;Caffein;85;1;false;true;false;;;;
CA;Calcium, Ca;50;1;false;true;false;800;;mg;
CHOAVL;Carbohydrate, by difference;23;1;true;false;false;;;;
CHO-;Carbohydrate, by difference (with fiber);24;1;false;true;false;;;;
CHOL-;Cholesterol;27;1;false;true;false;;;;
CHOLN;CholineTot;51;1;false;true;false;;;;
CR;Chromium;52;1;false;true;false;40;;mcg;
CU;Copper;53;1;false;true;false;1;;mg;
ENER-E14;Energy kcal;2;1;true;false;false;2000;;kcal;
ENER-KJO;Energy kJ;1;1;true;false;false;8400;;kJ;
F10D0;FA 10:0, capric;76;2;false;true;false;;;;
F12D0;FA 12:0, lauric;9;2;false;true;false;;;;
F14D0;FA 14:0 , myristic;10;2;false;true;false;;;;
F16D0;FA 16:0, palmitic;11;2;false;true;false;;;;
F18D0;FA 18:0, stearic;12;2;false;true;false;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;13;2;false;true;false;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;14;2;false;true;false;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;15;2;false;true;false;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;16;2;false;true;false;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;17;2;false;true;false;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;18;2;false;true;false;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;19;2;false;true;false;;;;
F4D0;FA 4:0, butyric;20;2;false;true;false;;;;
F6D0;FA 6:0, caproic;21;2;false;true;false;;;;
F8D0;FA 8:0, caprylic;22;2;false;true;false;;;;
FAMSCIS;Fatty acids, total monounsaturated;6;2;false;true;false;;;;
FAPUCIS;Fatty acids, total polyunsaturated;7;2;false;true;false;;;;
FASAT;Fatty acids, total saturated;4;2;true;false;false;20;;g;
FIBTG;Fiber, total dietary;28;1;false;true;false;25;;g;
FOLDFE;Folate DFE;54;1;false;true;false;;;;
FOLFD;Folate natural;55;1;false;true;false;;;;
FOLAC;Folic acid;56;1;false;true;false;200;;mcg;
FOL;Food folate;57;1;false;true;false;;;;
FIBINS;Insoluble fiber;29;1;false;true;false;;;;
ID;Iodine;58;1;false;true;false;150;;mcg;
FE;Iron, Fe;59;1;false;true;false;14;;mg;
LYCPN;Lycopene;60;1;false;true;false;;;;
MG;Magnesium, Mg;61;1;false;true;false;375;;mg;
MN;Manganese;62;1;false;true;false;2;;mg;
NIA;Niacin;63;1;false;true;false;16;;mg;
NIAEQ;Niacine (derived equivalents);64;1;false;true;false;;;;
PSACNS;NSP Fiber;30;1;false;true;false;;;;
OA;Organic acids, total;65;1;false;true;false;;;;
PANTAC;Panto acid;66;1;false;true;false;6;;mg;
P;Phosphorus, P;67;1;false;true;false;700;;mg;
POLYL;Polyols total;68;1;false;true;false;;;;
K;Potassium, k;69;1;false;true;false;2000;;mg;
PRO-;Protein;32;1;true;false;false;50;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);70;1;false;true;false;;;;
PROCNT;Raw proteins (N x 6.25);33;1;false;true;false;;;;
RETOL;Retinol;71;1;false;true;false;;;;
RIBF;Riboflavin;72;1;false;true;false;1,4;;mg;
NACL;Salt;34;1;true;false;false;6;;g;
SE;Selenium;73;1;false;true;false;55;;mcg;
NA;Sodium, Na;35;1;false;true;false;2,4;;g;
FIBSOL;Soluble fiber;31;1;false;true;false;;;;
STARCH;Starch;74;1;false;true;false;;;;
SUGAR;Sugars total;25;2;true;false;false;90;;g;
THIA;Thiamin;75;1;false;true;false;1,1;;mg;
FAT;Total lipid (fat);3;1;true;false;false;65;;g;
FAPUN3F;Total omega 3 fatty acids;8;1;false;true;false;;;;
FATRN;Total trans fatty acids;5;2;false;true;false;;;;
TRP;Tryptophan;77;1;false;true;false;;;;
VITA-;Vitamin A;36;1;false;true;false;800;;mcg;
VITA;Vitamin A retinol equivalents;37;1;false;true;false;;;;
VITA-IU;Vitamin A, IU;38;1;false;true;false;;;;
VITA-RAE;Vitamin A, RAE;39;1;false;true;false;;;;
VITB12;Vitamin B-12;40;1;false;true;false;2,5;;mcg;
VITB6-;Vitamin B-6;41;1;false;true;false;1,4;;mg;
BIOT;Vitamin B7 (Biotin);42;1;false;true;false;50;;mcg;
VITC-;Vitamin C, total ascorbic acid;43;1;false;true;false;80;;mg;
VITD-;VITAMIN D;44;1;false;true;false;5;;mcg;
VITDEQ;Vitamin D (D2 + D3);45;1;false;true;false;;;;
VITE-;Vitamin E;46;1;false;true;false;12;;mg;
TOCPHA;Vitamin E (alpha-tocopherol);47;1;false;true;false;;;;
VITK1;Vitamin K (phylloquinone);48;1;false;true;false;75;;mcg;
VITK2;Vitamin K2;49;1;false;true;false;;;;
WATER;Water;78;1;false;true;false;;;;
ZN;Zinc, Zn;79;1;false;true;false;10;;mg;
