nutCode;charactName;sort;depthLevel;mandatory;optionnal;bold;gda;ul;unit;showGDAPerc
SUGAD;Added sugars;33;3;false;true;;;;;
ALC;Alcohol (ethanol);34;2;false;true;;;;;
CARTA;Alpha-Carot;58;1;false;true;;;;;
ASH;Ash;59;1;false;true;;;;;
CARTB;Beta-caroten;60;1;false;true;;;;;
CRYPX;Beta-Crypt;61;1;false;true;;;;;
CAFFN;Caffein;62;1;false;true;;;;;
CA;Calcium, Ca;39;1;false;true;;1000;;mg;
CHOAVL;Carbohydrate, by difference;27;1;true;false;;;;;
CHO-;Carbohydrate, by difference (with fiber);26;1;false;true;;;;;
CHOL-;Cholesterol;23;1;false;true;;;;;
CHOLN;CholineTot;63;1;false;true;;;;;
CR;Chromium;64;1;false;true;;;;;
CU;Copper;65;1;false;true;;;;;
ENER-E14;Energy kcal;2;1;true;false;;;;;
F10D0;FA 10:0, capric;5;2;false;true;;;;;
F12D0;FA 12:0, lauric;6;2;false;true;;;;;
F14D0;FA 14:0 , myristic;7;2;false;true;;;;;
F16D0;FA 16:0, palmitic;8;2;false;true;;;;;
F18D0;FA 18:0, stearic;9;2;false;true;;;;;
F18D1CN9;FA 18:1 n-9 cis, oleic;10;2;false;true;;;;;
F18D1CN6;FA 18:2 9c,12c (n-6), linoleic;11;2;false;true;;;;;
F18D3N3;FA 18:3 c9,c12,c15 (n-3), alpha-linolenic;12;2;false;true;;;;;
F20D4;FA 20:4 5c,8c,11c,14c (n-6), arachidonic;13;2;false;true;;;;;
F20D5N3;FA 20:5 5c,8c,11c,14c,17c (n-3), EPA;14;2;false;true;;;;;
F22D5N3;FA 22:5 7c,10c,13c,16c,19c (n-3), DPA;15;2;false;true;;;;;
F22D6N3;FA 22:6 4c,7c,10c,13c,16c,19c (n-3), DHA;16;2;false;true;;;;;
F4D0;FA 4:0, butyric;17;2;false;true;;;;;
F6D0;FA 6:0, caproic;18;2;false;true;;;;;
F8D0;FA 8:0, caprylic;19;2;false;true;;;;;
FAMSCIS;Fatty acids, total monounsaturated;20;2;false;true;;;;;
FAPUCIS;Fatty acids, total polyunsaturated;21;2;false;true;;;;;
FASAT;Fatty acids, total saturated;3;2;true;false;;;;;
FIBTG;Fiber, total dietary;28;2;false;true;;;;;
FOLDFE;Folate DFE;66;1;false;true;;400;;µg;
FOLFD;Folate natural;67;1;false;true;;;;;
FOLAC;Folic acid;68;1;false;true;;;;;
FOL;Food folate;69;1;false;true;;;;;
FIBINS;Insoluble fiber;29;2;false;true;;;;;
ID;Iodine;70;1;false;true;;150;;µg;
FE;Iron, Fe;40;1;false;true;;14;;mg;
LYCPN;Lycopene;71;1;false;true;;;;;
MG;Magnesium, Mg;72;1;false;true;;;;;
MN;Manganese;73;1;false;true;;3;;mg;
NIA;Niacin;74;1;false;true;;15;;mg;
NIAEQ;Niacine (derived equivalents);75;1;false;true;;;;;
PSACNS;NSP Fiber;30;2;false;true;;;;;
OA;Organic acids, total;76;1;false;true;;;;;
PANTAC;Pantothenic acid;77;1;false;true;;5;;mg;
P;Phosphorus, P;78;1;false;true;;;;;
POLYL;Polyols total;35;2;false;true;;;;;
K;Potassium, k;41;1;false;true;;;;;
PRO-;Protein;36;1;true;false;;45;;g;
CARTBEQ;Provitamin A (b-carotene equivalents);79;1;false;true;;;;;
PROCNT;Raw proteins (N x 6.25);37;1;false;true;;;;;
RETOL;Retinol;80;1;false;true;;;;;
RIBF;Riboflavin;81;1;false;true;;1,2;;mg;
NACL;Salt;25;1;false;true;;;;;
SE;Selenium;82;1;false;true;;60;;µg;
NA;Sodium, Na;24;1;true;false;;;;;
FIBSOL;Soluble fiber;31;2;false;true;;;;;
STARCH;Starch;83;1;false;true;;;;;
SUGAR;Total Sugars;32;2;true;false;;;;;
THIA;Thiamin;84;1;false;true;;1,2;;mg;
FAT;Total lipid (fat);2;1;true;false;;;;;
FAPUN3F;Total omega 3 fatty acids;22;2;false;true;;;;;
FATRN;Total trans fatty acids;4;2;false;true;;;;;
TRP;Tryptophan;42;1;false;true;;;;;
VITA-;Vitamin A;43;1;false;true;;800;;µg;
VITA;Vitamin A retinol equivalents;44;1;false;true;;;;;
VITA-IU;Vitamin A, IU;45;1;false;true;;;;;
VITA-RAE;Vitamin A, RAE;46;1;false;true;;;;;
VITB12;Vitamin B-12;47;1;false;true;;2,4;;µg;
VITB6-;Vitamin B-6;48;1;false;true;;1,3;;mg;
BIOT;Vitamin B7 (Biotin);49;1;false;true;;30;;µg;
VITC-;Vitamin C, total ascorbic acid;50;1;false;true;;100;;mg;
VITD-;VITAMIN D;38;1;false;true;;;;;
VITDEQ;Vitamin D (D2 + D3);51;1;false;true;;;;;
VITE-;Vitamin E;52;1;false;true;;;;;
TOCPHA;Vitamin E (alpha-tocopherol);53;1;false;true;;;;;
VITK1;Vitamin K (phylloquinone);54;1;false;true;;60;;µg;
VITK2;Vitamin K2;55;1;false;true;;;;;
WATER;Water;56;1;false;true;;;;;
ZN;Zinc, Zn;57;1;false;true;;11;;mg;
ENER-KJO;Energy kJ;1;1;true;false;;;;;
