COLUMNS;cm:name;id;bcpg:supplier;bcpg:productState;Water;Total nitrogen;Protein;Total lipid (fat);Carbohydrate, by difference;Energy kcal;Energy kJ;Starch;Oligosaccharide;Sugars, total;Glucose;Galactose;Fructose;Sucrose;Maltose;Lactose;Alcohol (ethanol);NSP Fiber;Fiber, total dietary;Fatty acids, total saturated;Total omega 6 fatty acids;Total omega 3 fatty acids;Fatty acids, total monounsaturated;Fatty acids, total polyunsaturated;Total trans fatty acids;Cholesterol;Sodium, Na;Potassium, K;Calcium, Ca;Magnesium, Mg;Phosphorus, P;Iron, Fe;Copper;Zinc, Zn;Chloride;Manganese;Selenium;Iodine;Retinol;Beta-carotene;Vitamin A retinol equivalents;Vitamin D;Vitamin E;Vitamin K (phylloquinone);Thiamin;Riboflavin;Niacin;Tryptophan/60;Niacine (derived equivalents);Vitamin B-6;Vitamin B-12;Food Folate;Panto acid;Vitamin B7 (Biotin);Vitamin C, total ascorbic acid
VALUES; Ackee, en conserve, égoutté;13-145;CoFID Table;ToValidate;76.7;0.46;2.9;15.2;0.8;151;625;;;0.8;0.1;0;;0.7;0;0;;;;;520;70;;;0;0;240;270;35;40;47;0.7;0.27;0.6;340;;;;0;;;0;;;0.03;0.07;0.6;0.5;1.1;0.06;0;41;;;30
VALUES; Agar, séché;13-146;CoFID Table;ToValidate;9.7;0.26;1.3;1.2;;16;67;0;;;0;0;0;0;0;0;;81.1;;0.3;0;0;0.1;0.4;;0;110;110;760;620;50;20.6;;14.4;;4.3;;;0;0;0;0;;;0.01;0.22;0.2;;;;0;0;;;0
VALUES; Agar, séché, trempé et égoutté;13-147;CoFID Table;ToValidate;84.2;0.03;0.2;0.1;;2;7;0;;;0;0;0;0;0;0;;15;;;0;0;;;;0;10;20;110;75;8;3.5;;2.5;;0.4;;;0;0;0;0;;;0.01;0.04;0.1;;;;0;0;;;0
VALUES; Germes de luzerne, crus;13-148;CoFID Table;ToValidate;93.4;0.64;4;0.7;0.4;24;100;;;0.3;0.1;0;0.2;;0;0;;1.7;;;0;0;;;;0;6;79;32;27;70;1;0.16;0.9;;0.2;;;0;96;16;0;;;0.04;0.06;0.5;0.6;1.1;0.03;0;36;0.56;;2
VALUES; Piment de la Jamaïque, moulu;13-801;CoFID Table;ToValidate;8.5;0.98;6.1;8.7;;;;;;;;0;;;0;0;;;;2.5;0;0;0.7;2.4;;0;77;1040;660;130;110;7.1;0.55;1;;1.7;;;0;325;54;0;;;0.1;0.06;2.9;;;;0;0;;;0
VALUES; Amandes, effilées et moulues;14-870;CoFID Table;ToValidate;4.2;4.07;21.1;55.8;6.9;612;2534;2.7;;4.2;;;;4.2;0;0;0;7.4;;4.43;10190;270;38.19;10.46;0;0;14;780;240;270;550;3;1;3.2;18;1.7;2;2;0;0;0;0;23.96;;0.21;0.75;3.1;3.4;6.5;0.15;0;48;0.44;64;0
VALUES; Amandes grillées;14-897;CoFID Table;ToValidate;2.4;4.05;21;52.5;5.9;579;2394;0.8;;5.1;;;;5;0.1;0;0;;10.9;4.09;0;0;33.08;12.96;0.01;0;3;713;268;279;471;3.73;1.1;3.3;18;2.23;2;2;0;1;;0;23.9;0;0.08;1.2;3.6;3.5;7.1;0.14;0;55;0.32;49;0
VALUES; Amandes, pesées avec leurs coquilles;14-898;CoFID Table;ToValidate;1.6;1.51;7.8;18.5;1.9;205;847;0.3;;1.6;0.1;;;1.5;;0;0;;4.6;1.41;0;0;11.67;4.56;0.01;0;;271;100;100;178;1.37;0.38;1.2;7;0.81;2;1;0;;;0;9.48;0;0.08;0.42;1.3;1.3;2.6;0.05;0;16;0.17;23.7;0
VALUES; Amandes, noyaux entiers;14-896;CoFID Table;ToValidate;4.4;4.09;21.2;49.9;5.3;554;2292;0.8;;4.5;0.2;0.1;0.1;4.1;;0;0;;12.5;3.8;0;0;31.55;12.33;0.02;0;1;733;269;270;481;3.71;1.03;3.1;18;2.18;4;2;0;1;;0;25.63;0;0.21;1.14;3.6;3.4;7;0.14;0;44;0.47;64;0
VALUES; Feuilles d'amarante bouillies dans de l'eau non salée;13-150;CoFID Table;ToValidate;90.4;0.48;3;0.3;0.3;16;67;0.1;;0.2;;0;0.2;;0;0;;;;0.1;0;0;0.1;0.1;;0;11;540;220;110;54;2.4;0.11;0.5;12;0.9;;;0;1490;245;0;;;0.03;0.16;0.7;0.8;1.5;;0;51;;;31
VALUES; Feuilles d'amarante, crues;13-149;CoFID Table;ToValidate;88.9;0.56;3.5;0.3;0.3;18;75;0.1;;0.2;;0;0.2;;0;0;;;;0.1;0;0;0.1;0.1;;0;13;620;270;130;65;3;0.13;0.6;14;1;;;0;1725;285;0;;;0.07;0.22;0.7;0.9;1.6;;0;85;;;42
VALUES; Amla;14-001;CoFID Table;ToValidate;81.8;0.08;0.5;0.1;13.7;58;243;;;;;;;;0;0;;;;;0;0;;;;0;5;230;50;;20;1.2;0.18;;;;;;0;9;1;0;;;0.03;0.01;0.2;;;;0;;;;
VALUES; Anchois, en conserve dans l'huile, égouttés;16-448;CoFID Table;ToValidate;46.4;4.03;25.2;10;0;191;798;0;;0;0;0;0;0;0;0;0;0;0;1.6;0;0;5.3;1.8;;63;5870;230;300;56;300;4.1;0.17;3;9100;0.18;;;57;;57;;;;;0.1;3.8;4.7;8.5;;11;18;;;
VALUES; Graines d'anis;13-802;CoFID Table;ToValidate;9.5;2.82;17.6;15.9;;;;;;;;0;;;0;0;;;;2.3;0;0;9.8;3.1;;0;16;1440;650;170;440;37;0.91;5.3;;2.3;;;0;;0;0;;;;;;;;;0;0;;;0
VALUES; Jus de pomme concentré, non sucré, commercial;14-272;CoFID Table;ToValidate;31.4;0.08;0.5;0.6;57.6;223;952;0;;57.6;13.2;;33.9;10.4;0;0;0;;;0.1;0;0;;0.3;;0;11;640;35;29;38;1.6;;0.1;7;0.5;;;0;;;0;0.02;;0.01;0.02;0.7;0.1;0.8;0.07;0;1;0.22;2;49
VALUES; Jus de pomme, clair, ambiant et réfrigéré;14-331;CoFID Table;ToValidate;86.6;0.02;0.1;;9.7;37;157;0;;9.7;2.4;;5.5;1.8;0;0;0;;;;0;0;;;;0;3;89;6;4;6;0.06;0.01;;64;0.03;;;0;;;0;;;0.05;0.02;0.2;;0.2;0.05;0;1;0.05;0.9;26
VALUES; Compote de pommes, maison;17-851;CoFID Table;ToValidate;77.5;0.04;0.3;0.2;20.2;79;336;;;20.2;1.6;;4.8;13.7;0;0;0;1.3;1.4;0.05;0;0;0.02;0.11;;0;2;75;5;3;6;0.11;0.03;0;;0.02;;3;0;0;0;0;0.1;;0.03;0.01;0.1;0.1;0.2;0.04;0;1;;0.7;9
VALUES;Pommes, à cuire, cuites au four avec du sucre, chair uniquement;14-344;CoFID Table;ToValidate;79.9;0.02;0.2;0.4;17.1;69;292;;;17.1;2.4;0;6.6;8.1;0;0;0;1.4;1.9;0.07;0;0;0.04;0.14;0;0;1;100;5;3;8;0.17;0.04;;83;0.02;;4;0;;;0;0.12;;0.02;0.04;0.2;0.1;0.3;0.06;0;;0.12;1.1;14
VALUES; Pommes, à cuire, cuites au four avec du sucre, chair uniquement, pesées avec la peau;14-345;CoFID Table;ToValidate;67.1;0.02;0.2;0.3;14.3;57;243;;;14.3;2;0;5.5;6.8;0;0;0;1.2;1.6;0.06;0;0;0.03;0.12;0;0;1;84;4;3;6;0.14;0.04;;70;0.02;;3;0;;;0;0.1;;0.02;0.03;0.2;0.1;0.3;0.05;0;;0.1;0.9;12
VALUES; Pommes, à cuire, cuites au four sans sucre, chair uniquement;14-342;CoFID Table;ToValidate;85;0.02;0.2;0.4;11.4;47;201;;;11.4;2.5;0;7;1.9;0;0;;1.5;2;0.07;0;0;0.04;0.15;0;0;1;103;3;3;8;0.12;0.04;;86;0.02;;4;0;;;0;0.13;;0.02;0.04;0.2;0.1;0.3;0.06;0;;0.13;1.2;15
VALUES; Pommes, à cuire, cuites au four sans sucre, chair uniquement, pesées avec la peau;14-343;CoFID Table;ToValidate;71.4;0.02;0.2;0.3;9.6;40;168;;;9.6;2.1;0;5.9;1.6;0;0;;1.3;1.7;0.06;0;0;0.03;0.13;0;0;1;87;3;3;7;0.1;0.03;;72;0.02;;3;0;;;0;0.13;;0.02;0.03;0.2;0.1;0.3;0.05;0;;0.11;1;13
VALUES; Pommes, à cuire, crues, chair seulement, pelées;14-362;CoFID Table;ToValidate;87.7;0.05;0.3;0.3;8.9;37;159;;;8.9;2;;5.9;1;0;0;0;1.6;1.7;0.06;0;0;0.03;0.13;0;0;2;88;4;3;7;0.1;0.02;;;0.02;;4;0;;;0;0.12;;0.04;0.02;0.1;0.1;0.2;0.06;0;5;;1.2;14
VALUES; Pommes, à cuire, crues, chair uniquement, pesées avec la peau et le cœur;14-363;CoFID Table;ToValidate;64;0.04;0.2;0.2;6.5;27;116;;;6.4;1.5;;4.3;0.7;0;0;0;1.2;1.2;0.04;0;0;0.02;0.09;0;0;1;64;3;2;5;0.07;0.01;;;;;3;0;;;0;0.09;;0.01;0.07;0.1;;;0.04;0;;;0.9;10
VALUES; Pommes, à cuire, compotées avec du sucre, chair uniquement;14-332;CoFID Table;ToValidate;77.5;0.03;0.2;0.3;20.8;81;346;;;20.8;3.1;0;6.7;11;0;0;0;1;1.4;0.06;0;0;0.03;0.13;0;0;1;81;3;3;6;0.1;0.03;;73;0.02;;4;0;;;0;0.1;;0.02;0.03;0.2;0.1;0.3;0.05;0;;0.11;0.9;11
VALUES; Pommes, à cuire, compotées sans sucre, chair uniquement;14-320;CoFID Table;ToValidate;87.3;0.02;0.2;0.3;9.7;40;169;;;9.7;2.1;;5.9;1.7;0;0;0;1.3;1.7;0.06;0;0;0.03;0.13;0;0;1;87;3;3;7;0.1;0.03;;73;0.02;;4;0;;;0;0.11;;0.02;0.03;0.2;0.1;0.3;0.05;0;;0.11;1;12
VALUES; Pommes, à manger, séchées;14-016;CoFID Table;ToValidate;21.6;0.32;2;0.5;60.1;238;1014;;;60.1;8.6;;31.7;19.9;0;0;;9.7;;0.1;0;0;;0.3;;0;16;540;16;16;43;0.5;0.11;0.5;1;0.5;;;0;91;15;0;1.45;;;;;0.3;;;0;;;;
VALUES; Pommes, comestibles, crues, chair et peau;14-319;CoFID Table;ToValidate;86.2;0.1;0.6;0.5;11.6;51;215;;;11.6;2.1;;6.7;2.8;0;0;0;1.3;1.2;0.12;0;0;0.04;0.2;0;0;1;100;5;4;8;0.09;0.03;;44;0.04;;4;0;14;2;0;0.09;5.6;0.04;0.04;0.1;;0.1;0.07;0;;0.1;1.1;6
VALUES; Pommes, comestibles, crues, chair et peau, pesées avec le trognon;14-346;CoFID Table;ToValidate;75;0.08;0.5;0.4;10;43;183;;;10;1.8;;5.8;2.4;0;0;;1.1;1;0.1;0;0;0.03;0.17;0;0;1;87;5;4;7;0.08;0.03;;38;0.03;;4;0;12;2;0;0.08;4.87;0.03;0.03;0.1;;0.1;0.06;0;;0.09;1;5
VALUES; Abricots séchés;14-031;CoFID Table;ToValidate;14.7;0.77;4.8;0.7;43.4;188;802;0;;43.4;20.8;;10;12.6;0;0;;7.7;;;0;0;;;;0;56;1880;92;65;120;4.1;0.4;0.7;35;0.4;7;;0;645;105;0;;;;0.2;3;0.6;3.6;0.17;0;14;0.7;;
VALUES; Abricots séchés, cuits avec du sucre;14-032;CoFID Table;ToValidate;61.8;0.3;1.9;0.3;22;92;393;0;;22;8.7;;4.4;8.9;0;0;;3;;;0;0;;;;0;21;740;36;25;47;1.6;0.16;0.3;13;0.2;3;;0;255;43;0;;;;0.06;0.9;0.2;1.1;0.05;0;1;0.21;;
VALUES; Abricots séchés, cuits sans sucre;14-033;CoFID Table;ToValidate;65;0.32;2;0.3;17.8;77;328;0;;17.8;8.8;;4.4;4.7;0;0;;3.2;;;0;0;;;;0;22;770;37;26;49;1.7;0.16;0.3;14;0.2;3;;0;265;44;0;;;;0.06;0.9;0.3;1.2;0.06;0;1;0.22;;
