COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;40003;CIQUAL;Abats;Table Ciqual 2013;Cervelle, agneau, cuite;Cervelle, agneau, cuite;523;126;523;126;77,3;10,8;10,8;0,8;8,8;;;0;0;0;;2,6;1,84;1,04;0;0;0;;0;0,02;1,25;1,27;;;;;0;0,59;2080;130;15,9;316;205;6,93;0,059;3,53;0,21;1,36;;1;0;;;;;;12;0,11;0,24;2,47;0,99;0,11;5;9,25
VALUES;40004;CIQUAL;Abats;Table Ciqual 2013;Cervelle, porc, braisée;Cervelle, porc, braisée;576;138;576;138;75,9;12,1;12,1;1,07;9,51;;;0;0;0;;2,15;1,72;1,47;0;0;0;;0;0,02;1,06;1,03;;;;;0;0,46;2550;91;12;220;195;9;0,085;1,82;0,263;1,48;;1;0;;;;;;14;0,078;0,223;3,33;1,82;0,14;4;1,42
VALUES;40007;CIQUAL;Abats;Table Ciqual 2013;Cervelle, veau, cuite;Cervelle, veau, cuite;562;135;562;135;76,9;11,5;11,5;0,6;9,63;;;0;0;0;;2,18;1,74;1,49;0;0;0;;0;0,0172;1,07;1,09;;;;;0;0,646;3100;156;16;385;214;16;0,038;1,67;0,26;1,61;;1;0;;;;;;13;0,08;0,2;2,43;1;0,17;3;9,65
VALUES;40058;CIQUAL;Abats;Table Ciqual 2013;Coeur, agneau, cru;Coeur, agneau, cru;407;96,6;407;96,6;78,4;16,8;16,8;0,4;3,09;0,4;0;0;0;0;;0,677;0,512;0,615;;;;;0;0,0216;0,268;0,323;0,365;0,243;0,031;;0,04;0,03;158;114;17;188;298;7,5;0,046;5,01;0,397;1,82;23,7;;0;0;0,51;0,48;;;4;0,43;0,895;7,9;2,63;0,095;2;8,84
VALUES;40059;CIQUAL;Abats;Table Ciqual 2013;Coeur, agneau, cuit;Coeur, agneau, cuit;400;94,9;400;94,9;79;16,7;16,7;0,38;2,95;;;0;0;0;;0,597;0,488;0,77;;;;;0;0,0205;0,245;0,277;0,339;0,21;0,0179;;0,06;0,04;249;63;24;254;188;14;0,055;5,34;0,61;1,54;24,6;;0;;;;;;7;0,17;1,19;6,15;1,37;0,12;2;9,23
VALUES;40052;CIQUAL;Abats;Table Ciqual 2013;Coeur, boeuf, cru;Coeur, boeuf, cru;388;92,1;388;92,1;79,5;16,6;16,6;0,6;2,59;0,5;0;0;0;0;;0,59;0,413;0,427;0;0;0;0;0;0,022;0,238;0,276;0,278;0,265;0,0225;;0;0;141;93,5;18,7;206;260;6,24;0,0335;4,98;0,353;1,3;26,1;1,9;1;0;0,933;0,485;0;;3;0,421;0,856;6,8;2,14;0,085;9;10,1
VALUES;40053;CIQUAL;Abats;Table Ciqual 2013;Coeur, boeuf, cuit;Coeur, boeuf, cuit;397;94,2;397;94,2;79;16,3;16,3;0,91;2,82;0;;0;0;0;;0,648;0,477;0,768;0;0;0;0;0;0,0229;0,268;0,293;0,331;0,292;0,0276;;0;0;177;59;21;254;219;5;0,033;5,62;0,559;1,24;21,2;3;0;0;0,1;1,48;0,5;;0;0,23;1,21;5,85;1,33;0,105;5;8,11
VALUES;40055;CIQUAL;Abats;Table Ciqual 2013;Coeur, dinde, cru;Coeur, dinde, cru;390;92,6;390;92,6;79,4;16,5;16,5;0,215;2,86;0;;0;0;0;;0,913;0,716;1,12;0;0;0;;0;0,0338;0,409;0,47;0,607;0,279;0,0288;;0;0;147;94;22;222;295;6;0,058;4,73;0,394;1,55;20,7;;21;23;;;0;;3;0,212;0,97;6,6;3,12;0,115;6;8,99
VALUES;40057;CIQUAL;Abats;Table Ciqual 2013;Coeur, dinde, cuit;Coeur, dinde, cuit;416;98,8;416;98,8;78,3;16,4;16,4;0,565;3,44;0;;0;0;0;;0,65;0,484;1,19;0;0;0;;0;0,0212;0,252;0,315;0,336;0,27;0,0257;;0;0;184;90;26;259;291;7;0,065;5,39;0,492;1,6;24,7;;19;0;0;;0;;2,8;0,034;1,04;6,95;1,58;0,11;8;8,41
VALUES;40054;CIQUAL;Abats;Table Ciqual 2013;Coeur, poulet, cru;Coeur, poulet, cru;393;93,2;393;93,2;79,5;16,4;16,4;0,7;2,76;;;0;0;0;;0,564;0,41;1,68;;;;0;0;0,0256;0,254;0,284;0,41;0,294;0,0277;0,72;0;0;136;69;16;177;176;12;0,089;5,2;0,346;1,62;21,1;;9;;;;;;3,2;0,229;0,728;6,1;2,56;0,11;58,5;6,68
