COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Polyols totaux;Résidu à sec;Alcool (éthanol);Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Calcium;Chlorure;Cuivre;Fer;Iode;Magnésium;Manganèse;Phosphore;Potassium;Sélénium;Sodium;Zinc;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;4090;CIQUAL;Farines et amidons;Fécule de pomme de terre;Fécule de pomme de terre;1 480,00;348,00;1 480,00;348,00;12,70;0,00;0,00;86,30;0,20;;;0,55;0,00;0,25;0,00;0,00;0,04;0,01;0,11;;;;;;;0,03;0,01;0,01;0,05;0,06;;;;0,00;0,01;27,50;;0,10;0,84;0,49;6,00;0,10;35,60;33,50;0,40;3,75;0,16;0,00;;0,00;0,00;;;0,00;0,01;0,01;0,12;;0,01;82,00;0,00
VALUES;9311;CIQUAL;Farines et amidons;Flocon d'avoine;Flocon d'avoine;1 550,00;367,00;1 530,00;364,00;10,10;13,30;14,20;57,90;6,51;0,97;56,90;10,20;0,00;2,04;0,00;0,00;1,13;2,08;2,50;0,00;0,00;0,00;0,00;0,02;0,01;0,94;0,08;2,08;2,40;0,10;;0,00;0,00;0,00;0,01;84,30;;0,30;4,05;0,50;148,00;4,72;422,00;377,00;3,05;5,68;3,33;0,00;0,00;0,00;0,59;2,00;;0,00;0,43;0,14;0,96;1,31;0,12;39,60;0,00
VALUES;9410;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T110;Farine de blé tendre ou froment T110;1 490,00;351,00;1 470,00;348,00;9,96;10,30;11,10;70,60;1,13;1,13;69,40;7,00;0,00;1,03;0,00;0,00;0,17;0,13;0,51;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,00;0,13;0,50;0,01;0,00;0,00;0,00;0,00;0,01;29,00;;0,30;1,70;2,70;64,60;1,90;287,00;337,00;0,10;2,61;1,80;0,00;5,00;0,00;0,79;16,00;;0,50;0,41;0,08;2,45;0,60;0,17;37,30;0,00
VALUES;9415;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T150;Farine de blé tendre ou froment T150;1 430,00;338,00;1 410,00;334,00;10,70;11,40;12,20;62,50;1,52;1,77;56,90;12,50;0,00;1,31;0,00;0,00;0,22;0,17;;;;;;;0,00;0,20;0,01;0,17;0,61;0,04;;;;;0,04;31,90;;0,35;2,70;;85,10;2,70;323,00;407,00;;14,00;2,50;;;;1,04;;;0,50;0,34;0,11;3,48;1,02;0,26;52,40;
VALUES;9435;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T65;Farine de blé tendre ou froment T65;1 460,00;345,00;1 440,00;341,00;13,20;12,60;13,80;68,70;0,85;1,68;;3,90;0,00;0,78;0,00;0,00;;;;;;;;;;;;;;;;;;;0,03;25,30;;0,46;1,31;;30,40;0,80;124,00;176,00;4,40;6,56;0,80;;;;0,50;;;;0,19;0,05;1,46;0,50;0,08;18,30;
VALUES;9436;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T55 (pour pains);Farine de blé tendre ou froment T55 (pour pains);1 470,00;348,00;1 460,00;344,00;13,60;10,40;11,40;71,50;1,15;2,71;;2,93;0,00;0,47;0,00;0,00;0,23;0,09;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,22;0,01;;;;;0,00;0,00;0,00;0,00;19,50;;0,18;0,90;;24,90;0,70;102,00;129,00;39,70;1,97;0,78;0,00;1,00;0,00;0,40;0,30;;0,00;0,12;0,05;1,16;0,49;0,05;24,70;0,00
VALUES;9437;CIQUAL;Farines et amidons;Farine de blé tendre ou froment avec levure incorporée;Farine de blé tendre ou froment avec levure incorporée;1 490,00;350,00;1 470,00;346,00;;9,12;10,00;74,00;1,00;2,50;;2,50;0,00;;0,00;0,00;0,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VALUES;9440;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T45 (pour pâtisserie);Farine de blé tendre ou froment T45 (pour pâtisserie);1 490,00;351,00;1 480,00;348,00;11,30;9,06;9,94;73,80;0,82;2,41;69,30;4,60;0,00;0,48;0,00;0,00;0,13;0,08;0,33;;;;0,00;0,00;0,00;0,12;0,01;0,07;0,28;0,01;0,00;;;0,00;0,10;17,40;61,00;0,13;1,18;5,00;25,00;0,51;117,00;155,00;2,76;39,00;0,76;0,00;;0,00;0,43;0,00;;0,00;0,12;0,03;0,89;0,84;0,06;18,00;0,00
VALUES;9445;CIQUAL;Farines et amidons;Farine de blé tendre ou froment T80;Farine de blé tendre ou froment T80;1 510,00;355,00;1 490,00;352,00;10,70;9,95;10,90;73,20;1,18;1,77;70,60;4,20;0,00;0,74;0,00;0,00;0,17;0,11;;;;;;;0,00;0,15;0,01;0,11;0,45;0,03;;;;;;25,40;;0,20;1,50;;45,60;1,20;153,00;206,00;;2,72;1,30;;;;0,79;;;0,50;0,26;0,06;1,50;0,50;0,13;53,80;
VALUES;9510;CIQUAL;Farines et amidons;Amidon de maïs ou fécule de maïs;Amidon de maïs ou fécule de maïs;1 550,00;364,00;1 550,00;364,00;8,73;0,43;0,43;89,60;0,25;0,00;87,00;0,87;0,00;0,09;0,00;0,00;0,01;0,02;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00;;0,00;;;0,00;0,00;0,00;0,02;6,00;;0,05;0,38;0,60;3,50;0,53;56,00;4,00;2,80;10,20;0,28;0,00;0,00;0,00;0,00;0,00;;0,00;0,00;0,01;0,03;0,00;0,01;1,00;0,00
