COLUMNS;id;bcpg:hierarchy1;bcpg:hierarchy2;bcpg:suppliers;cm:name;bcpg:legalName;Energie kJ, étiquetage;Energie kcal, étiquetage;Energie kJ;Energie kcal;Eau;Protéines;Protéines brutes (N x 6.25);Glucides;Lipides;Sucres;Amidon;Fibres alimentaires;Alcool (éthanol);Polyols totaux;Acides organiques;AG saturés;AG monoinsaturés;AG polyinsaturés;AG 4:0, butyrique;AG 6:0, caproïque;AG 8:0, caprylique;AG 10:0, caprique;AG 12:0, laurique;AG 14:0, myristique;AG 16:0, palmitique;AG 18:0, stéarique;AG 18:1 9c (n9), oléique;AG 18:2 9c,12c (n6), linoléique;AG 18:3 c9,c12,c15 (n3), alphalinolénique;AG 20:4 5c,8c,11c,14c (n6), arachidonique;AG 20:5 5c,8c,11c,14c,17c (n3), EPA;AG 22:6 4c,7c,10c,13c,16c,19c (n3), DHA;Cholestérol;Sel;Sodium;Chlorure;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Rétinol;Bêtacarotène;Vitamine D;Activité vitaminique E (en équivalents alphatocophérol);Vitamine K1;Vitamine K2;Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B9 ou Folates totaux;Vitamine B12 ou Cobalamines
VALUES;24999;CIQUAL;;Table Ciqual 2020;Dessert (aliment moyen);Dessert (aliment moyen);;;;;45,4;4,63;4,61;36,6;12,9;23,7;9,53;1,54;0,081;;0,083;5,18;4,74;1,68;0,14;0,19;0,083;0,14;0,35;0,55;2,47;0,99;4,62;1,32;0,37;0,012;0,0041;0,0051;56,7;0,38;153;178;23,8;107;181;75;0,23;1,45;0,15;0,5;7,04;11;56,3;34,6;0,27;1,97;;;1,37;0,084;0,15;0,61;0,4;0,056;30,8;0,21
VALUES;25601;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de thon et légumes, appertisée;Salade de thon et légumes, appertisée;0;;0;;76,5;9,15;9,15;7,74;4,7;3,08;4,1;2,7;0;;;0,56;1,83;1,76;0,05;0,05;0,05;0,05;0,05;0,008;0,38;0,12;;1,15;0,056;;0,008;0,039;19,2;1,11;445;731;25,1;88,4;232;20,7;0,1;1,1;0,1;0,6;;2;2;;0,5;1,6;;;2,75;0,04;0,053;4,45;0,16;0,29;31;1,45
VALUES;25602;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade composée avec viande ou poisson, appertisée;Salade composée avec viande ou poisson, appertisée;0;;0;;76,7;8,06;8,06;6,4;5,3;1,9;3,3;2;0;;;0,16;3,27;1,54;0,01;0,01;0,01;0,01;0,01;0,01;0,12;0,04;2,24;1,08;0,28;0,016;0,016;0,15;15,2;0,95;381;584;20;92;220;22;0,1;0,7;0,07;0,38;30;20;21;781;0,44;2,04;9,75;;;0,032;0,022;4,13;0,2;0,12;11,1;1,23
VALUES;25605;CIQUAL;salades composées et crudités;Table Ciqual 2020;Champignons à la grecque, appertisés;Champignons à la grecque, appertisés;0;;0;;85,2;2,08;2,08;3,95;3,55;2,38;0,99;2,35;0;;;0,23;0,2;1,67;;;;;;;;;;;0,026;;;;0,11;1,26;500;;13,5;64,1;277;27;0,13;1,06;0,17;0,4;1,79;2,46;0;747;0;1,08;;;6,67;0,056;0,21;1,84;0,88;0,088;19,6;0,018
VALUES;25606;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pommes de terre, fait maison;Salade de pommes de terre, fait maison;0;;0;;76;2,68;2,68;9,9;8,2;;;1,3;0;;;1,43;2,48;3,74;;;;0;0,011;0,013;1,03;0,37;;;;;;;68;1,32;529;;15;52;254;19;0,1;0,65;0,12;0,31;;;29;36;0;;;;10;0,077;0,06;0,89;0,53;0,14;7;0
VALUES;25608;CIQUAL;salades composées et crudités;Table Ciqual 2020;Taboulé ou Salade de couscous, préemballé;Taboulé ou Salade de couscous, préemballé;753;179;753;179;60,3;4,88;4,88;23,7;6,7;4,9;17,7;2,5;0;0,9;0,38;0,67;4,23;1,45;0,01;0,01;0,01;0,01;0,01;0,01;0,47;0,15;3,95;1,1;0,34;0,01;0,01;0,01;0,1;1;399;647;25;80;210;24;0,4;0,88;0,16;0,65;20;20;0;149;0;1,26;10,6;;6,27;0,087;0,024;0,5;0,26;0,052;14,5;0
VALUES;25609;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pomme de terre à la piémontaise, préemballée;Salade de pomme de terre à la piémontaise, préemballée;542;130;542;130;75,8;4,5;4,5;8,87;8,3;1,2;6;0,5;0;0,5;0,54;0,82;5,02;2,04;0,01;0,01;0,01;0,01;0,01;0,01;0,54;0,2;4,57;1,47;0,57;0,01;0,01;0,01;29,6;1,08;433;709;16;72;300;13;0,08;0,43;0,07;0,49;20;20;21;93,6;0,5;3,96;10,9;;21,6;0,08;0,049;0,98;0,44;0,099;21,6;
VALUES;25614;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de riz, appertisée;Salade de riz, appertisée;0;;0;;72,5;5,13;5,13;16,1;4,35;1;14,3;1,7;0;;;0,53;2,23;;;;;;0,0042;0,0083;0,36;0,12;2,23;1,05;0,2;;;0,013;6,5;1,1;431;;13,1;66,6;143;23,3;0,1;0,43;0,1;0,3;17,7;5;2;34;0,5;1,63;;;4,48;0,058;0,045;2,65;0,14;0,13;33,5;0,43
VALUES;25615;CIQUAL;salades composées et crudités;Table Ciqual 2020;Salade de pâtes, végétarienne;Salade de pâtes, végétarienne;0;;0;;72,6;5,7;5,7;13,7;8,1;2,3;10;1,7;0;;;2,37;1,46;3,92;;;;;;;;;;;;;;;6;1,04;51;86;11;37;84;14;0,2;0,6;0,06;0,4;;4;7;1180;0;1,95;;;21;0,04;0,02;0,4;0;0,09;16;0
VALUES;25616;CIQUAL;salades composées et crudités;Table Ciqual 2020;Crudité, sans assaisonnement (aliment moyen);Crudité, sans assaisonnement (aliment moyen);125;29,9;125;29,9;93,2;0,94;0,94;3,07;0,7;2,27;0,22;1,51;0;0,29;0,094;0,12;0,29;0,095;0,0041;0,0041;0,0041;0,0041;0,0041;0,0037;0,12;0,0074;0,21;0,078;0,017;0,0043;0,0041;0,0041;0,076;0,031;12,5;44,9;11,7;25,6;241;25,1;0,17;0,42;0,048;0,17;7,79;7,21;0,017;1930;0,093;0,34;24;;12,2;0,042;0,025;0,37;0,17;0,082;38,8;0
