COLUMNS;id;cm:name;bcpg:legalName;bcpg:legalName_en;hierarchy1;hierarchy2;bcpg:suppliers;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL40003;Cervelle, agneau, cuite, CIQUAL;Cervelle, agneau, cuite;Brains, lamb, cooked;CIQUAL;Abats;Table Ciqual 2012;130;15,9;316;205;6,93;59;3,53;0,21;1,36;0;1;10,8;10,8;0,8;0;523;126;0;523;126;0;0;77,3;8,8;2,6;1,84;1,04;0;0;0;0;12;0,11;0,24;2,47;0,99;0,11;9,25;5;0;0;2080
VALUES;CIQUAL40004;Cervelle, porc, braisée, CIQUAL;Cervelle, porc, braisée;Brains, pork, braised;CIQUAL;Abats;Table Ciqual 2012;91;12;220;195;9;85;1,82;263;1,48;0;1;12,1;12,1;1,07;0;576;138;0;576;138;0;0;75,9;9,51;2,15;1,72;1,47;0;0;0;0;14;78;223;3,33;1,82;0,14;1,42;4;0;0;2550
VALUES;CIQUAL40007;Cervelle, veau, cuite, CIQUAL;Cervelle, veau, cuite;Brains, veal, cooked;CIQUAL;Abats;Table Ciqual 2012;156;16;385;214;16;38;1,67;0,26;1,61;0;1;11,5;11,5;0,6;0;562;135;0;562;135;0;0;76,9;9,63;2,18;1,74;1,49;0;0;0;0;13;0,08;0,2;2,43;1;0,17;9,65;3;0;0;3100
VALUES;CIQUAL40058;Coeur, agneau, cru, CIQUAL;Coeur, agneau, cru;Heart, lamb, raw;CIQUAL;Abats;Table Ciqual 2012;114;17;188;298;7,5;46;5,01;397;1,82;23,7;0;16,8;16,8;0,4;0,4;407;96,6;0;407;96,6;0;0;78,4;3,09;677;512;615;0;0;0,51;0,48;4;0,43;895;7,9;2,63;95;8,84;2;0;0;158
VALUES;CIQUAL40059;Coeur, agneau, cuit, CIQUAL;Coeur, agneau, cuit;Heart, lamb, cooked;CIQUAL;Abats;Table Ciqual 2012;63;24;254;188;14;55;5,34;0,61;1,54;24,6;0;16,7;16,7;0,38;0;400;94,9;0;400;94,9;0;0;79;2,95;597;488;0,77;0;0;0;0;7;0,17;1,19;6,15;1,37;0,12;9,23;2;0;0;249
VALUES;CIQUAL40052;Coeur, boeuf, cru, CIQUAL;Coeur, boeuf, cru;Heart, beef, raw;CIQUAL;Abats;Table Ciqual 2012;93,5;18,7;206;260;6,24;0,0335;4,98;353;1,3;26,1;1,9;16,6;16,6;0,6;0,5;388;92,1;0;388;92,1;0;0;79,5;2,59;0,59;413;427;1;0;933;485;3;421;856;6,8;2,14;85;10,1;9;0;0;141
VALUES;CIQUAL40053;Coeur, boeuf, cuit, CIQUAL;Coeur, boeuf, cuit;Heart, beef, cooked;CIQUAL;Abats;Table Ciqual 2012;59;21;254;219;5;33;5,62;559;1,24;21,2;3;16,3;16,3;0,91;0;397;94,2;0;397;94,2;0;0;79;2,82;648;477;768;0;0;0,1;1,48;0;0,23;1,21;5,85;1,33;105;8,11;5;0;0;177
VALUES;CIQUAL40055;Coeur, dinde, cru, CIQUAL;Coeur, dinde, cru;Heart, turkey, raw;CIQUAL;Abats;Table Ciqual 2012;94;22;222;295;6;58;4,73;394;1,55;20,7;0;16,5;16,5;215;0;390;92,6;0;390;92,6;0;0;79,4;2,86;913;716;1,12;21;23;0;0;3;212;0,97;6,6;3,12;115;8,99;6;0;0;147
VALUES;CIQUAL40057;Coeur, dinde, cuit, CIQUAL;Coeur, dinde, cuit;Heart, turkey, cooked;CIQUAL;Abats;Table Ciqual 2012;90;26;259;291;7;65;5,39;492;1,6;24,7;0;16,4;16,4;565;0;416;98,8;0;416;98,8;0;0;78,3;3,44;0,65;484;1,19;19;0;0;0;2,8;34;1,04;6,95;1,58;0,11;8,41;8;0;0;184
VALUES;CIQUAL40054;Coeur, poulet, cru, CIQUAL;Coeur, poulet, cru;Heart, chicken, raw;CIQUAL;Abats;Table Ciqual 2012;69;16;177;176;12;89;5,2;346;1,62;21,1;0;16,4;16,4;0,7;0;393;93,2;0;393;93,2;0;0;79,5;2,76;564;0,41;1,68;9;0;0;0;3,2;229;728;6,1;2,56;0,11;6,68;58,5;0;0;136
